[(-13430, -1341, -10081), (15, 470, -28)]
[(-13404, -1354, -10107), (4, 466, -27)]
[(-13404, -1354, -10107), (4, 466, -27)]
[(-13386, -1385, -10108), (-15, 445, -20)]
[(-13386, -1385, -10108), (-15, 445, -20)]
[(-13386, -1385, -10108), (-15, 445, -20)]
[(-13386, -1385, -10108), (-15, 445, -20)]
[(-13386, -1385, -10108), (-15, 445, -20)]
[(-13386, -1385, -10108), (-15, 445, -20)]
[(-13386, -1385, -10108), (-15, 445, -20)]
[(-13389, -1393, -10120), (-21, 403, -29)]
[(-13389, -1393, -10120), (-21, 403, -29)]
[(-13389, -1393, -10120), (-21, 403, -29)]
[(-13389, -1393, -10120), (-21, 403, -29)]
[(-13389, -1393, -10120), (-21, 403, -29)]
[(-13389, -1393, -10120), (-21, 403, -29)]
[(-13389, -1393, -10120), (-21, 403, -29)]
[(-13388, -1392, -10141), (-18, 393, -26)]
[(-13388, -1392, -10141), (-18, 393, -26)]
[(-13388, -1392, -10141), (-18, 393, -26)]
[(-13388, -1392, -10141), (-18, 393, -26)]
[(-13368, -1396, -10132), (-41, 391, -25)]
[(-13368, -1396, -10132), (-41, 391, -25)]
[(-13368, -1396, -10132), (-41, 391, -25)]
[(-13368, -1396, -10132), (-41, 391, -25)]
[(-13368, -1396, -10132), (-41, 391, -25)]
[(-13368, -1396, -10132), (-41, 391, -25)]
[(-13368, -1396, -10132), (-41, 391, -25)]
[(-13392, -1421, -10132), (-42, 377, -28)]
[(-13392, -1421, -10132), (-42, 377, -28)]
[(-13392, -1421, -10132), (-42, 377, -28)]
[(-13392, -1421, -10132), (-42, 377, -28)]
[(-13392, -1421, -10132), (-42, 377, -28)]
[(-13392, -1421, -10132), (-42, 377, -28)]
[(-13401, -1432, -10121), (-53, 413, -10)]
[(-13401, -1432, -10121), (-53, 413, -10)]
[(-13401, -1432, -10121), (-53, 413, -10)]
[(-13401, -1432, -10121), (-53, 413, -10)]
[(-13401, -1432, -10121), (-53, 413, -10)]
[(-13400, -1409, -10104), (-65, 394, 1)]
[(-13400, -1409, -10104), (-65, 394, 1)]
[(-13400, -1409, -10104), (-65, 394, 1)]
[(-13400, -1409, -10104), (-65, 394, 1)]
[(-13400, -1409, -10104), (-65, 394, 1)]
[(-13400, -1409, -10104), (-65, 394, 1)]
[(-13400, -1409, -10104), (-65, 394, 1)]
[(-13395, -1420, -10098), (-96, 384, -14)]
[(-13395, -1420, -10098), (-96, 384, -14)]
[(-13395, -1420, -10098), (-96, 384, -14)]
[(-13395, -1420, -10098), (-96, 384, -14)]
[(-13395, -1420, -10098), (-96, 384, -14)]
[(-13395, -1420, -10098), (-96, 384, -14)]
[(-13409, -1435, -10082), (-77, 398, 6)]
[(-13409, -1435, -10082), (-77, 398, 6)]
[(-13409, -1435, -10082), (-77, 398, 6)]
[(-13409, -1435, -10082), (-77, 398, 6)]
[(-13409, -1435, -10082), (-77, 398, 6)]
[(-13390, -1420, -10121), (-77, 405, 7)]
[(-13390, -1420, -10121), (-77, 405, 7)]
[(-13390, -1420, -10121), (-77, 405, 7)]
[(-13390, -1420, -10121), (-77, 405, 7)]
[(-13390, -1420, -10121), (-77, 405, 7)]
[(-13390, -1420, -10121), (-77, 405, 7)]
[(-13390, -1420, -10121), (-77, 405, 7)]
[(-13388, -1398, -10134), (-77, 405, 12)]
[(-13388, -1398, -10134), (-77, 405, 12)]
[(-13388, -1398, -10134), (-77, 405, 12)]
[(-13388, -1398, -10134), (-77, 405, 12)]
[(-13388, -1398, -10134), (-77, 405, 12)]
[(-13388, -1398, -10134), (-77, 405, 12)]
[(-13242, -1270, -9866), (226, 306, 20)]
[(-13242, -1270, -9866), (226, 306, 20)]
[(-13242, -1270, -9866), (226, 306, 20)]
[(-13242, -1270, -9866), (226, 306, 20)]
[(-13242, -1270, -9866), (226, 306, 20)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13241, -1286, -9968), (135, 310, 7)]
[(-13255, -1293, -9979), (75, 284, -11)]
[(-13255, -1293, -9979), (75, 284, -11)]
[(-13255, -1293, -9979), (75, 284, -11)]
[(-13255, -1293, -9979), (75, 284, -11)]
[(-13268, -1309, -10016), (0, 268, -8)]
[(-13268, -1309, -10016), (0, 268, -8)]
[(-13268, -1309, -10016), (0, 268, -8)]
[(-13268, -1309, -10016), (0, 268, -8)]
[(-13268, -1309, -10016), (0, 268, -8)]
[(-13287, -1316, -10078), (114, 352, 32)]
[(-13287, -1316, -10078), (114, 352, 32)]
[(-13287, -1316, -10078), (114, 352, 32)]
[(-13287, -1316, -10078), (114, 352, 32)]
[(-13287, -1316, -10078), (114, 352, 32)]
[(-13287, -1316, -10078), (114, 352, 32)]
[(-13287, -1316, -10078), (114, 352, 32)]
[(-13315, -1335, -10097), (94, 325, -17)]
[(-13315, -1335, -10097), (94, 325, -17)]
[(-13315, -1335, -10097), (94, 325, -17)]
[(-13315, -1335, -10097), (94, 325, -17)]
[(-13315, -1335, -10097), (94, 325, -17)]
[(-13315, -1335, -10097), (94, 325, -17)]
[(-13326, -1362, -10066), (-22, 306, -27)]
[(-13326, -1362, -10066), (-22, 306, -27)]
[(-13326, -1362, -10066), (-22, 306, -27)]
[(-13326, -1362, -10066), (-22, 306, -27)]
[(-13326, -1362, -10066), (-22, 306, -27)]
[(-13332, -1366, -10069), (-104, 324, -22)]
[(-13332, -1366, -10069), (-104, 324, -22)]
[(-13332, -1366, -10069), (-104, 324, -22)]
[(-13332, -1366, -10069), (-104, 324, -22)]
[(-13332, -1366, -10069), (-104, 324, -22)]
[(-13332, -1366, -10069), (-104, 324, -22)]
[(-13332, -1366, -10069), (-104, 324, -22)]
[(-13374, -1364, -10047), (-95, 349, -10)]
[(-13374, -1364, -10047), (-95, 349, -10)]
[(-13374, -1364, -10047), (-95, 349, -10)]
