[(-13390, -1665, -10154), (-32, 423, -19)]
[(-13396, -1666, -10176), (-76, 380, -8)]
[(-13396, -1666, -10176), (-76, 380, -8)]
[(-13396, -1666, -10176), (-76, 380, -8)]
[(-13396, -1666, -10176), (-76, 380, -8)]
[(-13396, -1666, -10176), (-76, 380, -8)]
[(-13356, -1667, -10213), (-61, 355, -13)]
[(-13356, -1667, -10213), (-61, 355, -13)]
[(-13356, -1667, -10213), (-61, 355, -13)]
[(-13356, -1667, -10213), (-61, 355, -13)]
[(-13356, -1667, -10213), (-61, 355, -13)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13388, -1676, -10174), (-60, 340, -25)]
[(-13396, -1680, -10160), (-61, 334, -16)]
[(-13396, -1680, -10160), (-61, 334, -16)]
[(-13396, -1680, -10160), (-61, 334, -16)]
[(-13396, -1680, -10160), (-61, 334, -16)]
[(-13396, -1680, -10160), (-61, 334, -16)]
[(-13401, -1707, -10158), (-63, 336, -20)]
[(-13401, -1707, -10158), (-63, 336, -20)]
[(-13401, -1707, -10158), (-63, 336, -20)]
[(-13401, -1707, -10158), (-63, 336, -20)]
[(-13401, -1707, -10158), (-63, 336, -20)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13412, -1711, -10147), (-68, 373, -7)]
[(-13413, -1673, -10149), (-99, 355, 1)]
[(-13413, -1673, -10149), (-99, 355, 1)]
[(-13413, -1673, -10149), (-99, 355, 1)]
[(-13413, -1673, -10149), (-99, 355, 1)]
[(-13413, -1673, -10149), (-99, 355, 1)]
[(-13400, -1683, -10122), (-107, 355, -6)]
[(-13400, -1683, -10122), (-107, 355, -6)]
[(-13400, -1683, -10122), (-107, 355, -6)]
[(-13400, -1683, -10122), (-107, 355, -6)]
[(-13400, -1683, -10122), (-107, 355, -6)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13388, -1682, -10136), (-90, 374, 1)]
[(-13387, -1695, -10136), (-16, 373, 13)]
[(-13387, -1695, -10136), (-16, 373, 13)]
[(-13387, -1695, -10136), (-16, 373, 13)]
[(-13387, -1695, -10136), (-16, 373, 13)]
[(-13387, -1695, -10136), (-16, 373, 13)]
[(-13547, -1705, -10019), (277, 309, 105)]
[(-13547, -1705, -10019), (277, 309, 105)]
[(-13547, -1705, -10019), (277, 309, 105)]
[(-13547, -1705, -10019), (277, 309, 105)]
[(-13547, -1705, -10019), (277, 309, 105)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13543, -1709, -10090), (251, 292, 67)]
[(-13516, -1702, -10100), (161, 304, 50)]
[(-13516, -1702, -10100), (161, 304, 50)]
[(-13516, -1702, -10100), (161, 304, 50)]
[(-13516, -1702, -10100), (161, 304, 50)]
[(-13516, -1702, -10100), (161, 304, 50)]
[(-13476, -1704, -10108), (74, 286, 33)]
[(-13476, -1704, -10108), (74, 286, 33)]
[(-13476, -1704, -10108), (74, 286, 33)]
[(-13476, -1704, -10108), (74, 286, 33)]
[(-13476, -1704, -10108), (74, 286, 33)]
[(-13484, -1690, -10113), (153, 388, 70)]
[(-13484, -1690, -10113), (153, 388, 70)]
[(-13484, -1690, -10113), (153, 388, 70)]
[(-13484, -1690, -10113), (153, 388, 70)]
[(-13484, -1690, -10113), (153, 388, 70)]
[(-13484, -1690, -10113), (153, 388, 70)]
[(-13443, -1676, -10138), (96, 400, 14)]
[(-13443, -1676, -10138), (96, 400, 14)]
[(-13443, -1676, -10138), (96, 400, 14)]
[(-13443, -1676, -10138), (96, 400, 14)]
[(-13443, -1676, -10138), (96, 400, 14)]
[(-13443, -1676, -10138), (96, 400, 14)]
[(-13443, -1676, -10138), (96, 400, 14)]
[(-13445, -1668, -10132), (-7, 402, 2)]
[(-13445, -1668, -10132), (-7, 402, 2)]
[(-13445, -1668, -10132), (-7, 402, 2)]
[(-13445, -1668, -10132), (-7, 402, 2)]
[(-13445, -1668, -10132), (-7, 402, 2)]
[(-13445, -1668, -10132), (-7, 402, 2)]
[(-13445, -1668, -10132), (-7, 402, 2)]
[(-13429, -1652, -10136), (-81, 386, -2)]
[(-13429, -1652, -10136), (-81, 386, -2)]
[(-13429, -1652, -10136), (-81, 386, -2)]
[(-13429, -1652, -10136), (-81, 386, -2)]
[(-13419, -1652, -10140), (-69, 404, 19)]
[(-13419, -1652, -10140), (-69, 404, 19)]
[(-13419, -1652, -10140), (-69, 404, 19)]
[(-13419, -1652, -10140), (-69, 404, 19)]
[(-13419, -1652, -10140), (-69, 404, 19)]
[(-13419, -1652, -10140), (-69, 404, 19)]
