[(-13421, -1557, -10137), (-44, 362, -20)]
[(-13438, -1592, -10134), (-37, 363, -29)]
[(-13438, -1592, -10134), (-37, 363, -29)]
[(-13438, -1592, -10134), (-37, 363, -29)]
[(-13438, -1592, -10134), (-37, 363, -29)]
[(-13438, -1592, -10134), (-37, 363, -29)]
[(-13438, -1592, -10134), (-37, 363, -29)]
[(-13438, -1592, -10134), (-37, 363, -29)]
[(-13429, -1614, -10105), (-29, 376, -38)]
[(-13429, -1614, -10105), (-29, 376, -38)]
[(-13429, -1614, -10105), (-29, 376, -38)]
[(-13429, -1614, -10105), (-29, 376, -38)]
[(-13429, -1614, -10105), (-29, 376, -38)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13432, -1640, -10132), (-30, 373, -25)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13420, -1660, -10137), (-34, 401, -5)]
[(-13412, -1652, -10129), (-83, 381, -7)]
[(-13412, -1652, -10129), (-83, 381, -7)]
[(-13412, -1652, -10129), (-83, 381, -7)]
[(-13414, -1640, -10144), (-42, 505, 21)]
[(-13414, -1640, -10144), (-42, 505, 21)]
[(-13414, -1640, -10144), (-42, 505, 21)]
[(-13414, -1640, -10144), (-42, 505, 21)]
