[(-12733, -1650, -11207), (-101, 402, 20)]
[(-12746, -1652, -11204), (-81, 368, -2)]
[(-12746, -1652, -11204), (-81, 368, -2)]
[(-12746, -1652, -11204), (-81, 368, -2)]
[(-12746, -1652, -11204), (-81, 368, -2)]
[(-12753, -1677, -11199), (-64, 353, 21)]
[(-12753, -1677, -11199), (-64, 353, 21)]
[(-12753, -1677, -11199), (-64, 353, 21)]
[(-12753, -1677, -11199), (-64, 353, 21)]
[(-12753, -1677, -11199), (-64, 353, 21)]
[(-12753, -1677, -11199), (-64, 353, 21)]
[(-12753, -1677, -11199), (-64, 353, 21)]
[(-12763, -1665, -11176), (-64, 360, 20)]
[(-12763, -1665, -11176), (-64, 360, 20)]
[(-12763, -1665, -11176), (-64, 360, 20)]
[(-12763, -1665, -11176), (-64, 360, 20)]
[(-12763, -1665, -11176), (-64, 360, 20)]
[(-12763, -1665, -11176), (-64, 360, 20)]
[(-12780, -1676, -11144), (-58, 402, 18)]
[(-12780, -1676, -11144), (-58, 402, 18)]
[(-12780, -1676, -11144), (-58, 402, 18)]
[(-12780, -1676, -11144), (-58, 402, 18)]
[(-12780, -1676, -11144), (-58, 402, 18)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12840, -1690, -11121), (-146, 280, 42)]
[(-12824, -1668, -11128), (-169, 281, 36)]
[(-12824, -1668, -11128), (-169, 281, 36)]
[(-12824, -1668, -11128), (-169, 281, 36)]
[(-12824, -1668, -11128), (-169, 281, 36)]
[(-12797, -1654, -11120), (-102, 321, 37)]
[(-12797, -1654, -11120), (-102, 321, 37)]
[(-12797, -1654, -11120), (-102, 321, 37)]
[(-12797, -1654, -11120), (-102, 321, 37)]
[(-12797, -1654, -11120), (-102, 321, 37)]
[(-12811, -1691, -11066), (89, 166, 45)]
[(-12811, -1691, -11066), (89, 166, 45)]
[(-12811, -1691, -11066), (89, 166, 45)]
[(-12811, -1691, -11066), (89, 166, 45)]
[(-12811, -1691, -11066), (89, 166, 45)]
[(-12811, -1691, -11066), (89, 166, 45)]
[(-12811, -1691, -11066), (89, 166, 45)]
[(-12842, -1717, -11090), (27, 187, -9)]
[(-12842, -1717, -11090), (27, 187, -9)]
[(-12842, -1717, -11090), (27, 187, -9)]
[(-12842, -1717, -11090), (27, 187, -9)]
[(-12842, -1717, -11090), (27, 187, -9)]
[(-12842, -1717, -11090), (27, 187, -9)]
[(-12854, -1740, -11048), (60, 198, -28)]
[(-12854, -1740, -11048), (60, 198, -28)]
[(-12854, -1740, -11048), (60, 198, -28)]
[(-12854, -1740, -11048), (60, 198, -28)]
[(-12854, -1740, -11048), (60, 198, -28)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12869, -1746, -11024), (99, 202, -19)]
[(-12852, -1782, -11024), (86, 247, -12)]
[(-12852, -1782, -11024), (86, 247, -12)]
[(-12852, -1782, -11024), (86, 247, -12)]
[(-12852, -1782, -11024), (86, 247, -12)]
[(-12850, -1764, -11032), (93, 267, 19)]
[(-12850, -1764, -11032), (93, 267, 19)]
[(-12850, -1764, -11032), (93, 267, 19)]
[(-12850, -1764, -11032), (93, 267, 19)]
[(-12850, -1764, -11032), (93, 267, 19)]
[(-12863, -1790, -11029), (46, 294, 21)]
[(-12863, -1790, -11029), (46, 294, 21)]
[(-12863, -1790, -11029), (46, 294, 21)]
[(-12863, -1790, -11029), (46, 294, 21)]
[(-12863, -1790, -11029), (46, 294, 21)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12881, -1776, -10992), (-12, 271, 1)]
[(-12921, -1758, -10959), (-49, 272, -5)]
[(-12921, -1758, -10959), (-49, 272, -5)]
[(-12921, -1758, -10959), (-49, 272, -5)]
[(-12921, -1758, -10959), (-49, 272, -5)]
[(-12921, -1758, -10959), (-49, 272, -5)]
[(-12905, -1756, -10960), (-37, 330, 3)]
[(-12905, -1756, -10960), (-37, 330, 3)]
[(-12905, -1756, -10960), (-37, 330, 3)]
[(-12905, -1756, -10960), (-37, 330, 3)]
[(-12905, -1756, -10960), (-37, 330, 3)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12918, -1776, -10939), (-34, 376, 1)]
[(-12932, -1778, -10928), (33, 401, -15)]
[(-12932, -1778, -10928), (33, 401, -15)]
