[(-12938, -1814, -10928), (-118, 408, -1)]
[(-12912, -1796, -10919), (-127, 360, 18)]
[(-12912, -1796, -10919), (-127, 360, 18)]
[(-12912, -1796, -10919), (-127, 360, 18)]
[(-12912, -1796, -10919), (-127, 360, 18)]
[(-12912, -1796, -10919), (-127, 360, 18)]
[(-12912, -1796, -10919), (-127, 360, 18)]
[(-12912, -1796, -10919), (-127, 360, 18)]
[(-12916, -1796, -10918), (-105, 347, 10)]
[(-12916, -1796, -10918), (-105, 347, 10)]
[(-12916, -1796, -10918), (-105, 347, 10)]
[(-12916, -1796, -10918), (-105, 347, 10)]
[(-12916, -1796, -10918), (-105, 347, 10)]
[(-12916, -1796, -10918), (-105, 347, 10)]
[(-12934, -1812, -10897), (-109, 327, -4)]
[(-12934, -1812, -10897), (-109, 327, -4)]
[(-12934, -1812, -10897), (-109, 327, -4)]
[(-12934, -1812, -10897), (-109, 327, -4)]
[(-12934, -1812, -10897), (-109, 327, -4)]
[(-12959, -1811, -10880), (-122, 325, 8)]
[(-12959, -1811, -10880), (-122, 325, 8)]
[(-12959, -1811, -10880), (-122, 325, 8)]
[(-12959, -1811, -10880), (-122, 325, 8)]
[(-12959, -1811, -10880), (-122, 325, 8)]
[(-12959, -1811, -10880), (-122, 325, 8)]
[(-12959, -1811, -10880), (-122, 325, 8)]
[(-12962, -1819, -10851), (-116, 334, 7)]
[(-12962, -1819, -10851), (-116, 334, 7)]
[(-12962, -1819, -10851), (-116, 334, 7)]
[(-12962, -1819, -10851), (-116, 334, 7)]
[(-12962, -1819, -10851), (-116, 334, 7)]
[(-12962, -1819, -10851), (-116, 334, 7)]
[(-12974, -1811, -10845), (-106, 365, 6)]
[(-12974, -1811, -10845), (-106, 365, 6)]
[(-12974, -1811, -10845), (-106, 365, 6)]
[(-12974, -1811, -10845), (-106, 365, 6)]
[(-12974, -1811, -10845), (-106, 365, 6)]
[(-12964, -1796, -10840), (-112, 362, 3)]
[(-12964, -1796, -10840), (-112, 362, 3)]
[(-12964, -1796, -10840), (-112, 362, 3)]
[(-12964, -1796, -10840), (-112, 362, 3)]
[(-12964, -1796, -10840), (-112, 362, 3)]
[(-12964, -1796, -10840), (-112, 362, 3)]
[(-12964, -1796, -10840), (-112, 362, 3)]
[(-12953, -1786, -10887), (-153, 447, 20)]
[(-12953, -1786, -10887), (-153, 447, 20)]
[(-12953, -1786, -10887), (-153, 447, 20)]
[(-12953, -1786, -10887), (-153, 447, 20)]
[(-12953, -1786, -10887), (-153, 447, 20)]
[(-12953, -1786, -10887), (-153, 447, 20)]
[(-12937, -1776, -10878), (-152, 438, -85)]
[(-12937, -1776, -10878), (-152, 438, -85)]
[(-12937, -1776, -10878), (-152, 438, -85)]
[(-12937, -1776, -10878), (-152, 438, -85)]
[(-12937, -1776, -10878), (-152, 438, -85)]
[(-12915, -1762, -10922), (-137, 415, -99)]
[(-12915, -1762, -10922), (-137, 415, -99)]
