[(-13292, -1006, -10451), (68, 414, -2)]
[(-13308, -1047, -10432), (-7, 387, -40)]
[(-13308, -1047, -10432), (-7, 387, -40)]
[(-13308, -1047, -10432), (-7, 387, -40)]
[(-13308, -1047, -10432), (-7, 387, -40)]
[(-13308, -1047, -10432), (-7, 387, -40)]
[(-13308, -1047, -10432), (-7, 387, -40)]
[(-13280, -1015, -10455), (-529, 674, -68)]
[(-13280, -1015, -10455), (-529, 674, -68)]
[(-13280, -1015, -10455), (-529, 674, -68)]
[(-13280, -1015, -10455), (-529, 674, -68)]
[(-13280, -1015, -10455), (-529, 674, -68)]
[(-13280, -1015, -10455), (-529, 674, -68)]
[(-13280, -1015, -10455), (-529, 674, -68)]
[(-13320, -929, -10560), (-196, 516, -77)]
[(-13320, -929, -10560), (-196, 516, -77)]
[(-13320, -929, -10560), (-196, 516, -77)]
[(-13320, -929, -10560), (-196, 516, -77)]
[(-13320, -929, -10560), (-196, 516, -77)]
[(-13320, -929, -10560), (-196, 516, -77)]
[(-13320, -929, -10560), (-196, 516, -77)]
[(-13312, -956, -10512), (-190, 519, -35)]
[(-13312, -956, -10512), (-190, 519, -35)]
[(-13312, -956, -10512), (-190, 519, -35)]
[(-13312, -956, -10512), (-190, 519, -35)]
[(-13317, -996, -10509), (124, 555, 16)]
[(-13317, -996, -10509), (124, 555, 16)]
[(-13317, -996, -10509), (124, 555, 16)]
[(-13317, -996, -10509), (124, 555, 16)]
[(-13317, -996, -10509), (124, 555, 16)]
[(-13299, -1068, -10539), (174, 370, -28)]
[(-13299, -1068, -10539), (174, 370, -28)]
[(-13299, -1068, -10539), (174, 370, -28)]
[(-13299, -1068, -10539), (174, 370, -28)]
[(-13299, -1068, -10539), (174, 370, -28)]
[(-13299, -1068, -10539), (174, 370, -28)]
[(-13299, -1068, -10539), (174, 370, -28)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13312, -1082, -10536), (59, 383, -7)]
[(-13316, -1111, -10500), (97, 410, -51)]
[(-13316, -1111, -10500), (97, 410, -51)]
[(-13316, -1111, -10500), (97, 410, -51)]
[(-13315, -1123, -10458), (129, 433, -50)]
[(-13315, -1123, -10458), (129, 433, -50)]
[(-13315, -1123, -10458), (129, 433, -50)]
[(-13315, -1123, -10458), (129, 433, -50)]
[(-13315, -1123, -10458), (129, 433, -50)]
[(-13315, -1123, -10458), (129, 433, -50)]
[(-13315, -1123, -10458), (129, 433, -50)]
[(-13321, -1127, -10478), (186, 383, -52)]
[(-13321, -1127, -10478), (186, 383, -52)]
[(-13321, -1127, -10478), (186, 383, -52)]
[(-13321, -1127, -10478), (186, 383, -52)]
[(-13321, -1127, -10478), (186, 383, -52)]
[(-13321, -1127, -10478), (186, 383, -52)]
[(-13327, -1156, -10446), (36, 351, -55)]
[(-13327, -1156, -10446), (36, 351, -55)]
[(-13327, -1156, -10446), (36, 351, -55)]
[(-13327, -1156, -10446), (36, 351, -55)]
[(-13327, -1156, -10446), (36, 351, -55)]
[(-13323, -1203, -10412), (75, 382, -35)]
[(-13323, -1203, -10412), (75, 382, -35)]
[(-13323, -1203, -10412), (75, 382, -35)]
[(-13323, -1203, -10412), (75, 382, -35)]
[(-13323, -1203, -10412), (75, 382, -35)]
[(-13323, -1203, -10412), (75, 382, -35)]
[(-13323, -1203, -10412), (75, 382, -35)]
[(-13360, -1207, -10421), (43, 380, -45)]
[(-13360, -1207, -10421), (43, 380, -45)]
[(-13360, -1207, -10421), (43, 380, -45)]
[(-13360, -1207, -10421), (43, 380, -45)]
[(-13360, -1207, -10421), (43, 380, -45)]
[(-13360, -1207, -10421), (43, 380, -45)]
[(-13348, -1196, -10407), (-29, 381, -37)]
[(-13348, -1196, -10407), (-29, 381, -37)]
[(-13348, -1196, -10407), (-29, 381, -37)]
[(-13348, -1196, -10407), (-29, 381, -37)]
[(-13348, -1196, -10407), (-29, 381, -37)]
[(-13344, -1217, -10408), (-14, 420, -46)]
[(-13344, -1217, -10408), (-14, 420, -46)]
[(-13344, -1217, -10408), (-14, 420, -46)]
[(-13344, -1217, -10408), (-14, 420, -46)]
[(-13344, -1217, -10408), (-14, 420, -46)]
