[(-13299, -1716, -10322), (218, 308, -18)]
[(-13329, -1760, -10308), (-8, 252, -81)]
[(-13329, -1760, -10308), (-8, 252, -81)]
[(-13329, -1760, -10308), (-8, 252, -81)]
[(-13329, -1760, -10308), (-8, 252, -81)]
[(-13329, -1760, -10308), (-8, 252, -81)]
[(-13329, -1760, -10308), (-8, 252, -81)]
[(-13329, -1760, -10308), (-8, 252, -81)]
[(-13312, -1687, -10332), (-922, 743, -53)]
[(-13312, -1687, -10332), (-922, 743, -53)]
[(-13312, -1687, -10332), (-922, 743, -53)]
[(-13312, -1687, -10332), (-922, 743, -53)]
[(-13312, -1687, -10332), (-922, 743, -53)]
[(-13288, -1685, -10342), (-802, 621, -67)]
[(-13288, -1685, -10342), (-802, 621, -67)]
[(-13288, -1685, -10342), (-802, 621, -67)]
[(-13288, -1685, -10342), (-802, 621, -67)]
[(-13288, -1685, -10342), (-802, 621, -67)]
[(-13288, -1685, -10342), (-802, 621, -67)]
[(-13306, -1693, -10348), (-694, 614, -66)]
[(-13306, -1693, -10348), (-694, 614, -66)]
[(-13306, -1693, -10348), (-694, 614, -66)]
[(-13306, -1693, -10348), (-694, 614, -66)]
[(-13306, -1693, -10348), (-694, 614, -66)]
[(-13306, -1693, -10348), (-694, 614, -66)]
[(-13306, -1693, -10348), (-694, 614, -66)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13291, -1669, -10384), (-599, 557, -48)]
[(-13294, -1676, -10328), (-346, 579, -2)]
[(-13294, -1676, -10328), (-346, 579, -2)]
[(-13313, -1669, -10330), (-331, 536, 8)]
[(-13313, -1669, -10330), (-331, 536, 8)]
[(-13313, -1669, -10330), (-331, 536, 8)]
[(-13313, -1669, -10330), (-331, 536, 8)]
[(-13313, -1669, -10330), (-331, 536, 8)]
[(-13313, -1669, -10330), (-331, 536, 8)]
[(-13313, -1669, -10330), (-331, 536, 8)]
[(-13339, -1657, -10335), (-311, 507, 3)]
[(-13339, -1657, -10335), (-311, 507, 3)]
[(-13339, -1657, -10335), (-311, 507, 3)]
[(-13339, -1657, -10335), (-311, 507, 3)]
[(-13339, -1657, -10335), (-311, 507, 3)]
[(-13339, -1715, -10316), (-151, 486, 17)]
[(-13339, -1715, -10316), (-151, 486, 17)]
[(-13339, -1715, -10316), (-151, 486, 17)]
[(-13339, -1715, -10316), (-151, 486, 17)]
[(-13339, -1715, -10316), (-151, 486, 17)]
[(-13339, -1715, -10316), (-151, 486, 17)]
[(-13332, -1719, -10320), (-93, 468, 64)]
[(-13332, -1719, -10320), (-93, 468, 64)]
[(-13332, -1719, -10320), (-93, 468, 64)]
[(-13332, -1719, -10320), (-93, 468, 64)]
[(-13332, -1719, -10320), (-93, 468, 64)]
[(-13332, -1719, -10320), (-93, 468, 64)]
[(-13332, -1719, -10320), (-93, 468, 64)]
[(-13333, -1693, -10292), (-105, 429, 25)]
[(-13333, -1693, -10292), (-105, 429, 25)]
[(-13333, -1693, -10292), (-105, 429, 25)]
[(-13333, -1693, -10292), (-105, 429, 25)]
[(-13333, -1693, -10292), (-105, 429, 25)]
[(-13334, -1747, -10276), (-117, 406, 21)]
[(-13334, -1747, -10276), (-117, 406, 21)]
[(-13334, -1747, -10276), (-117, 406, 21)]
[(-13334, -1747, -10276), (-117, 406, 21)]
[(-13334, -1747, -10276), (-117, 406, 21)]
[(-13334, -1747, -10276), (-117, 406, 21)]
[(-13344, -1720, -10252), (-100, 435, 11)]
[(-13344, -1720, -10252), (-100, 435, 11)]
[(-13344, -1720, -10252), (-100, 435, 11)]
[(-13344, -1720, -10252), (-100, 435, 11)]
[(-13344, -1720, -10252), (-100, 435, 11)]
[(-13344, -1720, -10252), (-100, 435, 11)]
[(-13332, -1718, -10249), (-117, 396, -4)]
[(-13332, -1718, -10249), (-117, 396, -4)]
[(-13332, -1718, -10249), (-117, 396, -4)]
[(-13332, -1718, -10249), (-117, 396, -4)]
[(-13332, -1718, -10249), (-117, 396, -4)]
[(-13332, -1716, -10267), (-125, 415, -1)]
[(-13332, -1716, -10267), (-125, 415, -1)]
[(-13332, -1716, -10267), (-125, 415, -1)]
[(-13332, -1716, -10267), (-125, 415, -1)]
[(-13332, -1716, -10267), (-125, 415, -1)]
[(-13332, -1716, -10267), (-125, 415, -1)]
[(-13305, -1712, -10264), (-109, 433, 11)]
[(-13305, -1712, -10264), (-109, 433, 11)]
[(-13305, -1712, -10264), (-109, 433, 11)]
[(-13305, -1712, -10264), (-109, 433, 11)]
[(-13305, -1712, -10264), (-109, 433, 11)]
[(-13305, -1712, -10264), (-109, 433, 11)]
[(-13305, -1712, -10264), (-109, 433, 11)]
[(-13316, -1690, -10257), (-194, 407, -18)]
[(-13316, -1690, -10257), (-194, 407, -18)]
[(-13316, -1690, -10257), (-194, 407, -18)]
[(-13316, -1690, -10257), (-194, 407, -18)]
[(-13316, -1690, -10257), (-194, 407, -18)]
