[(-13036, -2488, -10594), (230, 377, 56)]
[(-12996, -2460, -10712), (-68, 614, 109)]
[(-12996, -2460, -10712), (-68, 614, 109)]
[(-12996, -2460, -10712), (-68, 614, 109)]
[(-12996, -2460, -10712), (-68, 614, 109)]
[(-12996, -2460, -10712), (-68, 614, 109)]
[(-12993, -2468, -10705), (-143, 521, 64)]
[(-12993, -2468, -10705), (-143, 521, 64)]
[(-12993, -2468, -10705), (-143, 521, 64)]
[(-12993, -2468, -10705), (-143, 521, 64)]
[(-12993, -2468, -10705), (-143, 521, 64)]
[(-12993, -2468, -10705), (-143, 521, 64)]
[(-12993, -2468, -10705), (-143, 521, 64)]
[(-12997, -2480, -10666), (-171, 474, 66)]
[(-12997, -2480, -10666), (-171, 474, 66)]
[(-12997, -2480, -10666), (-171, 474, 66)]
[(-12997, -2480, -10666), (-171, 474, 66)]
[(-12997, -2480, -10666), (-171, 474, 66)]
[(-13028, -2481, -10632), (-50, 480, 75)]
[(-13028, -2481, -10632), (-50, 480, 75)]
[(-13028, -2481, -10632), (-50, 480, 75)]
[(-13028, -2481, -10632), (-50, 480, 75)]
[(-13028, -2481, -10632), (-50, 480, 75)]
[(-13028, -2481, -10632), (-50, 480, 75)]
[(-13062, -2530, -10652), (4, 246, 17)]
[(-13062, -2530, -10652), (4, 246, 17)]
[(-13062, -2530, -10652), (4, 246, 17)]
[(-13062, -2530, -10652), (4, 246, 17)]
[(-13062, -2530, -10652), (4, 246, 17)]
[(-13062, -2530, -10652), (4, 246, 17)]
[(-13062, -2530, -10652), (4, 246, 17)]
[(-13067, -2539, -10598), (-183, 316, -44)]
[(-13067, -2539, -10598), (-183, 316, -44)]
[(-13067, -2539, -10598), (-183, 316, -44)]
[(-13067, -2539, -10598), (-183, 316, -44)]
[(-13067, -2539, -10598), (-183, 316, -44)]
[(-13067, -2539, -10598), (-183, 316, -44)]
[(-13067, -2539, -10598), (-183, 316, -44)]
[(-13066, -2522, -10606), (-146, 359, -25)]
[(-13066, -2522, -10606), (-146, 359, -25)]
[(-13066, -2522, -10606), (-146, 359, -25)]
[(-13066, -2522, -10606), (-146, 359, -25)]
[(-13062, -2492, -10608), (-169, 369, -4)]
[(-13062, -2492, -10608), (-169, 369, -4)]
[(-13062, -2492, -10608), (-169, 369, -4)]
[(-13062, -2492, -10608), (-169, 369, -4)]
[(-13062, -2492, -10608), (-169, 369, -4)]
[(-13062, -2492, -10608), (-169, 369, -4)]
[(-13062, -2492, -10608), (-169, 369, -4)]
[(-13013, -2480, -10611), (-126, 429, -10)]
[(-13013, -2480, -10611), (-126, 429, -10)]
[(-13013, -2480, -10611), (-126, 429, -10)]
[(-13013, -2480, -10611), (-126, 429, -10)]
[(-13013, -2480, -10611), (-126, 429, -10)]
[(-13025, -2484, -10626), (-89, 415, -28)]
[(-13025, -2484, -10626), (-89, 415, -28)]
[(-13025, -2484, -10626), (-89, 415, -28)]
[(-13025, -2484, -10626), (-89, 415, -28)]
[(-13025, -2484, -10626), (-89, 415, -28)]
[(-13025, -2484, -10626), (-89, 415, -28)]
[(-13022, -2485, -10562), (-129, 377, -35)]
[(-13022, -2485, -10562), (-129, 377, -35)]
[(-13022, -2485, -10562), (-129, 377, -35)]
[(-13022, -2485, -10562), (-129, 377, -35)]
[(-13022, -2485, -10562), (-129, 377, -35)]
[(-13022, -2485, -10562), (-129, 377, -35)]
[(-13046, -2499, -10536), (-119, 389, -55)]
[(-13046, -2499, -10536), (-119, 389, -55)]
[(-13046, -2499, -10536), (-119, 389, -55)]
[(-13046, -2499, -10536), (-119, 389, -55)]
[(-13046, -2499, -10536), (-119, 389, -55)]
[(-13046, -2499, -10536), (-119, 389, -55)]
[(-13046, -2499, -10536), (-119, 389, -55)]
[(-13035, -2511, -10537), (-136, 455, -28)]
[(-13035, -2511, -10537), (-136, 455, -28)]
[(-13035, -2511, -10537), (-136, 455, -28)]
[(-13035, -2511, -10537), (-136, 455, -28)]
[(-13022, -2481, -10575), (-203, 518, 7)]
[(-13022, -2481, -10575), (-203, 518, 7)]
[(-13022, -2481, -10575), (-203, 518, 7)]
[(-13022, -2481, -10575), (-203, 518, 7)]
[(-13022, -2481, -10575), (-203, 518, 7)]
[(-13022, -2481, -10575), (-203, 518, 7)]
[(-13022, -2481, -10575), (-203, 518, 7)]
[(-13016, -2472, -10592), (-250, 509, 10)]
[(-13016, -2472, -10592), (-250, 509, 10)]
[(-13016, -2472, -10592), (-250, 509, 10)]
[(-13016, -2472, -10592), (-250, 509, 10)]
[(-13016, -2472, -10592), (-250, 509, 10)]
[(-12989, -2438, -10622), (-274, 463, 5)]
[(-12989, -2438, -10622), (-274, 463, 5)]
