[(-13052, -2453, -10500), (-61, 384, -29)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13036, -2465, -10500), (-91, 394, -11)]
[(-13028, -2436, -10491), (-109, 407, 4)]
[(-13028, -2436, -10491), (-109, 407, 4)]
[(-13057, -2423, -10520), (-77, 454, 4)]
[(-13057, -2423, -10520), (-77, 454, 4)]
[(-13057, -2423, -10520), (-77, 454, 4)]
[(-13057, -2423, -10520), (-77, 454, 4)]
[(-13057, -2423, -10520), (-77, 454, 4)]
[(-13057, -2423, -10520), (-77, 454, 4)]
[(-13057, -2423, -10520), (-77, 454, 4)]
[(-13042, -2380, -10532), (-124, 459, 5)]
[(-13042, -2380, -10532), (-124, 459, 5)]
[(-13042, -2380, -10532), (-124, 459, 5)]
[(-13042, -2380, -10532), (-124, 459, 5)]
[(-13042, -2380, -10532), (-124, 459, 5)]
[(-13036, -2399, -10541), (-64, 477, 22)]
[(-13036, -2399, -10541), (-64, 477, 22)]
[(-13036, -2399, -10541), (-64, 477, 22)]
[(-13036, -2399, -10541), (-64, 477, 22)]
[(-13036, -2399, -10541), (-64, 477, 22)]
[(-13036, -2399, -10541), (-64, 477, 22)]
[(-12879, -2184, -10340), (169, 410, 47)]
[(-12879, -2184, -10340), (169, 410, 47)]
[(-12879, -2184, -10340), (169, 410, 47)]
[(-12879, -2184, -10340), (169, 410, 47)]
[(-12879, -2184, -10340), (169, 410, 47)]
[(-12879, -2184, -10340), (169, 410, 47)]
[(-12879, -2184, -10340), (169, 410, 47)]
[(-12913, -2207, -10392), (81, 393, 23)]
[(-12913, -2207, -10392), (81, 393, 23)]
[(-12913, -2207, -10392), (81, 393, 23)]
[(-12913, -2207, -10392), (81, 393, 23)]
[(-12913, -2207, -10392), (81, 393, 23)]
[(-12944, -2231, -10460), (64, 355, 21)]
[(-12944, -2231, -10460), (64, 355, 21)]
[(-12944, -2231, -10460), (64, 355, 21)]
[(-12944, -2231, -10460), (64, 355, 21)]
[(-12944, -2231, -10460), (64, 355, 21)]
[(-12944, -2231, -10460), (64, 355, 21)]
[(-12990, -2244, -10478), (129, 369, 18)]
[(-12990, -2244, -10478), (129, 369, 18)]
[(-12990, -2244, -10478), (129, 369, 18)]
[(-12990, -2244, -10478), (129, 369, 18)]
[(-12990, -2244, -10478), (129, 369, 18)]
[(-12990, -2244, -10478), (129, 369, 18)]
[(-12990, -2244, -10478), (129, 369, 18)]
[(-13001, -2298, -10491), (161, 298, -42)]
[(-13001, -2298, -10491), (161, 298, -42)]
[(-13001, -2298, -10491), (161, 298, -42)]
[(-13001, -2298, -10491), (161, 298, -42)]
[(-13001, -2298, -10491), (161, 298, -42)]
[(-13034, -2341, -10488), (73, 321, -33)]
[(-13034, -2341, -10488), (73, 321, -33)]
[(-13034, -2341, -10488), (73, 321, -33)]
[(-13034, -2341, -10488), (73, 321, -33)]
[(-13034, -2341, -10488), (73, 321, -33)]
[(-13034, -2341, -10488), (73, 321, -33)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13046, -2347, -10488), (4, 350, -28)]
[(-13015, -2340, -10521), (-6, 388, -30)]
[(-13015, -2340, -10521), (-6, 388, -30)]
[(-13015, -2340, -10521), (-6, 388, -30)]
[(-13004, -2402, -10540), (43, 365, -14)]
[(-13004, -2402, -10540), (43, 365, -14)]
[(-13004, -2402, -10540), (43, 365, -14)]
[(-13004, -2402, -10540), (43, 365, -14)]
[(-13004, -2402, -10540), (43, 365, -14)]
[(-13004, -2402, -10540), (43, 365, -14)]
[(-13016, -2359, -10534), (-106, 339, -32)]
[(-13016, -2359, -10534), (-106, 339, -32)]
[(-13016, -2359, -10534), (-106, 339, -32)]
[(-13016, -2359, -10534), (-106, 339, -32)]
[(-13016, -2359, -10534), (-106, 339, -32)]
[(-13016, -2359, -10534), (-106, 339, -32)]
[(-13016, -2359, -10534), (-106, 339, -32)]
[(-13017, -2389, -10513), (-24, 399, -3)]
[(-13017, -2389, -10513), (-24, 399, -3)]
[(-13017, -2389, -10513), (-24, 399, -3)]
[(-13017, -2389, -10513), (-24, 399, -3)]
[(-13017, -2389, -10513), (-24, 399, -3)]
[(-13017, -2389, -10513), (-24, 399, -3)]
[(-13017, -2389, -10513), (-24, 399, -3)]
[(-13041, -2384, -10536), (-6, 442, -42)]
[(-13041, -2384, -10536), (-6, 442, -42)]
[(-13041, -2384, -10536), (-6, 442, -42)]
[(-13054, -2400, -10521), (-40, 347, -77)]
[(-13054, -2400, -10521), (-40, 347, -77)]
[(-13054, -2400, -10521), (-40, 347, -77)]
[(-13054, -2400, -10521), (-40, 347, -77)]
[(-13054, -2400, -10521), (-40, 347, -77)]
[(-13054, -2400, -10521), (-40, 347, -77)]
[(-13054, -2400, -10521), (-40, 347, -77)]
[(-13060, -2454, -10487), (-42, 382, -102)]
[(-13060, -2454, -10487), (-42, 382, -102)]
[(-13060, -2454, -10487), (-42, 382, -102)]
[(-13060, -2454, -10487), (-42, 382, -102)]
[(-13060, -2454, -10487), (-42, 382, -102)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13069, -2420, -10544), (27, 471, -40)]
[(-13080, -2460, -10557), (31, 469, -52)]
