[(-14595, 1298, -8039), (-62, 354, -23)]
[(-14612, 1276, -8063), (-28, 343, -20)]
[(-14612, 1276, -8063), (-28, 343, -20)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14610, 1283, -8069), (-51, 341, -4)]
[(-14601, 1277, -8048), (-55, 355, -25)]
[(-14601, 1277, -8048), (-55, 355, -25)]
[(-14601, 1277, -8048), (-55, 355, -25)]
[(-14601, 1277, -8048), (-55, 355, -25)]
[(-14601, 1277, -8048), (-55, 355, -25)]
[(-14604, 1282, -8061), (-23, 343, -33)]
[(-14604, 1282, -8061), (-23, 343, -33)]
[(-14604, 1282, -8061), (-23, 343, -33)]
[(-14604, 1282, -8061), (-23, 343, -33)]
[(-14611, 1267, -8070), (16, 294, -57)]
[(-14611, 1267, -8070), (16, 294, -57)]
[(-14611, 1267, -8070), (16, 294, -57)]
[(-14611, 1267, -8070), (16, 294, -57)]
[(-14611, 1267, -8070), (16, 294, -57)]
[(-14611, 1267, -8070), (16, 294, -57)]
[(-14611, 1267, -8070), (16, 294, -57)]
[(-14592, 1254, -8007), (163, 98, -59)]
[(-14592, 1254, -8007), (163, 98, -59)]
[(-14592, 1254, -8007), (163, 98, -59)]
[(-14592, 1254, -8007), (163, 98, -59)]
[(-14592, 1254, -8007), (163, 98, -59)]
[(-14632, 1188, -7990), (190, 75, -30)]
[(-14632, 1188, -7990), (190, 75, -30)]
[(-14632, 1188, -7990), (190, 75, -30)]
[(-14632, 1188, -7990), (190, 75, -30)]
[(-14632, 1188, -7990), (190, 75, -30)]
[(-14632, 1188, -7990), (190, 75, -30)]
[(-14624, 1216, -7936), (185, 346, 167)]
[(-14624, 1216, -7936), (185, 346, 167)]
[(-14624, 1216, -7936), (185, 346, 167)]
[(-14624, 1216, -7936), (185, 346, 167)]
[(-14624, 1216, -7936), (185, 346, 167)]
[(-14624, 1216, -7936), (185, 346, 167)]
[(-14624, 1216, -7936), (185, 346, 167)]
[(-14643, 1239, -7903), (183, 331, 269)]
[(-14643, 1239, -7903), (183, 331, 269)]
[(-14643, 1239, -7903), (183, 331, 269)]
[(-14643, 1239, -7903), (183, 331, 269)]
[(-14643, 1239, -7903), (183, 331, 269)]
[(-14604, 1248, -7941), (-395, 275, 227)]
[(-14604, 1248, -7941), (-395, 275, 227)]
[(-14604, 1248, -7941), (-395, 275, 227)]
[(-14604, 1248, -7941), (-395, 275, 227)]
[(-14604, 1248, -7941), (-395, 275, 227)]
[(-14604, 1248, -7941), (-395, 275, 227)]
[(-14604, 1248, -7941), (-395, 275, 227)]
[(-14624, 1318, -7936), (-573, 350, 160)]
[(-14624, 1318, -7936), (-573, 350, 160)]
[(-14624, 1318, -7936), (-573, 350, 160)]
[(-14624, 1318, -7936), (-573, 350, 160)]
[(-14613, 1406, -7942), (-397, 381, 103)]
[(-14613, 1406, -7942), (-397, 381, 103)]
[(-14613, 1406, -7942), (-397, 381, 103)]
[(-14613, 1406, -7942), (-397, 381, 103)]
[(-14613, 1406, -7942), (-397, 381, 103)]
[(-14613, 1406, -7942), (-397, 381, 103)]
[(-14613, 1406, -7942), (-397, 381, 103)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14668, 1384, -7976), (-231, 484, 161)]
[(-14612, 1454, -8005), (-284, 556, 109)]
[(-14612, 1454, -8005), (-284, 556, 109)]
[(-14626, 1440, -8005), (-291, 464, 53)]
[(-14626, 1440, -8005), (-291, 464, 53)]
[(-14626, 1440, -8005), (-291, 464, 53)]
[(-14626, 1440, -8005), (-291, 464, 53)]
[(-14626, 1440, -8005), (-291, 464, 53)]
[(-14626, 1440, -8005), (-291, 464, 53)]
[(-14626, 1440, -8005), (-291, 464, 53)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14610, 1441, -8014), (-214, 387, 61)]
[(-14584, 1456, -7996), (-242, 357, 31)]
[(-14584, 1456, -7996), (-242, 357, 31)]
[(-14584, 1456, -7996), (-242, 357, 31)]
[(-14584, 1456, -7996), (-242, 357, 31)]
[(-14584, 1456, -7996), (-242, 357, 31)]
[(-14579, 1464, -7971), (-202, 356, 22)]
[(-14579, 1464, -7971), (-202, 356, 22)]
[(-14579, 1464, -7971), (-202, 356, 22)]
[(-14579, 1464, -7971), (-202, 356, 22)]
[(-14579, 1464, -7971), (-202, 356, 22)]
[(-14579, 1440, -7970), (-169, 349, 2)]
[(-14579, 1440, -7970), (-169, 349, 2)]
[(-14579, 1440, -7970), (-169, 349, 2)]
[(-14579, 1440, -7970), (-169, 349, 2)]
[(-14579, 1440, -7970), (-169, 349, 2)]
[(-14579, 1440, -7970), (-169, 349, 2)]
[(-14573, 1432, -7994), (-122, 338, 0)]
[(-14573, 1432, -7994), (-122, 338, 0)]
[(-14573, 1432, -7994), (-122, 338, 0)]
[(-14573, 1432, -7994), (-122, 338, 0)]
[(-14573, 1432, -7994), (-122, 338, 0)]
