[(-14730, 1333, -7667), (-77, 401, -18)]
[(-14751, 1324, -7683), (-84, 347, -13)]
[(-14751, 1324, -7683), (-84, 347, -13)]
[(-14751, 1324, -7683), (-84, 347, -13)]
[(-14751, 1324, -7683), (-84, 347, -13)]
[(-14751, 1324, -7683), (-84, 347, -13)]
[(-14755, 1340, -7658), (-108, 328, -16)]
[(-14755, 1340, -7658), (-108, 328, -16)]
[(-14755, 1340, -7658), (-108, 328, -16)]
[(-14755, 1340, -7658), (-108, 328, -16)]
[(-14755, 1340, -7658), (-108, 328, -16)]
[(-14755, 1340, -7658), (-108, 328, -16)]
[(-14755, 1340, -7658), (-108, 328, -16)]
[(-14785, 1360, -7629), (-89, 310, -40)]
[(-14785, 1360, -7629), (-89, 310, -40)]
[(-14785, 1360, -7629), (-89, 310, -40)]
[(-14785, 1360, -7629), (-89, 310, -40)]
[(-14785, 1360, -7629), (-89, 310, -40)]
[(-14785, 1360, -7629), (-89, 310, -40)]
[(-14781, 1347, -7620), (-79, 321, -37)]
[(-14781, 1347, -7620), (-79, 321, -37)]
[(-14781, 1347, -7620), (-79, 321, -37)]
[(-14781, 1347, -7620), (-79, 321, -37)]
[(-14781, 1347, -7620), (-79, 321, -37)]
[(-14781, 1347, -7620), (-79, 321, -37)]
[(-14781, 1347, -7620), (-79, 321, -37)]
[(-14768, 1352, -7641), (-17, 315, -18)]
[(-14768, 1352, -7641), (-17, 315, -18)]
[(-14768, 1352, -7641), (-17, 315, -18)]
[(-14768, 1352, -7641), (-17, 315, -18)]
[(-14768, 1352, -7641), (-17, 315, -18)]
[(-14770, 1316, -7628), (30, 269, -42)]
[(-14770, 1316, -7628), (30, 269, -42)]
[(-14770, 1316, -7628), (30, 269, -42)]
[(-14770, 1316, -7628), (30, 269, -42)]
[(-14770, 1316, -7628), (30, 269, -42)]
[(-14770, 1316, -7628), (30, 269, -42)]
[(-14773, 1347, -7581), (136, 84, -111)]
[(-14773, 1347, -7581), (136, 84, -111)]
[(-14773, 1347, -7581), (136, 84, -111)]
[(-14773, 1347, -7581), (136, 84, -111)]
[(-14773, 1347, -7581), (136, 84, -111)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14774, 1308, -7600), (-26, 823, -22)]
[(-14745, 1367, -7631), (-76, 755, -153)]
[(-14713, 1329, -7637), (-49, 694, -158)]
[(-14713, 1329, -7637), (-49, 694, -158)]
[(-14713, 1329, -7637), (-49, 694, -158)]
[(-14713, 1329, -7637), (-49, 694, -158)]
[(-14713, 1329, -7637), (-49, 694, -158)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14702, 1294, -7615), (-28, 605, -186)]
[(-14727, 1256, -7636), (-55, 546, -161)]
[(-14727, 1256, -7636), (-55, 546, -161)]
[(-14727, 1256, -7636), (-55, 546, -161)]
[(-14727, 1256, -7636), (-55, 546, -161)]
