[(-14715, 429, -7927), (-133, 301, -33)]
[(-14708, 455, -7926), (-145, 299, -42)]
[(-14708, 455, -7926), (-145, 299, -42)]
[(-14708, 455, -7926), (-145, 299, -42)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14723, 456, -7894), (-137, 292, -48)]
[(-14704, 467, -7866), (-148, 281, -27)]
[(-14704, 467, -7866), (-148, 281, -27)]
[(-14704, 467, -7866), (-148, 281, -27)]
[(-14704, 467, -7866), (-148, 281, -27)]
[(-14684, 489, -7855), (-134, 283, -26)]
[(-14684, 489, -7855), (-134, 283, -26)]
[(-14684, 489, -7855), (-134, 283, -26)]
[(-14684, 489, -7855), (-134, 283, -26)]
[(-14684, 489, -7855), (-134, 283, -26)]
[(-14703, 495, -7830), (-32, 183, -33)]
[(-14703, 495, -7830), (-32, 183, -33)]
[(-14703, 495, -7830), (-32, 183, -33)]
[(-14703, 495, -7830), (-32, 183, -33)]
[(-14703, 495, -7830), (-32, 183, -33)]
[(-14703, 495, -7830), (-32, 183, -33)]
[(-14703, 495, -7830), (-32, 183, -33)]
[(-14750, 459, -7766), (144, 102, -66)]
[(-14750, 459, -7766), (144, 102, -66)]
[(-14750, 459, -7766), (144, 102, -66)]
[(-14750, 459, -7766), (144, 102, -66)]
[(-14750, 459, -7766), (144, 102, -66)]
[(-14750, 459, -7766), (144, 102, -66)]
[(-14872, 334, -7799), (105, -64, 3)]
[(-14872, 334, -7799), (105, -64, 3)]
[(-14872, 334, -7799), (105, -64, 3)]
[(-14872, 334, -7799), (105, -64, 3)]
[(-14872, 334, -7799), (105, -64, 3)]
[(-14872, 334, -7799), (105, -64, 3)]
[(-14872, 334, -7799), (105, -64, 3)]
[(-14844, 335, -7765), (0, 31, -47)]
[(-14844, 335, -7765), (0, 31, -47)]
[(-14844, 335, -7765), (0, 31, -47)]
[(-14844, 335, -7765), (0, 31, -47)]
[(-14844, 335, -7765), (0, 31, -47)]
[(-14813, 324, -7745), (-23, 90, -57)]
[(-14813, 324, -7745), (-23, 90, -57)]
[(-14813, 324, -7745), (-23, 90, -57)]
[(-14813, 324, -7745), (-23, 90, -57)]
[(-14813, 324, -7745), (-23, 90, -57)]
[(-14813, 324, -7745), (-23, 90, -57)]
[(-14807, 284, -7733), (-63, 138, -43)]
[(-14807, 284, -7733), (-63, 138, -43)]
[(-14807, 284, -7733), (-63, 138, -43)]
[(-14807, 284, -7733), (-63, 138, -43)]
