[(-5814, 14956, -4530), (-6, 42, 49)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5639, 14994, -4497), (0, 66, 31)]
[(-5591, 15000, -4531), (1, 107, 23)]
[(-5591, 15000, -4531), (1, 107, 23)]
[(-5591, 15000, -4531), (1, 107, 23)]
[(-5591, 15000, -4531), (1, 107, 23)]
[(-5591, 15000, -4531), (1, 107, 23)]
[(-5543, 15018, -4568), (-1, 98, 15)]
[(-5543, 15018, -4568), (-1, 98, 15)]
[(-5543, 15018, -4568), (-1, 98, 15)]
[(-5543, 15018, -4568), (-1, 98, 15)]
[(-5543, 15018, -4568), (-1, 98, 15)]
[(-5543, 15018, -4568), (-1, 98, 15)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5555, 15006, -4579), (-7, 84, 7)]
[(-5480, 15042, -4573), (2, 101, -9)]
[(-5480, 15042, -4573), (2, 101, -9)]
[(-5480, 15042, -4573), (2, 101, -9)]
[(-5535, 15019, -4616), (16, 121, -11)]
[(-5535, 15019, -4616), (16, 121, -11)]
[(-5535, 15019, -4616), (16, 121, -11)]
[(-5535, 15019, -4616), (16, 121, -11)]
[(-5535, 15019, -4616), (16, 121, -11)]
[(-5535, 15019, -4616), (16, 121, -11)]
[(-5648, 14988, -4616), (-9, 39, -6)]
[(-5648, 14988, -4616), (-9, 39, -6)]
[(-5648, 14988, -4616), (-9, 39, -6)]
[(-5648, 14988, -4616), (-9, 39, -6)]
[(-5648, 14988, -4616), (-9, 39, -6)]
[(-5648, 14988, -4616), (-9, 39, -6)]
[(-5648, 14988, -4616), (-9, 39, -6)]
[(-5628, 14944, -4714), (-14, 27, -5)]
[(-5628, 14944, -4714), (-14, 27, -5)]
[(-5628, 14944, -4714), (-14, 27, -5)]
[(-5628, 14944, -4714), (-14, 27, -5)]
[(-5628, 14944, -4714), (-14, 27, -5)]
[(-5622, 14934, -4790), (-12, 45, -1)]
[(-5622, 14934, -4790), (-12, 45, -1)]
[(-5622, 14934, -4790), (-12, 45, -1)]
[(-5622, 14934, -4790), (-12, 45, -1)]
[(-5622, 14934, -4790), (-12, 45, -1)]
[(-5622, 14934, -4790), (-12, 45, -1)]
[(-5601, 14963, -4830), (-49, 5, -15)]
[(-5601, 14963, -4830), (-49, 5, -15)]
[(-5601, 14963, -4830), (-49, 5, -15)]
[(-5601, 14963, -4830), (-49, 5, -15)]
[(-5601, 14963, -4830), (-49, 5, -15)]
[(-5601, 14963, -4830), (-49, 5, -15)]
[(-5601, 14963, -4830), (-49, 5, -15)]
[(-5609, 14987, -4788), (-61, 9, -20)]
[(-5609, 14987, -4788), (-61, 9, -20)]
[(-5609, 14987, -4788), (-61, 9, -20)]
[(-5609, 14987, -4788), (-61, 9, -20)]
[(-5609, 14987, -4788), (-61, 9, -20)]
[(-5688, 14988, -4734), (-54, 10, -21)]
[(-5688, 14988, -4734), (-54, 10, -21)]
[(-5688, 14988, -4734), (-54, 10, -21)]
[(-5688, 14988, -4734), (-54, 10, -21)]
[(-5688, 14988, -4734), (-54, 10, -21)]
[(-5688, 14988, -4734), (-54, 10, -21)]
[(-5688, 14976, -4716), (-50, -2, -7)]
[(-5688, 14976, -4716), (-50, -2, -7)]
[(-5688, 14976, -4716), (-50, -2, -7)]
[(-5688, 14976, -4716), (-50, -2, -7)]
[(-5688, 14976, -4716), (-50, -2, -7)]
[(-5688, 14976, -4716), (-50, -2, -7)]
[(-5688, 14976, -4716), (-50, -2, -7)]
[(-5672, 15012, -4714), (-39, 2, -8)]
[(-5672, 15012, -4714), (-39, 2, -8)]
[(-5672, 15012, -4714), (-39, 2, -8)]
[(-5672, 15012, -4714), (-39, 2, -8)]
[(-5672, 15012, -4714), (-39, 2, -8)]
[(-5672, 15012, -4714), (-39, 2, -8)]
[(-5696, 14975, -4722), (-30, 15, -7)]
[(-5696, 14975, -4722), (-30, 15, -7)]
[(-5696, 14975, -4722), (-30, 15, -7)]
[(-5696, 14975, -4722), (-30, 15, -7)]
[(-5696, 14975, -4722), (-30, 15, -7)]
[(-5675, 15016, -4743), (-46, 64, -25)]
[(-5675, 15016, -4743), (-46, 64, -25)]
[(-5675, 15016, -4743), (-46, 64, -25)]
[(-5675, 15016, -4743), (-46, 64, -25)]
[(-5675, 15016, -4743), (-46, 64, -25)]
[(-5675, 15016, -4743), (-46, 64, -25)]
[(-5675, 15016, -4743), (-46, 64, -25)]
[(-5700, 14942, -4776), (-6, 60, -76)]
