[(-6891, 14180, -5424), (1, 37, 4)]
[(-6848, 14184, -5427), (4, 37, 3)]
[(-6848, 14184, -5427), (4, 37, 3)]
[(-6848, 14184, -5427), (4, 37, 3)]
[(-6848, 14184, -5427), (4, 37, 3)]
[(-6848, 14184, -5427), (4, 37, 3)]
[(-6838, 14212, -5433), (-2, 27, 3)]
[(-6838, 14212, -5433), (-2, 27, 3)]
[(-6838, 14212, -5433), (-2, 27, 3)]
[(-6838, 14212, -5433), (-2, 27, 3)]
[(-6838, 14212, -5433), (-2, 27, 3)]
[(-6838, 14212, -5433), (-2, 27, 3)]
[(-6839, 14212, -5428), (-5, 23, 2)]
[(-6839, 14212, -5428), (-5, 23, 2)]
[(-6839, 14212, -5428), (-5, 23, 2)]
[(-6839, 14212, -5428), (-5, 23, 2)]
[(-6839, 14212, -5428), (-5, 23, 2)]
[(-6839, 14212, -5428), (-5, 23, 2)]
[(-6839, 14212, -5428), (-5, 23, 2)]
[(-6847, 14200, -5436), (-10, 29, 8)]
[(-6847, 14200, -5436), (-10, 29, 8)]
[(-6847, 14200, -5436), (-10, 29, 8)]
[(-6847, 14200, -5436), (-10, 29, 8)]
[(-6847, 14200, -5436), (-10, 29, 8)]
[(-6826, 14180, -5436), (19, 56, 4)]
[(-6826, 14180, -5436), (19, 56, 4)]
[(-6826, 14180, -5436), (19, 56, 4)]
[(-6826, 14180, -5436), (19, 56, 4)]
[(-6826, 14180, -5436), (19, 56, 4)]
[(-6826, 14180, -5436), (19, 56, 4)]
[(-6814, 14173, -5477), (22, 73, -4)]
[(-6814, 14173, -5477), (22, 73, -4)]
[(-6814, 14173, -5477), (22, 73, -4)]
[(-6814, 14173, -5477), (22, 73, -4)]
[(-6814, 14173, -5477), (22, 73, -4)]
[(-6814, 14173, -5477), (22, 73, -4)]
[(-6814, 14173, -5477), (22, 73, -4)]
[(-6804, 14170, -5544), (20, 68, -10)]
[(-6804, 14170, -5544), (20, 68, -10)]
[(-6804, 14170, -5544), (20, 68, -10)]
[(-6804, 14170, -5544), (20, 68, -10)]
[(-6804, 14170, -5544), (20, 68, -10)]
[(-6804, 14170, -5544), (20, 68, -10)]
[(-6804, 14170, -5544), (20, 68, -10)]
[(-6821, 14118, -5612), (0, 61, 1)]
[(-6821, 14118, -5612), (0, 61, 1)]
[(-6821, 14118, -5612), (0, 61, 1)]
[(-6821, 14118, -5612), (0, 61, 1)]
[(-6796, 14112, -5596), (-12, 41, 6)]
[(-6796, 14112, -5596), (-12, 41, 6)]
[(-6796, 14112, -5596), (-12, 41, 6)]
[(-6796, 14112, -5596), (-12, 41, 6)]
[(-6796, 14112, -5596), (-12, 41, 6)]
[(-6796, 14112, -5596), (-12, 41, 6)]
[(-6796, 14112, -5596), (-12, 41, 6)]
[(-6804, 14171, -5614), (-3, 31, 9)]
[(-6804, 14171, -5614), (-3, 31, 9)]
[(-6804, 14171, -5614), (-3, 31, 9)]
[(-6804, 14171, -5614), (-3, 31, 9)]
[(-6804, 14171, -5614), (-3, 31, 9)]
[(-6779, 14185, -5630), (8, 57, 0)]
[(-6779, 14185, -5630), (8, 57, 0)]
[(-6779, 14185, -5630), (8, 57, 0)]
[(-6779, 14185, -5630), (8, 57, 0)]
[(-6779, 14185, -5630), (8, 57, 0)]
[(-6779, 14185, -5630), (8, 57, 0)]
[(-6582, 14312, -5776), (-18, 81, 17)]
[(-6582, 14312, -5776), (-18, 81, 17)]
[(-6582, 14312, -5776), (-18, 81, 17)]
[(-6582, 14312, -5776), (-18, 81, 17)]
[(-6582, 14312, -5776), (-18, 81, 17)]
[(-6582, 14312, -5776), (-18, 81, 17)]
[(-6582, 14312, -5776), (-18, 81, 17)]
[(-6604, 14221, -5857), (-13, 63, 17)]
[(-6604, 14221, -5857), (-13, 63, 17)]
[(-6604, 14221, -5857), (-13, 63, 17)]
[(-6604, 14221, -5857), (-13, 63, 17)]
[(-6604, 14221, -5857), (-13, 63, 17)]
[(-6591, 14216, -5920), (-21, 45, 22)]
[(-6591, 14216, -5920), (-21, 45, 22)]
[(-6591, 14216, -5920), (-21, 45, 22)]
[(-6591, 14216, -5920), (-21, 45, 22)]
[(-6591, 14216, -5920), (-21, 45, 22)]
[(-6591, 14216, -5920), (-21, 45, 22)]
[(-6632, 14194, -5888), (-78, 29, 17)]
[(-6632, 14194, -5888), (-78, 29, 17)]
[(-6632, 14194, -5888), (-78, 29, 17)]
[(-6632, 14194, -5888), (-78, 29, 17)]
[(-6632, 14194, -5888), (-78, 29, 17)]
[(-6632, 14194, -5888), (-78, 29, 17)]
[(-6632, 14194, -5888), (-78, 29, 17)]
[(-6701, 14181, -5808), (-88, 18, 11)]
[(-6701, 14181, -5808), (-88, 18, 11)]
[(-6701, 14181, -5808), (-88, 18, 11)]
[(-6701, 14181, -5808), (-88, 18, 11)]
[(-6701, 14181, -5808), (-88, 18, 11)]
[(-6716, 14184, -5719), (-51, 10, 15)]
[(-6716, 14184, -5719), (-51, 10, 15)]
[(-6716, 14184, -5719), (-51, 10, 15)]
[(-6716, 14184, -5719), (-51, 10, 15)]
[(-6716, 14184, -5719), (-51, 10, 15)]
[(-6716, 14184, -5719), (-51, 10, 15)]
[(-6700, 14189, -5744), (-34, 20, 11)]
[(-6700, 14189, -5744), (-34, 20, 11)]
