[(-14784, 1116, -7614), (-70, 379, -1)]
[(-14763, 1112, -7628), (-72, 376, -13)]
[(-14763, 1112, -7628), (-72, 376, -13)]
[(-14763, 1112, -7628), (-72, 376, -13)]
[(-14763, 1112, -7628), (-72, 376, -13)]
[(-14763, 1112, -7628), (-72, 376, -13)]
[(-14763, 1112, -7628), (-72, 376, -13)]
[(-14761, 1115, -7644), (-71, 376, -14)]
[(-14761, 1115, -7644), (-71, 376, -14)]
[(-14761, 1115, -7644), (-71, 376, -14)]
[(-14761, 1115, -7644), (-71, 376, -14)]
[(-14761, 1115, -7644), (-71, 376, -14)]
[(-14771, 1129, -7664), (-70, 386, -24)]
[(-14771, 1129, -7664), (-70, 386, -24)]
[(-14771, 1129, -7664), (-70, 386, -24)]
[(-14771, 1129, -7664), (-70, 386, -24)]
[(-14771, 1129, -7664), (-70, 386, -24)]
[(-14771, 1129, -7664), (-70, 386, -24)]
[(-14771, 1129, -7664), (-70, 386, -24)]
[(-14821, 1128, -7662), (-49, 345, -35)]
[(-14821, 1128, -7662), (-49, 345, -35)]
[(-14821, 1128, -7662), (-49, 345, -35)]
[(-14821, 1128, -7662), (-49, 345, -35)]
[(-14821, 1128, -7662), (-49, 345, -35)]
[(-14821, 1128, -7662), (-49, 345, -35)]
[(-14826, 1135, -7650), (-81, 339, -30)]
[(-14826, 1135, -7650), (-81, 339, -30)]
[(-14826, 1135, -7650), (-81, 339, -30)]
[(-14826, 1135, -7650), (-81, 339, -30)]
[(-14826, 1135, -7650), (-81, 339, -30)]
[(-14826, 1135, -7650), (-81, 339, -30)]
[(-14826, 1135, -7650), (-81, 339, -30)]
[(-14828, 1129, -7644), (-59, 347, -39)]
[(-14828, 1129, -7644), (-59, 347, -39)]
[(-14828, 1129, -7644), (-59, 347, -39)]
[(-14828, 1129, -7644), (-59, 347, -39)]
[(-14810, 1127, -7716), (100, 518, 23)]
[(-14810, 1127, -7716), (100, 518, 23)]
[(-14810, 1127, -7716), (100, 518, 23)]
[(-14810, 1127, -7716), (100, 518, 23)]
[(-14810, 1127, -7716), (100, 518, 23)]
[(-14810, 1127, -7716), (100, 518, 23)]
[(-14810, 1127, -7716), (100, 518, 23)]
[(-14786, 1172, -7710), (76, 554, 30)]
[(-14786, 1172, -7710), (76, 554, 30)]
[(-14786, 1172, -7710), (76, 554, 30)]
[(-14786, 1172, -7710), (76, 554, 30)]
[(-14786, 1172, -7710), (76, 554, 30)]
[(-14760, 1167, -7688), (71, 543, 4)]
[(-14760, 1167, -7688), (71, 543, 4)]
[(-14760, 1167, -7688), (71, 543, 4)]
[(-14760, 1167, -7688), (71, 543, 4)]
[(-14760, 1167, -7688), (71, 543, 4)]
[(-14760, 1167, -7688), (71, 543, 4)]
[(-14737, 1139, -7734), (83, 529, -72)]
[(-14737, 1139, -7734), (83, 529, -72)]
[(-14737, 1139, -7734), (83, 529, -72)]
[(-14737, 1139, -7734), (83, 529, -72)]
[(-14737, 1139, -7734), (83, 529, -72)]
[(-14737, 1139, -7734), (83, 529, -72)]
[(-14737, 1139, -7734), (83, 529, -72)]
[(-14708, 1142, -7745), (117, 529, -180)]
[(-14708, 1142, -7745), (117, 529, -180)]
[(-14708, 1142, -7745), (117, 529, -180)]
[(-14708, 1142, -7745), (117, 529, -180)]
[(-14708, 1142, -7745), (117, 529, -180)]
[(-14706, 1079, -7816), (292, 475, -217)]
[(-14706, 1079, -7816), (292, 475, -217)]
[(-14706, 1079, -7816), (292, 475, -217)]
[(-14706, 1079, -7816), (292, 475, -217)]
[(-14706, 1079, -7816), (292, 475, -217)]
[(-14706, 1079, -7816), (292, 475, -217)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14716, 1029, -7842), (221, 467, -220)]
[(-14712, 924, -7882), (105, 427, -61)]
[(-14712, 924, -7882), (105, 427, -61)]
[(-14712, 924, -7882), (105, 427, -61)]
[(-14721, 895, -7879), (-84, 349, -13)]
[(-14721, 895, -7879), (-84, 349, -13)]
[(-14721, 895, -7879), (-84, 349, -13)]
[(-14721, 895, -7879), (-84, 349, -13)]
[(-14721, 895, -7879), (-84, 349, -13)]
[(-14721, 895, -7879), (-84, 349, -13)]
[(-14688, 994, -7855), (-128, 281, 95)]
[(-14688, 994, -7855), (-128, 281, 95)]
[(-14688, 994, -7855), (-128, 281, 95)]
[(-14688, 994, -7855), (-128, 281, 95)]
[(-14688, 994, -7855), (-128, 281, 95)]
[(-14712, 976, -7815), (-219, 264, -6)]
[(-14712, 976, -7815), (-219, 264, -6)]
[(-14712, 976, -7815), (-219, 264, -6)]
[(-14712, 976, -7815), (-219, 264, -6)]
[(-14712, 976, -7815), (-219, 264, -6)]
[(-14712, 976, -7815), (-219, 264, -6)]
[(-14712, 976, -7815), (-219, 264, -6)]
[(-14726, 1043, -7772), (-206, 273, 16)]
[(-14726, 1043, -7772), (-206, 273, 16)]
