[(-14615, 899, -8052), (219, 412, 23)]
[(-14621, 897, -8070), (115, 373, -8)]
[(-14621, 897, -8070), (115, 373, -8)]
[(-14608, 892, -8040), (34, 356, -19)]
[(-14608, 892, -8040), (34, 356, -19)]
[(-14608, 892, -8040), (34, 356, -19)]
[(-14608, 892, -8040), (34, 356, -19)]
[(-14608, 892, -8040), (34, 356, -19)]
[(-14608, 892, -8040), (34, 356, -19)]
[(-14608, 892, -8040), (34, 356, -19)]
[(-14577, 882, -8013), (7, 292, 16)]
[(-14577, 882, -8013), (7, 292, 16)]
[(-14577, 882, -8013), (7, 292, 16)]
[(-14577, 882, -8013), (7, 292, 16)]
[(-14577, 882, -8013), (7, 292, 16)]
[(-14576, 874, -7972), (-4, 288, -16)]
[(-14576, 874, -7972), (-4, 288, -16)]
[(-14576, 874, -7972), (-4, 288, -16)]
[(-14576, 874, -7972), (-4, 288, -16)]
[(-14576, 874, -7972), (-4, 288, -16)]
[(-14576, 874, -7972), (-4, 288, -16)]
[(-14604, 844, -7932), (58, 318, -16)]
[(-14604, 844, -7932), (58, 318, -16)]
[(-14604, 844, -7932), (58, 318, -16)]
[(-14604, 844, -7932), (58, 318, -16)]
[(-14604, 844, -7932), (58, 318, -16)]
[(-14604, 844, -7932), (58, 318, -16)]
[(-14604, 844, -7932), (58, 318, -16)]
[(-14601, 821, -7931), (251, 365, 42)]
[(-14601, 821, -7931), (251, 365, 42)]
[(-14601, 821, -7931), (251, 365, 42)]
[(-14601, 821, -7931), (251, 365, 42)]
[(-14601, 821, -7931), (251, 365, 42)]
[(-14627, 836, -7988), (321, 432, 155)]
[(-14627, 836, -7988), (321, 432, 155)]
[(-14627, 836, -7988), (321, 432, 155)]
[(-14627, 836, -7988), (321, 432, 155)]
[(-14627, 836, -7988), (321, 432, 155)]
[(-14627, 836, -7988), (321, 432, 155)]
[(-14598, 842, -8032), (146, 459, 72)]
[(-14598, 842, -8032), (146, 459, 72)]
[(-14598, 842, -8032), (146, 459, 72)]
[(-14598, 842, -8032), (146, 459, 72)]
[(-14598, 842, -8032), (146, 459, 72)]
[(-14598, 842, -8032), (146, 459, 72)]
[(-14598, 842, -8032), (146, 459, 72)]
[(-14600, 820, -8073), (58, 447, 0)]
[(-14600, 820, -8073), (58, 447, 0)]
[(-14600, 820, -8073), (58, 447, 0)]
[(-14600, 820, -8073), (58, 447, 0)]
[(-14600, 820, -8073), (58, 447, 0)]
[(-14584, 839, -8086), (-5, 380, -86)]
[(-14584, 839, -8086), (-5, 380, -86)]
[(-14584, 839, -8086), (-5, 380, -86)]
[(-14584, 839, -8086), (-5, 380, -86)]
[(-14584, 839, -8086), (-5, 380, -86)]
[(-14584, 839, -8086), (-5, 380, -86)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14584, 785, -8092), (-27, 341, -144)]
[(-14564, 744, -8070), (1, 344, -204)]
[(-14564, 744, -8070), (1, 344, -204)]
[(-14564, 744, -8070), (1, 344, -204)]
[(-14576, 685, -8106), (47, 334, -179)]
[(-14576, 685, -8106), (47, 334, -179)]
[(-14576, 685, -8106), (47, 334, -179)]
[(-14576, 685, -8106), (47, 334, -179)]
[(-14576, 685, -8106), (47, 334, -179)]
[(-14576, 685, -8106), (47, 334, -179)]
[(-14617, 633, -8128), (-78, 378, -73)]
[(-14617, 633, -8128), (-78, 378, -73)]
[(-14617, 633, -8128), (-78, 378, -73)]
[(-14617, 633, -8128), (-78, 378, -73)]
[(-14617, 633, -8128), (-78, 378, -73)]
[(-14617, 633, -8128), (-78, 378, -73)]
[(-14617, 633, -8128), (-78, 378, -73)]
[(-14577, 629, -8141), (-206, 363, 4)]
[(-14577, 629, -8141), (-206, 363, 4)]
[(-14577, 629, -8141), (-206, 363, 4)]
[(-14577, 629, -8141), (-206, 363, 4)]
[(-14577, 629, -8141), (-206, 363, 4)]
[(-14592, 644, -8126), (-227, 368, 28)]
[(-14592, 644, -8126), (-227, 368, 28)]
[(-14592, 644, -8126), (-227, 368, 28)]
[(-14592, 644, -8126), (-227, 368, 28)]
[(-14592, 644, -8126), (-227, 368, 28)]
[(-14592, 644, -8126), (-227, 368, 28)]
[(-14606, 688, -8112), (-297, 327, 42)]
[(-14606, 688, -8112), (-297, 327, 42)]
[(-14606, 688, -8112), (-297, 327, 42)]
[(-14606, 688, -8112), (-297, 327, 42)]
[(-14606, 688, -8112), (-297, 327, 42)]
[(-14606, 688, -8112), (-297, 327, 42)]
[(-14600, 722, -8096), (-265, 306, 84)]
[(-14600, 722, -8096), (-265, 306, 84)]
[(-14600, 722, -8096), (-265, 306, 84)]
[(-14600, 722, -8096), (-265, 306, 84)]
[(-14600, 722, -8096), (-265, 306, 84)]
[(-14593, 776, -8051), (-236, 300, 63)]
[(-14593, 776, -8051), (-236, 300, 63)]
[(-14593, 776, -8051), (-236, 300, 63)]
[(-14593, 776, -8051), (-236, 300, 63)]
[(-14593, 776, -8051), (-236, 300, 63)]
[(-14593, 776, -8051), (-236, 300, 63)]
[(-14602, 774, -8030), (-199, 313, 49)]
[(-14602, 774, -8030), (-199, 313, 49)]
[(-14602, 774, -8030), (-199, 313, 49)]
[(-14602, 774, -8030), (-199, 313, 49)]
[(-14602, 774, -8030), (-199, 313, 49)]
[(-14602, 774, -8030), (-199, 313, 49)]
[(-14602, 774, -8030), (-199, 313, 49)]
[(-14611, 793, -8039), (-147, 328, 31)]
[(-14611, 793, -8039), (-147, 328, 31)]
