[(-15348, 3504, -4483), (-72, 334, 1)]
[(-15362, 3483, -4450), (-89, 338, -15)]
[(-15362, 3483, -4450), (-89, 338, -15)]
[(-15354, 3486, -4449), (-118, 336, 36)]
[(-15354, 3486, -4449), (-118, 336, 36)]
[(-15354, 3486, -4449), (-118, 336, 36)]
[(-15354, 3486, -4449), (-118, 336, 36)]
[(-15354, 3486, -4449), (-118, 336, 36)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15372, 3469, -4445), (-55, 354, 30)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15365, 3498, -4470), (-88, 346, 23)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15356, 3536, -4417), (-243, 364, 36)]
[(-15351, 3553, -4455), (-227, 378, 13)]
[(-15351, 3553, -4455), (-227, 378, 13)]
[(-15351, 3553, -4455), (-227, 378, 13)]
[(-15351, 3553, -4455), (-227, 378, 13)]
[(-15351, 3553, -4455), (-227, 378, 13)]
[(-15351, 3553, -4455), (-227, 378, 13)]
[(-15336, 3557, -4449), (-249, 415, -11)]
[(-15336, 3557, -4449), (-249, 415, -11)]
[(-15309, 3580, -4470), (-240, 373, -14)]
[(-15309, 3580, -4470), (-240, 373, -14)]
