[(-14784, 1452, -7545), (-100, 320, 18)]
[(-14764, 1494, -7541), (-105, 303, 14)]
[(-14764, 1494, -7541), (-105, 303, 14)]
[(-14794, 1504, -7538), (-94, 297, -9)]
[(-14794, 1504, -7538), (-94, 297, -9)]
[(-14794, 1504, -7538), (-94, 297, -9)]
[(-14794, 1504, -7538), (-94, 297, -9)]
[(-14794, 1504, -7538), (-94, 297, -9)]
[(-14794, 1504, -7538), (-94, 297, -9)]
[(-14794, 1504, -7538), (-94, 297, -9)]
[(-14792, 1500, -7540), (-100, 288, -10)]
[(-14792, 1500, -7540), (-100, 288, -10)]
[(-14792, 1500, -7540), (-100, 288, -10)]
[(-14792, 1500, -7540), (-100, 288, -10)]
[(-14792, 1500, -7540), (-100, 288, -10)]
[(-14792, 1500, -7540), (-100, 288, -10)]
[(-14748, 1496, -7565), (-73, 286, -4)]
[(-14748, 1496, -7565), (-73, 286, -4)]
[(-14748, 1496, -7565), (-73, 286, -4)]
[(-14748, 1496, -7565), (-73, 286, -4)]
[(-14748, 1496, -7565), (-73, 286, -4)]
[(-14748, 1496, -7565), (-73, 286, -4)]
[(-14748, 1496, -7565), (-73, 286, -4)]
[(-14740, 1482, -7580), (-82, 293, -6)]
[(-14740, 1482, -7580), (-82, 293, -6)]
[(-14740, 1482, -7580), (-82, 293, -6)]
[(-14740, 1482, -7580), (-82, 293, -6)]
[(-14740, 1482, -7580), (-82, 293, -6)]
[(-14740, 1482, -7580), (-82, 293, -6)]
[(-14759, 1463, -7577), (-85, 300, 0)]
[(-14759, 1463, -7577), (-85, 300, 0)]
[(-14759, 1463, -7577), (-85, 300, 0)]
[(-14759, 1463, -7577), (-85, 300, 0)]
[(-14759, 1463, -7577), (-85, 300, 0)]
[(-14759, 1463, -7577), (-85, 300, 0)]
[(-14759, 1463, -7577), (-85, 300, 0)]
[(-14764, 1444, -7578), (-7, 270, 38)]
[(-14764, 1444, -7578), (-7, 270, 38)]
[(-14764, 1444, -7578), (-7, 270, 38)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14758, 1452, -7544), (-18, 223, 19)]
[(-14759, 1444, -7550), (-69, 232, 22)]
[(-14759, 1444, -7550), (-69, 232, 22)]
[(-14759, 1444, -7550), (-69, 232, 22)]
[(-14759, 1444, -7550), (-69, 232, 22)]
[(-14759, 1444, -7550), (-69, 232, 22)]
[(-14775, 1416, -7542), (-123, 239, -14)]
[(-14775, 1416, -7542), (-123, 239, -14)]
[(-14775, 1416, -7542), (-123, 239, -14)]
[(-14775, 1416, -7542), (-123, 239, -14)]
[(-14775, 1416, -7542), (-123, 239, -14)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14799, 1421, -7524), (-93, 226, -29)]
[(-14796, 1420, -7496), (-94, 229, -25)]
[(-14796, 1420, -7496), (-94, 229, -25)]
[(-14796, 1420, -7496), (-94, 229, -25)]
[(-14796, 1420, -7496), (-94, 229, -25)]
[(-14796, 1420, -7496), (-94, 229, -25)]
[(-14796, 1420, -7496), (-94, 229, -25)]
[(-14794, 1413, -7487), (-89, 278, -18)]
[(-14794, 1413, -7487), (-89, 278, -18)]
[(-14794, 1413, -7487), (-89, 278, -18)]
[(-14800, 1413, -7485), (92, 169, -9)]
[(-14800, 1413, -7485), (92, 169, -9)]
[(-14800, 1413, -7485), (92, 169, -9)]
[(-14800, 1413, -7485), (92, 169, -9)]
[(-14800, 1413, -7485), (92, 169, -9)]
[(-14800, 1413, -7485), (92, 169, -9)]
[(-14800, 1413, -7485), (92, 169, -9)]
[(-14816, 1392, -7484), (17, 217, 16)]
[(-14816, 1392, -7484), (17, 217, 16)]
[(-14816, 1392, -7484), (17, 217, 16)]
[(-14816, 1392, -7484), (17, 217, 16)]
[(-14816, 1392, -7484), (17, 217, 16)]
[(-14816, 1392, -7484), (17, 217, 16)]
[(-14807, 1388, -7454), (-39, 262, 9)]
[(-14807, 1388, -7454), (-39, 262, 9)]
[(-14807, 1388, -7454), (-39, 262, 9)]
[(-14807, 1388, -7454), (-39, 262, 9)]
[(-14807, 1388, -7454), (-39, 262, 9)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14810, 1390, -7480), (-77, 304, -8)]
[(-14799, 1413, -7512), (-78, 314, 1)]
[(-14799, 1413, -7512), (-78, 314, 1)]
[(-14799, 1413, -7512), (-78, 314, 1)]
[(-14799, 1413, -7512), (-78, 314, 1)]
[(-14799, 1413, -7512), (-78, 314, 1)]
[(-14785, 1408, -7532), (-116, 344, -14)]
[(-14785, 1408, -7532), (-116, 344, -14)]
[(-14785, 1408, -7532), (-116, 344, -14)]
[(-14785, 1408, -7532), (-116, 344, -14)]
[(-14785, 1408, -7532), (-116, 344, -14)]
[(-14785, 1408, -7532), (-116, 344, -14)]
[(-14771, 1399, -7540), (-30, 282, 7)]
[(-14771, 1399, -7540), (-30, 282, 7)]
[(-14771, 1399, -7540), (-30, 282, 7)]
[(-14771, 1399, -7540), (-30, 282, 7)]
[(-14771, 1399, -7540), (-30, 282, 7)]
[(-14754, 1385, -7524), (-68, 294, -32)]
[(-14754, 1385, -7524), (-68, 294, -32)]
[(-14754, 1385, -7524), (-68, 294, -32)]
[(-14754, 1385, -7524), (-68, 294, -32)]
[(-14754, 1385, -7524), (-68, 294, -32)]
[(-14754, 1385, -7524), (-68, 294, -32)]
[(-14758, 1379, -7527), (-61, 296, -10)]
[(-14758, 1379, -7527), (-61, 296, -10)]
[(-14758, 1379, -7527), (-61, 296, -10)]
[(-14758, 1379, -7527), (-61, 296, -10)]
[(-14758, 1379, -7527), (-61, 296, -10)]
[(-14746, 1376, -7553), (-80, 299, -5)]
[(-14746, 1376, -7553), (-80, 299, -5)]
[(-14746, 1376, -7553), (-80, 299, -5)]
[(-14746, 1376, -7553), (-80, 299, -5)]
[(-14746, 1376, -7553), (-80, 299, -5)]
[(-14746, 1376, -7553), (-80, 299, -5)]
[(-14766, 1367, -7524), (-68, 298, 19)]
[(-14766, 1367, -7524), (-68, 298, 19)]
