[(-14780, 1276, -7605), (319, 327, 149)]
[(-14760, 1275, -7603), (244, 344, 126)]
[(-14760, 1275, -7603), (244, 344, 126)]
[(-14760, 1275, -7603), (244, 344, 126)]
[(-14760, 1275, -7603), (244, 344, 126)]
[(-14760, 1275, -7603), (244, 344, 126)]
[(-14760, 1272, -7630), (171, 340, 107)]
[(-14760, 1272, -7630), (171, 340, 107)]
[(-14760, 1272, -7630), (171, 340, 107)]
[(-14760, 1272, -7630), (171, 340, 107)]
[(-14760, 1272, -7630), (171, 340, 107)]
[(-14760, 1272, -7630), (171, 340, 107)]
[(-14760, 1272, -7630), (171, 340, 107)]
[(-14760, 1304, -7646), (108, 326, 109)]
[(-14760, 1304, -7646), (108, 326, 109)]
[(-14760, 1304, -7646), (108, 326, 109)]
[(-14760, 1304, -7646), (108, 326, 109)]
[(-14760, 1304, -7646), (108, 326, 109)]
[(-14756, 1303, -7637), (110, 250, 92)]
[(-14756, 1303, -7637), (110, 250, 92)]
[(-14756, 1303, -7637), (110, 250, 92)]
[(-14756, 1303, -7637), (110, 250, 92)]
[(-14756, 1303, -7637), (110, 250, 92)]
[(-14756, 1303, -7637), (110, 250, 92)]
[(-14744, 1308, -7635), (88, 264, 46)]
[(-14744, 1308, -7635), (88, 264, 46)]
[(-14744, 1308, -7635), (88, 264, 46)]
[(-14744, 1308, -7635), (88, 264, 46)]
[(-14744, 1308, -7635), (88, 264, 46)]
[(-14744, 1308, -7635), (88, 264, 46)]
[(-14744, 1308, -7635), (88, 264, 46)]
[(-14764, 1290, -7648), (86, 260, 33)]
[(-14764, 1290, -7648), (86, 260, 33)]
[(-14764, 1290, -7648), (86, 260, 33)]
[(-14764, 1290, -7648), (86, 260, 33)]
[(-14764, 1290, -7648), (86, 260, 33)]
[(-14764, 1290, -7648), (86, 260, 33)]
[(-14764, 1290, -7648), (86, 260, 33)]
[(-14747, 1270, -7645), (22, 238, 51)]
[(-14747, 1270, -7645), (22, 238, 51)]
[(-14747, 1270, -7645), (22, 238, 51)]
[(-14747, 1270, -7645), (22, 238, 51)]
[(-14758, 1258, -7609), (33, 219, 75)]
[(-14758, 1258, -7609), (33, 219, 75)]
[(-14758, 1258, -7609), (33, 219, 75)]
[(-14758, 1258, -7609), (33, 219, 75)]
[(-14758, 1258, -7609), (33, 219, 75)]
[(-14758, 1258, -7609), (33, 219, 75)]
[(-14758, 1258, -7609), (33, 219, 75)]
[(-14730, 1263, -7631), (-55, 271, 108)]
[(-14730, 1263, -7631), (-55, 271, 108)]
[(-14730, 1263, -7631), (-55, 271, 108)]
[(-14730, 1263, -7631), (-55, 271, 108)]
[(-14730, 1263, -7631), (-55, 271, 108)]
[(-14732, 1296, -7597), (-139, 228, 63)]
[(-14732, 1296, -7597), (-139, 228, 63)]
[(-14732, 1296, -7597), (-139, 228, 63)]
[(-14732, 1296, -7597), (-139, 228, 63)]
[(-14732, 1296, -7597), (-139, 228, 63)]
[(-14732, 1296, -7597), (-139, 228, 63)]
[(-14754, 1319, -7612), (-184, 238, 41)]
[(-14754, 1319, -7612), (-184, 238, 41)]
[(-14754, 1319, -7612), (-184, 238, 41)]
[(-14754, 1319, -7612), (-184, 238, 41)]
[(-14754, 1319, -7612), (-184, 238, 41)]
[(-14754, 1319, -7612), (-184, 238, 41)]
[(-14754, 1319, -7612), (-184, 238, 41)]
[(-14752, 1355, -7596), (-178, 255, 37)]
[(-14752, 1355, -7596), (-178, 255, 37)]
[(-14752, 1355, -7596), (-178, 255, 37)]
[(-14752, 1355, -7596), (-178, 255, 37)]
[(-14752, 1355, -7596), (-178, 255, 37)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14774, 1404, -7564), (5, 194, -17)]
[(-14777, 1390, -7517), (-69, 189, -17)]
[(-14777, 1390, -7517), (-69, 189, -17)]
[(-14777, 1390, -7517), (-69, 189, -17)]
[(-14777, 1390, -7517), (-69, 189, -17)]
[(-14777, 1390, -7517), (-69, 189, -17)]
[(-14796, 1376, -7510), (-129, 258, -32)]
[(-14796, 1376, -7510), (-129, 258, -32)]
[(-14796, 1376, -7510), (-129, 258, -32)]
[(-14796, 1376, -7510), (-129, 258, -32)]
[(-14796, 1376, -7510), (-129, 258, -32)]
[(-14798, 1381, -7512), (-110, 319, -5)]
[(-14798, 1381, -7512), (-110, 319, -5)]
