[(-14669, 1356, -7828), (-110, 333, 0)]
[(-14690, 1373, -7804), (-124, 305, 5)]
[(-14690, 1373, -7804), (-124, 305, 5)]
[(-14690, 1373, -7804), (-124, 305, 5)]
[(-14690, 1373, -7804), (-124, 305, 5)]
[(-14690, 1373, -7804), (-124, 305, 5)]
[(-14690, 1373, -7804), (-124, 305, 5)]
[(-14690, 1388, -7780), (-125, 295, 14)]
[(-14690, 1388, -7780), (-125, 295, 14)]
[(-14690, 1388, -7780), (-125, 295, 14)]
[(-14690, 1388, -7780), (-125, 295, 14)]
[(-14690, 1388, -7780), (-125, 295, 14)]
[(-14703, 1404, -7802), (-116, 291, 20)]
[(-14703, 1404, -7802), (-116, 291, 20)]
[(-14703, 1404, -7802), (-116, 291, 20)]
[(-14703, 1404, -7802), (-116, 291, 20)]
[(-14703, 1404, -7802), (-116, 291, 20)]
[(-14703, 1404, -7802), (-116, 291, 20)]
[(-14703, 1404, -7802), (-116, 291, 20)]
[(-14712, 1417, -7784), (-122, 287, 3)]
[(-14712, 1417, -7784), (-122, 287, 3)]
[(-14712, 1417, -7784), (-122, 287, 3)]
[(-14712, 1417, -7784), (-122, 287, 3)]
[(-14712, 1417, -7784), (-122, 287, 3)]
[(-14712, 1417, -7784), (-122, 287, 3)]
[(-14713, 1410, -7760), (-90, 273, 7)]
[(-14713, 1410, -7760), (-90, 273, 7)]
[(-14713, 1410, -7760), (-90, 273, 7)]
[(-14713, 1410, -7760), (-90, 273, 7)]
[(-14713, 1410, -7760), (-90, 273, 7)]
[(-14689, 1405, -7716), (-58, 273, 31)]
[(-14689, 1405, -7716), (-58, 273, 31)]
[(-14689, 1405, -7716), (-58, 273, 31)]
[(-14689, 1405, -7716), (-58, 273, 31)]
[(-14689, 1405, -7716), (-58, 273, 31)]
[(-14689, 1405, -7716), (-58, 273, 31)]
[(-14689, 1405, -7716), (-58, 273, 31)]
[(-14720, 1395, -7754), (-65, 296, 10)]
[(-14720, 1395, -7754), (-65, 296, 10)]
[(-14720, 1395, -7754), (-65, 296, 10)]
[(-14720, 1395, -7754), (-65, 296, 10)]
[(-14720, 1395, -7754), (-65, 296, 10)]
[(-14720, 1395, -7754), (-65, 296, 10)]
[(-14733, 1411, -7752), (-155, 284, -42)]
[(-14733, 1411, -7752), (-155, 284, -42)]
[(-14733, 1411, -7752), (-155, 284, -42)]
[(-14733, 1411, -7752), (-155, 284, -42)]
[(-14733, 1411, -7752), (-155, 284, -42)]
[(-14745, 1375, -7757), (-180, 311, -53)]
[(-14745, 1375, -7757), (-180, 311, -53)]
[(-14745, 1375, -7757), (-180, 311, -53)]
[(-14745, 1375, -7757), (-180, 311, -53)]
[(-14745, 1375, -7757), (-180, 311, -53)]
[(-14745, 1375, -7757), (-180, 311, -53)]
[(-14745, 1375, -7757), (-180, 311, -53)]
[(-14736, 1372, -7766), (-163, 305, -47)]
[(-14736, 1372, -7766), (-163, 305, -47)]
[(-14736, 1372, -7766), (-163, 305, -47)]
[(-14736, 1372, -7766), (-163, 305, -47)]
[(-14736, 1372, -7766), (-163, 305, -47)]
[(-14736, 1372, -7766), (-163, 305, -47)]
[(-14745, 1355, -7744), (70, 183, -27)]
[(-14745, 1355, -7744), (70, 183, -27)]
[(-14745, 1355, -7744), (70, 183, -27)]
[(-14745, 1355, -7744), (70, 183, -27)]
[(-14745, 1355, -7744), (70, 183, -27)]
[(-14761, 1370, -7708), (-22, 129, 63)]
[(-14761, 1370, -7708), (-22, 129, 63)]
[(-14761, 1370, -7708), (-22, 129, 63)]
[(-14761, 1370, -7708), (-22, 129, 63)]
[(-14761, 1370, -7708), (-22, 129, 63)]
[(-14761, 1370, -7708), (-22, 129, 63)]
[(-14761, 1370, -7708), (-22, 129, 63)]
[(-14724, 1427, -7696), (13, 251, 94)]
[(-14724, 1427, -7696), (13, 251, 94)]
[(-14724, 1427, -7696), (13, 251, 94)]
[(-14724, 1427, -7696), (13, 251, 94)]
[(-14724, 1427, -7696), (13, 251, 94)]
[(-14724, 1427, -7696), (13, 251, 94)]
[(-14691, 1382, -7713), (-60, 466, -160)]
[(-14691, 1382, -7713), (-60, 466, -160)]
[(-14691, 1382, -7713), (-60, 466, -160)]
[(-14691, 1382, -7713), (-60, 466, -160)]
[(-14691, 1382, -7713), (-60, 466, -160)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14697, 1214, -7767), (78, 459, -317)]
[(-14664, 1177, -7836), (42, 419, -188)]
[(-14664, 1177, -7836), (42, 419, -188)]
[(-14664, 1177, -7836), (42, 419, -188)]
[(-14685, 1148, -7856), (-70, 413, -63)]
[(-14685, 1148, -7856), (-70, 413, -63)]
[(-14685, 1148, -7856), (-70, 413, -63)]
[(-14685, 1148, -7856), (-70, 413, -63)]
[(-14685, 1148, -7856), (-70, 413, -63)]
[(-14685, 1148, -7856), (-70, 413, -63)]
[(-14675, 1198, -7863), (-70, 280, 92)]
[(-14675, 1198, -7863), (-70, 280, 92)]
[(-14675, 1198, -7863), (-70, 280, 92)]
[(-14675, 1198, -7863), (-70, 280, 92)]
[(-14675, 1198, -7863), (-70, 280, 92)]
[(-14675, 1198, -7863), (-70, 280, 92)]
[(-14675, 1198, -7863), (-70, 280, 92)]
[(-14672, 1292, -7844), (-189, 201, 117)]
[(-14672, 1292, -7844), (-189, 201, 117)]
[(-14672, 1292, -7844), (-189, 201, 117)]
[(-14672, 1292, -7844), (-189, 201, 117)]
[(-14672, 1292, -7844), (-189, 201, 117)]
[(-14672, 1292, -7844), (-189, 201, 117)]
[(-14672, 1292, -7844), (-189, 201, 117)]
[(-14672, 1292, -7844), (-189, 201, 117)]
