[(-14615, 1101, -8076), (-71, 332, -25)]
[(-14618, 1096, -8052), (-97, 343, -22)]
[(-14618, 1096, -8052), (-97, 343, -22)]
[(-14618, 1096, -8052), (-97, 343, -22)]
[(-14618, 1096, -8052), (-97, 343, -22)]
[(-14611, 1095, -8091), (-104, 354, -10)]
[(-14611, 1095, -8091), (-104, 354, -10)]
[(-14611, 1095, -8091), (-104, 354, -10)]
[(-14611, 1095, -8091), (-104, 354, -10)]
[(-14611, 1095, -8091), (-104, 354, -10)]
[(-14611, 1095, -8091), (-104, 354, -10)]
[(-14588, 1102, -8091), (-128, 362, -13)]
[(-14588, 1102, -8091), (-128, 362, -13)]
[(-14588, 1102, -8091), (-128, 362, -13)]
[(-14588, 1102, -8091), (-128, 362, -13)]
[(-14588, 1102, -8091), (-128, 362, -13)]
[(-14560, 1126, -8100), (-138, 358, -6)]
[(-14560, 1126, -8100), (-138, 358, -6)]
[(-14560, 1126, -8100), (-138, 358, -6)]
[(-14560, 1126, -8100), (-138, 358, -6)]
[(-14560, 1126, -8100), (-138, 358, -6)]
[(-14560, 1126, -8100), (-138, 358, -6)]
[(-14560, 1126, -8100), (-138, 358, -6)]
[(-14589, 1127, -8089), (120, 347, -23)]
[(-14589, 1127, -8089), (120, 347, -23)]
[(-14589, 1127, -8089), (120, 347, -23)]
[(-14589, 1127, -8089), (120, 347, -23)]
[(-14589, 1127, -8089), (120, 347, -23)]
[(-14589, 1127, -8089), (120, 347, -23)]
[(-14612, 1144, -8100), (-256, 466, -84)]
[(-14612, 1144, -8100), (-256, 466, -84)]
[(-14612, 1144, -8100), (-256, 466, -84)]
[(-14612, 1144, -8100), (-256, 466, -84)]
[(-14612, 1144, -8100), (-256, 466, -84)]
[(-14612, 1144, -8100), (-256, 466, -84)]
[(-14612, 1144, -8100), (-256, 466, -84)]
[(-14614, 1177, -8051), (-295, 463, -49)]
[(-14614, 1177, -8051), (-295, 463, -49)]
[(-14614, 1177, -8051), (-295, 463, -49)]
[(-14614, 1177, -8051), (-295, 463, -49)]
[(-14606, 1153, -8114), (-267, 397, -30)]
[(-14606, 1153, -8114), (-267, 397, -30)]
[(-14606, 1153, -8114), (-267, 397, -30)]
[(-14606, 1153, -8114), (-267, 397, -30)]
[(-14606, 1153, -8114), (-267, 397, -30)]
[(-14606, 1153, -8114), (-267, 397, -30)]
[(-14606, 1153, -8114), (-267, 397, -30)]
[(-14592, 1153, -8132), (-286, 369, -40)]
[(-14592, 1153, -8132), (-286, 369, -40)]
[(-14592, 1153, -8132), (-286, 369, -40)]
[(-14592, 1153, -8132), (-286, 369, -40)]
[(-14592, 1153, -8132), (-286, 369, -40)]
[(-14583, 1164, -8132), (-247, 328, -31)]
