[(-14566, 1072, -8087), (-134, 335, 0)]
[(-14546, 1068, -8127), (-27, 351, 9)]
[(-14546, 1068, -8127), (-27, 351, 9)]
[(-14546, 1068, -8127), (-27, 351, 9)]
[(-14546, 1068, -8127), (-27, 351, 9)]
[(-14546, 1068, -8127), (-27, 351, 9)]
[(-14546, 1068, -8127), (-27, 351, 9)]
[(-14546, 1068, -8127), (-27, 351, 9)]
[(-14533, 1068, -8142), (-106, 331, 4)]
[(-14533, 1068, -8142), (-106, 331, 4)]
[(-14533, 1068, -8142), (-106, 331, 4)]
[(-14533, 1068, -8142), (-106, 331, 4)]
[(-14530, 1079, -8156), (-116, 317, 1)]
[(-14530, 1079, -8156), (-116, 317, 1)]
[(-14530, 1079, -8156), (-116, 317, 1)]
[(-14530, 1079, -8156), (-116, 317, 1)]
[(-14530, 1079, -8156), (-116, 317, 1)]
[(-14530, 1089, -8164), (-1, 312, 14)]
[(-14530, 1089, -8164), (-1, 312, 14)]
[(-14530, 1089, -8164), (-1, 312, 14)]
[(-14530, 1089, -8164), (-1, 312, 14)]
[(-14530, 1089, -8164), (-1, 312, 14)]
[(-14530, 1089, -8164), (-1, 312, 14)]
[(-14530, 1089, -8164), (-1, 312, 14)]
[(-14567, 1105, -8178), (-201, 383, -35)]
[(-14567, 1105, -8178), (-201, 383, -35)]
[(-14567, 1105, -8178), (-201, 383, -35)]
[(-14567, 1105, -8178), (-201, 383, -35)]
[(-14567, 1105, -8178), (-201, 383, -35)]
[(-14567, 1105, -8178), (-201, 383, -35)]
[(-14570, 1068, -8165), (-322, 406, -22)]
[(-14570, 1068, -8165), (-322, 406, -22)]
[(-14570, 1068, -8165), (-322, 406, -22)]
[(-14570, 1068, -8165), (-322, 406, -22)]
[(-14570, 1068, -8165), (-322, 406, -22)]
[(-14570, 1068, -8165), (-322, 406, -22)]
[(-14570, 1068, -8165), (-322, 406, -22)]
[(-14582, 1078, -8164), (-218, 376, -22)]
[(-14582, 1078, -8164), (-218, 376, -22)]
[(-14582, 1078, -8164), (-218, 376, -22)]
[(-14582, 1078, -8164), (-218, 376, -22)]
[(-14582, 1078, -8164), (-218, 376, -22)]
[(-14582, 1078, -8164), (-218, 376, -22)]
[(-14582, 1078, -8164), (-218, 376, -22)]
[(-14572, 1094, -8146), (-220, 342, -18)]
[(-14572, 1094, -8146), (-220, 342, -18)]
[(-14572, 1094, -8146), (-220, 342, -18)]
[(-14572, 1094, -8146), (-220, 342, -18)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
[(-14596, 1108, -8120), (-190, 325, -11)]
