[(-14536, 779, -8176), (-158, 316, 4)]
[(-14554, 783, -8148), (-85, 306, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14545, 788, -8129), (-87, 294, -23)]
[(-14568, 762, -8108), (-92, 309, -33)]
[(-14568, 762, -8108), (-92, 309, -33)]
[(-14568, 762, -8108), (-92, 309, -33)]
[(-14568, 762, -8108), (-92, 309, -33)]
[(-14568, 762, -8108), (-92, 309, -33)]
[(-14568, 762, -8108), (-92, 309, -33)]
[(-14568, 762, -8108), (-92, 309, -33)]
[(-14575, 784, -8104), (89, 314, -12)]
[(-14575, 784, -8104), (89, 314, -12)]
[(-14575, 784, -8104), (89, 314, -12)]
[(-14575, 784, -8104), (89, 314, -12)]
[(-14575, 784, -8104), (89, 314, -12)]
[(-14569, 734, -8118), (317, 163, -24)]
[(-14569, 734, -8118), (317, 163, -24)]
[(-14569, 734, -8118), (317, 163, -24)]
[(-14569, 734, -8118), (317, 163, -24)]
[(-14569, 734, -8118), (317, 163, -24)]
[(-14569, 734, -8118), (317, 163, -24)]
[(-14599, 716, -8120), (126, 249, -22)]
[(-14599, 716, -8120), (126, 249, -22)]
[(-14599, 716, -8120), (126, 249, -22)]
[(-14599, 716, -8120), (126, 249, -22)]
[(-14599, 716, -8120), (126, 249, -22)]
[(-14576, 709, -8084), (227, 245, -74)]
[(-14576, 709, -8084), (227, 245, -74)]
[(-14576, 709, -8084), (227, 245, -74)]
[(-14576, 709, -8084), (227, 245, -74)]
[(-14576, 709, -8084), (227, 245, -74)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14589, 678, -8073), (150, 258, -19)]
[(-14552, 624, -8090), (-20, 297, -36)]
[(-14552, 624, -8090), (-20, 297, -36)]
[(-14552, 624, -8090), (-20, 297, -36)]
[(-14552, 624, -8090), (-20, 297, -36)]
[(-14537, 616, -8126), (-87, 309, -47)]
[(-14537, 616, -8126), (-87, 309, -47)]
[(-14537, 616, -8126), (-87, 309, -47)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14566, 637, -8106), (-59, 271, -18)]
[(-14561, 650, -8129), (209, 126, -37)]
[(-14561, 650, -8129), (209, 126, -37)]
[(-14561, 650, -8129), (209, 126, -37)]
[(-14561, 650, -8129), (209, 126, -37)]
[(-14561, 650, -8129), (209, 126, -37)]
[(-14561, 650, -8129), (209, 126, -37)]
[(-14561, 650, -8129), (209, 126, -37)]
[(-14549, 632, -8140), (141, 153, -2)]
[(-14549, 632, -8140), (141, 153, -2)]
[(-14549, 632, -8140), (141, 153, -2)]
[(-14549, 632, -8140), (141, 153, -2)]
[(-14549, 632, -8140), (141, 153, -2)]
[(-14549, 632, -8140), (141, 153, -2)]
[(-14549, 632, -8140), (141, 153, -2)]
[(-14546, 601, -8156), (-110, 249, 23)]
[(-14546, 601, -8156), (-110, 249, 23)]
[(-14546, 601, -8156), (-110, 249, 23)]
[(-14546, 601, -8156), (-110, 249, 23)]
[(-14559, 564, -8139), (-83, 207, 48)]
[(-14559, 564, -8139), (-83, 207, 48)]
[(-14559, 564, -8139), (-83, 207, 48)]
[(-14559, 564, -8139), (-83, 207, 48)]
[(-14559, 564, -8139), (-83, 207, 48)]
[(-14559, 564, -8139), (-83, 207, 48)]
[(-14559, 564, -8139), (-83, 207, 48)]
[(-14561, 565, -8127), (-120, 212, 20)]
[(-14561, 565, -8127), (-120, 212, 20)]
[(-14561, 565, -8127), (-120, 212, 20)]
[(-14561, 565, -8127), (-120, 212, 20)]
[(-14561, 565, -8127), (-120, 212, 20)]
[(-14561, 565, -8127), (-120, 212, 20)]
[(-14568, 582, -8149), (-139, 254, 19)]
[(-14568, 582, -8149), (-139, 254, 19)]
[(-14568, 582, -8149), (-139, 254, 19)]
[(-14568, 582, -8149), (-139, 254, 19)]
[(-14568, 582, -8149), (-139, 254, 19)]
[(-14568, 582, -8149), (-139, 254, 19)]
[(-14568, 582, -8149), (-139, 254, 19)]
[(-14547, 608, -8155), (-136, 275, 29)]
[(-14547, 608, -8155), (-136, 275, 29)]
[(-14547, 608, -8155), (-136, 275, 29)]
[(-14544, 641, -8145), (-137, 296, 26)]
[(-14544, 641, -8145), (-137, 296, 26)]
[(-14544, 641, -8145), (-137, 296, 26)]
[(-14544, 641, -8145), (-137, 296, 26)]
[(-14544, 641, -8145), (-137, 296, 26)]
[(-14544, 641, -8145), (-137, 296, 26)]
[(-14548, 649, -8180), (-143, 284, 21)]
[(-14548, 649, -8180), (-143, 284, 21)]
[(-14548, 649, -8180), (-143, 284, 21)]
[(-14548, 649, -8180), (-143, 284, 21)]
[(-14548, 649, -8180), (-143, 284, 21)]
[(-14548, 649, -8180), (-143, 284, 21)]
[(-14548, 649, -8180), (-143, 284, 21)]
[(-14556, 707, -8135), (-120, 249, 83)]
[(-14556, 707, -8135), (-120, 249, 83)]
[(-14556, 707, -8135), (-120, 249, 83)]
[(-14556, 707, -8135), (-120, 249, 83)]
[(-14556, 707, -8135), (-120, 249, 83)]
[(-14556, 707, -8135), (-120, 249, 83)]
[(-14556, 707, -8135), (-120, 249, 83)]
[(-14560, 760, -8134), (-99, 294, 75)]
[(-14560, 760, -8134), (-99, 294, 75)]
[(-14560, 760, -8134), (-99, 294, 75)]
[(-14560, 760, -8134), (-99, 294, 75)]
[(-14560, 760, -8134), (-99, 294, 75)]
[(-14560, 760, -8134), (-99, 294, 75)]
[(-14560, 760, -8134), (-99, 294, 75)]
[(-14599, 732, -8144), (-151, 263, -21)]
[(-14599, 732, -8144), (-151, 263, -21)]
[(-14599, 732, -8144), (-151, 263, -21)]
[(-14599, 732, -8144), (-151, 263, -21)]
[(-14573, 734, -8154), (-110, 284, 1)]
[(-14573, 734, -8154), (-110, 284, 1)]
[(-14573, 734, -8154), (-110, 284, 1)]
[(-14573, 734, -8154), (-110, 284, 1)]
[(-14573, 734, -8154), (-110, 284, 1)]
[(-14573, 734, -8154), (-110, 284, 1)]
[(-14568, 725, -8158), (-112, 323, 16)]
[(-14568, 725, -8158), (-112, 323, 16)]
[(-14568, 725, -8158), (-112, 323, 16)]
[(-14568, 725, -8158), (-112, 323, 16)]
[(-14568, 725, -8158), (-112, 323, 16)]
[(-14568, 725, -8158), (-112, 323, 16)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14553, 727, -8188), (-128, 304, -2)]
[(-14549, 743, -8207), (-142, 309, 1)]
[(-14549, 743, -8207), (-142, 309, 1)]
[(-14549, 743, -8207), (-142, 309, 1)]
[(-14549, 743, -8207), (-142, 309, 1)]
[(-14549, 743, -8207), (-142, 309, 1)]
[(-14557, 756, -8207), (-38, 238, 8)]
[(-14557, 756, -8207), (-38, 238, 8)]
