[(-9549, 12016, -4433), (127, 362, -40)]
[(-9288, 12246, -4840), (214, 251, -31)]
[(-9288, 12246, -4840), (214, 251, -31)]
[(-9288, 12246, -4840), (214, 251, -31)]
[(-9288, 12246, -4840), (214, 251, -31)]
[(-9288, 12246, -4840), (214, 251, -31)]
[(-9288, 12246, -4840), (214, 251, -31)]
[(-9250, 12253, -5100), (183, 210, -25)]
[(-9250, 12253, -5100), (183, 210, -25)]
[(-9250, 12253, -5100), (183, 210, -25)]
[(-9250, 12253, -5100), (183, 210, -25)]
[(-9250, 12253, -5100), (183, 210, -25)]
[(-9250, 12253, -5100), (183, 210, -25)]
[(-9102, 12405, -5282), (104, 199, -26)]
[(-9102, 12405, -5282), (104, 199, -26)]
[(-9102, 12405, -5282), (104, 199, -26)]
[(-9102, 12405, -5282), (104, 199, -26)]
[(-9102, 12405, -5282), (104, 199, -26)]
[(-9076, 12509, -5453), (76, 172, -1)]
[(-9076, 12509, -5453), (76, 172, -1)]
[(-9076, 12509, -5453), (76, 172, -1)]
[(-9076, 12509, -5453), (76, 172, -1)]
[(-9076, 12509, -5453), (76, 172, -1)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-9058, 12576, -5566), (46, 138, 4)]
[(-8945, 12663, -5604), (28, 97, 7)]
[(-8945, 12663, -5604), (28, 97, 7)]
[(-8945, 12663, -5604), (28, 97, 7)]
[(-8945, 12663, -5604), (28, 97, 7)]
[(-8945, 12663, -5604), (28, 97, 7)]
[(-8872, 12732, -5612), (-6, 97, 3)]
[(-8872, 12732, -5612), (-6, 97, 3)]
[(-8872, 12732, -5612), (-6, 97, 3)]
[(-8872, 12732, -5612), (-6, 97, 3)]
[(-8872, 12732, -5612), (-6, 97, 3)]
[(-8872, 12732, -5612), (-6, 97, 3)]
[(-8872, 12732, -5612), (-6, 97, 3)]
[(-8828, 12786, -5616), (13, 78, 1)]
[(-8828, 12786, -5616), (13, 78, 1)]
[(-8828, 12786, -5616), (13, 78, 1)]
[(-8828, 12786, -5616), (13, 78, 1)]
[(-8828, 12786, -5616), (13, 78, 1)]
[(-8828, 12786, -5616), (13, 78, 1)]
[(-8805, 12859, -5636), (-2, 66, 0)]
[(-8805, 12859, -5636), (-2, 66, 0)]
[(-8805, 12859, -5636), (-2, 66, 0)]
[(-8805, 12859, -5636), (-2, 66, 0)]
[(-8805, 12859, -5636), (-2, 66, 0)]
[(-8805, 12859, -5636), (-2, 66, 0)]
