[(-5312, 15179, -4208), (-5, 2, -105)]
[(-5234, 15201, -4309), (-4, 3, -106)]
[(-5234, 15201, -4309), (-4, 3, -106)]
[(-5234, 15201, -4309), (-4, 3, -106)]
[(-5234, 15201, -4309), (-4, 3, -106)]
[(-5234, 15201, -4309), (-4, 3, -106)]
[(-5234, 15201, -4309), (-4, 3, -106)]
[(-5199, 15239, -4350), (-3, 4, -108)]
[(-5199, 15239, -4350), (-3, 4, -108)]
[(-5199, 15239, -4350), (-3, 4, -108)]
[(-5199, 15239, -4350), (-3, 4, -108)]
[(-5199, 15239, -4350), (-3, 4, -108)]
[(-5132, 15227, -4388), (-2, 5, -110)]
[(-5132, 15227, -4388), (-2, 5, -110)]
[(-5132, 15227, -4388), (-2, 5, -110)]
[(-5132, 15227, -4388), (-2, 5, -110)]
[(-5132, 15227, -4388), (-2, 5, -110)]
[(-5132, 15227, -4388), (-2, 5, -110)]
[(-5095, 15291, -4413), (-2, 5, -109)]
[(-5095, 15291, -4413), (-2, 5, -109)]
[(-5095, 15291, -4413), (-2, 5, -109)]
[(-5095, 15291, -4413), (-2, 5, -109)]
[(-5095, 15291, -4413), (-2, 5, -109)]
[(-5095, 15291, -4413), (-2, 5, -109)]
[(-5095, 15291, -4413), (-2, 5, -109)]
[(-5071, 15296, -4435), (-1, 6, -108)]
[(-5071, 15296, -4435), (-1, 6, -108)]
[(-5071, 15296, -4435), (-1, 6, -108)]
[(-5071, 15296, -4435), (-1, 6, -108)]
[(-5071, 15296, -4435), (-1, 6, -108)]
[(-4999, 15264, -4514), (-2, 6, -108)]
[(-4999, 15264, -4514), (-2, 6, -108)]
[(-4999, 15264, -4514), (-2, 6, -108)]
[(-4999, 15264, -4514), (-2, 6, -108)]
[(-4999, 15264, -4514), (-2, 6, -108)]
[(-4999, 15264, -4514), (-2, 6, -108)]
[(-5044, 15320, -4460), (-2, 7, -108)]
[(-5044, 15320, -4460), (-2, 7, -108)]
[(-5044, 15320, -4460), (-2, 7, -108)]
[(-5044, 15320, -4460), (-2, 7, -108)]
[(-5044, 15320, -4460), (-2, 7, -108)]
