[(-10268, 12262, -3960), (-22, 65, 46)]
[(-10225, 12212, -4024), (-22, 59, 43)]
[(-10225, 12212, -4024), (-22, 59, 43)]
[(-10225, 12212, -4024), (-22, 59, 43)]
[(-10225, 12212, -4024), (-22, 59, 43)]
[(-10225, 12212, -4024), (-22, 59, 43)]
[(-10200, 12275, -4008), (4, 37, 38)]
[(-10200, 12275, -4008), (4, 37, 38)]
[(-10200, 12275, -4008), (4, 37, 38)]
[(-10200, 12275, -4008), (4, 37, 38)]
[(-10200, 12275, -4008), (4, 37, 38)]
[(-10200, 12275, -4008), (4, 37, 38)]
[(-10137, 12328, -3917), (-52, 13, 22)]
[(-10137, 12328, -3917), (-52, 13, 22)]
[(-10137, 12328, -3917), (-52, 13, 22)]
[(-10137, 12328, -3917), (-52, 13, 22)]
[(-10137, 12328, -3917), (-52, 13, 22)]
[(-10148, 12366, -3781), (-128, 0, 2)]
[(-10148, 12366, -3781), (-128, 0, 2)]
[(-10148, 12366, -3781), (-128, 0, 2)]
[(-10148, 12366, -3781), (-128, 0, 2)]
[(-10148, 12366, -3781), (-128, 0, 2)]
[(-10148, 12366, -3781), (-128, 0, 2)]
[(-10148, 12366, -3781), (-128, 0, 2)]
[(-10088, 12449, -3720), (2, 1, 20)]
[(-10088, 12449, -3720), (2, 1, 20)]
[(-10088, 12449, -3720), (2, 1, 20)]
[(-10088, 12449, -3720), (2, 1, 20)]
[(-10088, 12449, -3720), (2, 1, 20)]
[(-10088, 12449, -3720), (2, 1, 20)]
[(-10119, 12476, -3696), (1, -6, 23)]
[(-10119, 12476, -3696), (1, -6, 23)]
[(-10119, 12476, -3696), (1, -6, 23)]
[(-10119, 12476, -3696), (1, -6, 23)]
[(-10119, 12476, -3696), (1, -6, 23)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10076, 12505, -3654), (-13, 7, 9)]
[(-10094, 12520, -3626), (-69, -4, -12)]
[(-10094, 12520, -3626), (-69, -4, -12)]
[(-10094, 12520, -3626), (-69, -4, -12)]
[(-10094, 12520, -3626), (-69, -4, -12)]
[(-10094, 12520, -3626), (-69, -4, -12)]
[(-10101, 12512, -3548), (-63, 27, -16)]
[(-10101, 12512, -3548), (-63, 27, -16)]
[(-10101, 12512, -3548), (-63, 27, -16)]
[(-10101, 12512, -3548), (-63, 27, -16)]
[(-10101, 12512, -3548), (-63, 27, -16)]
[(-10116, 12560, -3519), (-52, 60, -18)]
[(-10116, 12560, -3519), (-52, 60, -18)]
[(-10116, 12560, -3519), (-52, 60, -18)]
[(-10116, 12560, -3519), (-52, 60, -18)]
[(-10116, 12560, -3519), (-52, 60, -18)]
[(-10116, 12560, -3519), (-52, 60, -18)]
[(-10116, 12560, -3519), (-52, 60, -18)]
[(-10135, 12571, -3470), (-35, 56, -10)]
[(-10135, 12571, -3470), (-35, 56, -10)]
[(-10135, 12571, -3470), (-35, 56, -10)]
[(-10135, 12571, -3470), (-35, 56, -10)]
[(-10135, 12571, -3470), (-35, 56, -10)]
[(-10135, 12571, -3470), (-35, 56, -10)]
[(-10128, 12528, -3485), (-11, 53, -2)]
[(-10128, 12528, -3485), (-11, 53, -2)]
[(-10128, 12528, -3485), (-11, 53, -2)]
[(-10128, 12528, -3485), (-11, 53, -2)]
[(-10128, 12528, -3485), (-11, 53, -2)]
[(-10149, 12481, -3565), (-15, 46, 2)]
[(-10149, 12481, -3565), (-15, 46, 2)]
[(-10149, 12481, -3565), (-15, 46, 2)]
[(-10149, 12481, -3565), (-15, 46, 2)]
[(-10149, 12481, -3565), (-15, 46, 2)]
[(-10149, 12481, -3565), (-15, 46, 2)]
[(-10117, 12512, -3625), (-24, 56, -3)]
[(-10117, 12512, -3625), (-24, 56, -3)]
[(-10117, 12512, -3625), (-24, 56, -3)]
[(-10117, 12512, -3625), (-24, 56, -3)]
[(-10117, 12512, -3625), (-24, 56, -3)]
[(-10117, 12512, -3625), (-24, 56, -3)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10086, 12512, -3636), (-31, 69, -8)]
[(-10052, 12500, -3671), (-27, 79, -5)]
[(-10052, 12500, -3671), (-27, 79, -5)]
[(-10052, 12500, -3671), (-27, 79, -5)]
