[(-5932, 14297, -6599), (-8, 3, -129)]
[(-5874, 14272, -6606), (-7, 2, -129)]
[(-5874, 14272, -6606), (-7, 2, -129)]
[(-5874, 14272, -6606), (-7, 2, -129)]
[(-5829, 14277, -6638), (-7, 3, -127)]
[(-5829, 14277, -6638), (-7, 3, -127)]
[(-5829, 14277, -6638), (-7, 3, -127)]
[(-5829, 14277, -6638), (-7, 3, -127)]
[(-5829, 14277, -6638), (-7, 3, -127)]
[(-5829, 14277, -6638), (-7, 3, -127)]
[(-5839, 14286, -6652), (-6, 2, -128)]
[(-5839, 14286, -6652), (-6, 2, -128)]
[(-5839, 14286, -6652), (-6, 2, -128)]
[(-5839, 14286, -6652), (-6, 2, -128)]
[(-5839, 14286, -6652), (-6, 2, -128)]
[(-5766, 14276, -6684), (-5, 1, -127)]
[(-5766, 14276, -6684), (-5, 1, -127)]
[(-5766, 14276, -6684), (-5, 1, -127)]
[(-5766, 14276, -6684), (-5, 1, -127)]
[(-5766, 14276, -6684), (-5, 1, -127)]
[(-5766, 14276, -6684), (-5, 1, -127)]
[(-5766, 14276, -6684), (-5, 1, -127)]
[(-5731, 14309, -6694), (-5, 0, -126)]
[(-5731, 14309, -6694), (-5, 0, -126)]
[(-5731, 14309, -6694), (-5, 0, -126)]
[(-5731, 14309, -6694), (-5, 0, -126)]
[(-5731, 14309, -6694), (-5, 0, -126)]
[(-5731, 14309, -6694), (-5, 0, -126)]
[(-5750, 14307, -6678), (-5, 0, -127)]
[(-5750, 14307, -6678), (-5, 0, -127)]
[(-5750, 14307, -6678), (-5, 0, -127)]
[(-5750, 14307, -6678), (-5, 0, -127)]
[(-5750, 14307, -6678), (-5, 0, -127)]
[(-5786, 14293, -6676), (-6, 0, -127)]
[(-5786, 14293, -6676), (-6, 0, -127)]
[(-5786, 14293, -6676), (-6, 0, -127)]
[(-5786, 14293, -6676), (-6, 0, -127)]
[(-5786, 14293, -6676), (-6, 0, -127)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5739, 14312, -6683), (-6, 0, -126)]
[(-5767, 14341, -6684), (-6, 0, -126)]
[(-5767, 14341, -6684), (-6, 0, -126)]
[(-5767, 14341, -6684), (-6, 0, -126)]
[(-5767, 14341, -6684), (-6, 0, -126)]
[(-5767, 14341, -6684), (-6, 0, -126)]
[(-5828, 14353, -6537), (-6, 0, -125)]
[(-5828, 14353, -6537), (-6, 0, -125)]
[(-5828, 14353, -6537), (-6, 0, -125)]
[(-5828, 14353, -6537), (-6, 0, -125)]
[(-5828, 14353, -6537), (-6, 0, -125)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5797, 14362, -6486), (-6, 0, -124)]
[(-5810, 14342, -6448), (-6, 0, -124)]
[(-5810, 14342, -6448), (-6, 0, -124)]
[(-5810, 14342, -6448), (-6, 0, -124)]
[(-5810, 14342, -6448), (-6, 0, -124)]
[(-5810, 14342, -6448), (-6, 0, -124)]
[(-5771, 14341, -6556), (-6, 0, -125)]
[(-5771, 14341, -6556), (-6, 0, -125)]
[(-5771, 14341, -6556), (-6, 0, -125)]
[(-5771, 14341, -6556), (-6, 0, -125)]
[(-5771, 14341, -6556), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5764, 14363, -6580), (-6, 0, -125)]
[(-5763, 14336, -6585), (-7, 0, -126)]
[(-5763, 14336, -6585), (-7, 0, -126)]
[(-5763, 14336, -6585), (-7, 0, -126)]
[(-5763, 14336, -6585), (-7, 0, -126)]
[(-5763, 14336, -6585), (-7, 0, -126)]
[(-5783, 14343, -6576), (-6, 0, -126)]
[(-5783, 14343, -6576), (-6, 0, -126)]
[(-5783, 14343, -6576), (-6, 0, -126)]
[(-5783, 14343, -6576), (-6, 0, -126)]
[(-5783, 14343, -6576), (-6, 0, -126)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5814, 14324, -6597), (-7, 0, -125)]
[(-5790, 14316, -6596), (-7, 0, -124)]
[(-5790, 14316, -6596), (-7, 0, -124)]
