[(-14513, 3844, -6839), (-140, 521, 196)]
[(-14436, 3877, -6866), (-196, 501, 168)]
[(-14436, 3877, -6866), (-196, 501, 168)]
[(-14436, 3877, -6866), (-196, 501, 168)]
[(-14436, 3877, -6866), (-196, 501, 168)]
[(-14436, 3877, -6866), (-196, 501, 168)]
[(-14436, 3877, -6866), (-196, 501, 168)]
[(-14436, 3877, -6866), (-196, 501, 168)]
[(-14435, 3900, -6861), (-260, 424, 89)]
[(-14435, 3900, -6861), (-260, 424, 89)]
[(-14435, 3900, -6861), (-260, 424, 89)]
[(-14435, 3900, -6861), (-260, 424, 89)]
[(-14439, 3952, -6882), (-268, 417, 37)]
[(-14439, 3952, -6882), (-268, 417, 37)]
[(-14439, 3952, -6882), (-268, 417, 37)]
[(-14439, 3952, -6882), (-268, 417, 37)]
[(-14439, 3952, -6882), (-268, 417, 37)]
[(-14484, 4030, -6836), (-387, 331, 87)]
[(-14484, 4030, -6836), (-387, 331, 87)]
[(-14484, 4030, -6836), (-387, 331, 87)]
[(-14484, 4030, -6836), (-387, 331, 87)]
[(-14484, 4030, -6836), (-387, 331, 87)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14434, 4051, -6782), (-340, 304, 80)]
[(-14425, 4201, -6797), (367, 449, 243)]
[(-14425, 4201, -6797), (367, 449, 243)]
[(-14425, 4201, -6797), (367, 449, 243)]
[(-14425, 4201, -6797), (367, 449, 243)]
[(-14325, 4152, -6820), (215, 538, 129)]
[(-14325, 4152, -6820), (215, 538, 129)]
[(-14325, 4152, -6820), (215, 538, 129)]
[(-14325, 4152, -6820), (215, 538, 129)]
[(-14325, 4152, -6820), (215, 538, 129)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14350, 4184, -6867), (104, 505, 110)]
[(-14353, 4202, -6899), (-178, 409, 4)]
[(-14353, 4202, -6899), (-178, 409, 4)]
[(-14353, 4202, -6899), (-178, 409, 4)]
[(-14353, 4202, -6899), (-178, 409, 4)]
[(-14353, 4202, -6899), (-178, 409, 4)]
[(-14407, 4188, -6836), (-419, 334, -32)]
[(-14407, 4188, -6836), (-419, 334, -32)]
[(-14407, 4188, -6836), (-419, 334, -32)]
[(-14407, 4188, -6836), (-419, 334, -32)]
[(-14407, 4188, -6836), (-419, 334, -32)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14435, 4240, -6789), (-350, 353, -57)]
[(-14436, 4250, -6775), (-152, 371, -21)]
[(-14436, 4250, -6775), (-152, 371, -21)]
[(-14436, 4250, -6775), (-152, 371, -21)]
[(-14436, 4250, -6775), (-152, 371, -21)]
[(-14436, 4250, -6775), (-152, 371, -21)]
[(-14458, 4248, -6804), (-75, 436, 53)]
[(-14458, 4248, -6804), (-75, 436, 53)]
[(-14458, 4248, -6804), (-75, 436, 53)]
[(-14458, 4248, -6804), (-75, 436, 53)]
[(-14403, 4316, -6822), (-17, 456, 12)]
[(-14403, 4316, -6822), (-17, 456, 12)]
[(-14403, 4316, -6822), (-17, 456, 12)]
[(-14403, 4316, -6822), (-17, 456, 12)]
[(-14403, 4316, -6822), (-17, 456, 12)]
[(-14403, 4316, -6822), (-17, 456, 12)]
[(-14399, 4312, -6849), (-50, 441, 63)]
[(-14399, 4312, -6849), (-50, 441, 63)]
[(-14399, 4312, -6849), (-50, 441, 63)]
[(-14399, 4312, -6849), (-50, 441, 63)]
[(-14399, 4312, -6849), (-50, 441, 63)]
[(-14399, 4312, -6849), (-50, 441, 63)]
[(-14399, 4312, -6849), (-50, 441, 63)]
[(-14390, 4337, -6844), (-87, 389, 73)]
[(-14390, 4337, -6844), (-87, 389, 73)]
[(-14390, 4337, -6844), (-87, 389, 73)]
[(-14390, 4337, -6844), (-87, 389, 73)]
[(-14390, 4337, -6844), (-87, 389, 73)]
[(-14428, 4279, -6875), (-135, 313, -42)]
[(-14428, 4279, -6875), (-135, 313, -42)]
[(-14428, 4279, -6875), (-135, 313, -42)]
[(-14428, 4279, -6875), (-135, 313, -42)]
[(-14428, 4279, -6875), (-135, 313, -42)]
