[(-13715, 6226, -6096), (18, 270, -18)]
[(-13718, 6244, -6141), (-93, 298, -31)]
[(-13718, 6244, -6141), (-93, 298, -31)]
[(-13718, 6244, -6141), (-93, 298, -31)]
[(-13718, 6244, -6141), (-93, 298, -31)]
[(-13743, 6240, -6140), (-133, 242, -48)]
[(-13743, 6240, -6140), (-133, 242, -48)]
[(-13743, 6240, -6140), (-133, 242, -48)]
[(-13743, 6240, -6140), (-133, 242, -48)]
[(-13743, 6240, -6140), (-133, 242, -48)]
[(-13806, 6170, -6094), (-306, 210, 4)]
[(-13806, 6170, -6094), (-306, 210, 4)]
[(-13806, 6170, -6094), (-306, 210, 4)]
[(-13806, 6170, -6094), (-306, 210, 4)]
[(-13806, 6170, -6094), (-306, 210, 4)]
[(-13806, 6170, -6094), (-306, 210, 4)]
[(-13806, 6170, -6094), (-306, 210, 4)]
[(-13821, 6183, -6102), (-316, 195, -39)]
[(-13821, 6183, -6102), (-316, 195, -39)]
[(-13821, 6183, -6102), (-316, 195, -39)]
[(-13821, 6183, -6102), (-316, 195, -39)]
[(-13821, 6183, -6102), (-316, 195, -39)]
[(-13821, 6183, -6102), (-316, 195, -39)]
[(-13810, 6194, -6071), (-113, 276, -52)]
[(-13810, 6194, -6071), (-113, 276, -52)]
[(-13810, 6194, -6071), (-113, 276, -52)]
[(-13810, 6194, -6071), (-113, 276, -52)]
[(-13810, 6194, -6071), (-113, 276, -52)]
[(-13758, 6252, -6100), (70, 368, 16)]
[(-13758, 6252, -6100), (70, 368, 16)]
[(-13758, 6252, -6100), (70, 368, 16)]
[(-13758, 6252, -6100), (70, 368, 16)]
[(-13758, 6252, -6100), (70, 368, 16)]
[(-13758, 6252, -6100), (70, 368, 16)]
[(-13758, 6252, -6100), (70, 368, 16)]
[(-13688, 6236, -6143), (84, 297, 248)]
[(-13688, 6236, -6143), (84, 297, 248)]
[(-13688, 6236, -6143), (84, 297, 248)]
[(-13688, 6236, -6143), (84, 297, 248)]
[(-13688, 6236, -6143), (84, 297, 248)]
[(-13688, 6236, -6143), (84, 297, 248)]
[(-13608, 6306, -6148), (10, 316, 192)]
[(-13608, 6306, -6148), (10, 316, 192)]
[(-13608, 6306, -6148), (10, 316, 192)]
[(-13608, 6306, -6148), (10, 316, 192)]
[(-13608, 6306, -6148), (10, 316, 192)]
[(-13648, 6300, -6184), (-14, 296, 138)]
[(-13648, 6300, -6184), (-14, 296, 138)]
[(-13648, 6300, -6184), (-14, 296, 138)]
[(-13648, 6300, -6184), (-14, 296, 138)]
[(-13648, 6300, -6184), (-14, 296, 138)]
[(-13648, 6300, -6184), (-14, 296, 138)]
[(-13648, 6300, -6184), (-14, 296, 138)]
[(-13658, 6324, -6192), (-53, 300, 98)]
[(-13658, 6324, -6192), (-53, 300, 98)]
[(-13658, 6324, -6192), (-53, 300, 98)]
[(-13658, 6324, -6192), (-53, 300, 98)]
[(-13658, 6324, -6192), (-53, 300, 98)]
[(-13658, 6324, -6192), (-53, 300, 98)]
[(-13666, 6345, -6216), (-90, 273, 51)]
[(-13666, 6345, -6216), (-90, 273, 51)]
[(-13666, 6345, -6216), (-90, 273, 51)]
[(-13666, 6345, -6216), (-90, 273, 51)]
[(-13666, 6345, -6216), (-90, 273, 51)]
[(-13677, 6339, -6226), (-106, 247, 51)]
[(-13677, 6339, -6226), (-106, 247, 51)]
[(-13677, 6339, -6226), (-106, 247, 51)]
[(-13677, 6339, -6226), (-106, 247, 51)]
[(-13677, 6339, -6226), (-106, 247, 51)]
[(-13677, 6339, -6226), (-106, 247, 51)]
[(-13677, 6339, -6226), (-106, 247, 51)]
[(-13707, 6338, -6204), (-132, 251, -34)]
[(-13707, 6338, -6204), (-132, 251, -34)]
[(-13707, 6338, -6204), (-132, 251, -34)]
[(-13707, 6338, -6204), (-132, 251, -34)]
[(-13707, 6338, -6204), (-132, 251, -34)]
[(-13707, 6338, -6204), (-132, 251, -34)]
[(-13716, 6311, -6216), (-106, 243, -52)]
[(-13716, 6311, -6216), (-106, 243, -52)]
[(-13716, 6311, -6216), (-106, 243, -52)]
[(-13716, 6311, -6216), (-106, 243, -52)]
[(-13716, 6311, -6216), (-106, 243, -52)]
[(-13738, 6347, -6228), (-101, 209, -98)]
[(-13738, 6347, -6228), (-101, 209, -98)]
[(-13738, 6347, -6228), (-101, 209, -98)]
[(-13738, 6347, -6228), (-101, 209, -98)]
[(-13738, 6347, -6228), (-101, 209, -98)]
[(-13738, 6347, -6228), (-101, 209, -98)]
[(-13738, 6347, -6228), (-101, 209, -98)]
[(-13676, 6388, -6226), (-182, 105, -424)]
[(-13676, 6388, -6226), (-182, 105, -424)]
[(-13676, 6388, -6226), (-182, 105, -424)]
