[(-15234, 2420, -5143), (-330, 494, 343)]
[(-15232, 2534, -5160), (-146, 500, 481)]
[(-15232, 2534, -5160), (-146, 500, 481)]
[(-15232, 2534, -5160), (-146, 500, 481)]
[(-15232, 2534, -5160), (-146, 500, 481)]
[(-15232, 2534, -5160), (-146, 500, 481)]
[(-15232, 2534, -5160), (-146, 500, 481)]
[(-15232, 2534, -5160), (-146, 500, 481)]
[(-15182, 2667, -5218), (-199, 488, 402)]
[(-15182, 2667, -5218), (-199, 488, 402)]
[(-15182, 2667, -5218), (-199, 488, 402)]
[(-15182, 2667, -5218), (-199, 488, 402)]
[(-15182, 2667, -5218), (-199, 488, 402)]
[(-15182, 2667, -5218), (-199, 488, 402)]
[(-15182, 2667, -5218), (-199, 488, 402)]
[(-15134, 2809, -5248), (-442, 404, 315)]
[(-15134, 2809, -5248), (-442, 404, 315)]
[(-15134, 2809, -5248), (-442, 404, 315)]
[(-15134, 2809, -5248), (-442, 404, 315)]
[(-15134, 2809, -5248), (-442, 404, 315)]
[(-15134, 2809, -5248), (-442, 404, 315)]
[(-15142, 2828, -5281), (-563, 357, 312)]
[(-15142, 2828, -5281), (-563, 357, 312)]
[(-15142, 2828, -5281), (-563, 357, 312)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15155, 2885, -5271), (-489, 404, 307)]
[(-15137, 2961, -5264), (-256, 536, 286)]
[(-15137, 2961, -5264), (-256, 536, 286)]
[(-15137, 2961, -5264), (-256, 536, 286)]
[(-15137, 2961, -5264), (-256, 536, 286)]
[(-15137, 2961, -5264), (-256, 536, 286)]
[(-15104, 3049, -5279), (-211, 551, 149)]
[(-15104, 3049, -5279), (-211, 551, 149)]
[(-15104, 3049, -5279), (-211, 551, 149)]
[(-15104, 3049, -5279), (-211, 551, 149)]
[(-15104, 3049, -5279), (-211, 551, 149)]
