[(-13904, 7424, -4222), (-52, 243, 9)]
[(-13907, 7448, -4227), (-94, 261, 17)]
[(-13907, 7448, -4227), (-94, 261, 17)]
[(-13907, 7448, -4227), (-94, 261, 17)]
[(-13874, 7446, -4246), (-123, 285, 10)]
[(-13874, 7446, -4246), (-123, 285, 10)]
[(-13874, 7446, -4246), (-123, 285, 10)]
[(-13874, 7446, -4246), (-123, 285, 10)]
[(-13874, 7446, -4246), (-123, 285, 10)]
[(-13874, 7446, -4246), (-123, 285, 10)]
[(-13854, 7464, -4229), (-150, 293, -3)]
[(-13854, 7464, -4229), (-150, 293, -3)]
[(-13854, 7464, -4229), (-150, 293, -3)]
[(-13854, 7464, -4229), (-150, 293, -3)]
[(-13854, 7464, -4229), (-150, 293, -3)]
[(-13854, 7464, -4229), (-150, 293, -3)]
[(-13854, 7464, -4229), (-150, 293, -3)]
[(-13883, 7477, -4232), (-65, 221, 31)]
[(-13883, 7477, -4232), (-65, 221, 31)]
[(-13883, 7477, -4232), (-65, 221, 31)]
[(-13883, 7477, -4232), (-65, 221, 31)]
[(-13883, 7477, -4232), (-65, 221, 31)]
[(-13883, 7477, -4232), (-65, 221, 31)]
[(-13911, 7464, -4180), (-100, 196, 35)]
[(-13911, 7464, -4180), (-100, 196, 35)]
[(-13911, 7464, -4180), (-100, 196, 35)]
[(-13911, 7464, -4180), (-100, 196, 35)]
[(-13911, 7464, -4180), (-100, 196, 35)]
[(-13865, 7508, -4195), (-148, 207, 20)]
[(-13865, 7508, -4195), (-148, 207, 20)]
[(-13865, 7508, -4195), (-148, 207, 20)]
[(-13865, 7508, -4195), (-148, 207, 20)]
[(-13865, 7508, -4195), (-148, 207, 20)]
[(-13865, 7508, -4195), (-148, 207, 20)]
[(-13859, 7522, -4188), (-132, 300, -30)]
[(-13859, 7522, -4188), (-132, 300, -30)]
[(-13859, 7522, -4188), (-132, 300, -30)]
[(-13859, 7522, -4188), (-132, 300, -30)]
[(-13859, 7522, -4188), (-132, 300, -30)]
[(-13859, 7522, -4188), (-132, 300, -30)]
[(-13859, 7522, -4188), (-132, 300, -30)]
[(-13892, 7484, -4223), (-729, 472, -61)]
[(-13892, 7484, -4223), (-729, 472, -61)]
[(-13892, 7484, -4223), (-729, 472, -61)]
[(-13892, 7484, -4223), (-729, 472, -61)]
[(-13892, 7484, -4223), (-729, 472, -61)]
[(-13920, 7472, -4256), (-714, 638, 41)]
[(-13920, 7472, -4256), (-714, 638, 41)]
[(-13920, 7472, -4256), (-714, 638, 41)]
[(-13920, 7472, -4256), (-714, 638, 41)]
[(-13920, 7472, -4256), (-714, 638, 41)]
[(-13920, 7472, -4256), (-714, 638, 41)]
[(-14033, 7462, -4204), (-387, 304, 147)]
[(-14033, 7462, -4204), (-387, 304, 147)]
[(-14033, 7462, -4204), (-387, 304, 147)]
[(-14033, 7462, -4204), (-387, 304, 147)]
[(-14033, 7462, -4204), (-387, 304, 147)]
[(-14033, 7462, -4204), (-387, 304, 147)]
[(-14033, 7462, -4204), (-387, 304, 147)]
[(-13985, 7483, -4292), (-226, 275, 173)]
[(-13985, 7483, -4292), (-226, 275, 173)]
[(-13985, 7483, -4292), (-226, 275, 173)]
[(-13985, 7483, -4292), (-226, 275, 173)]
[(-13985, 7483, -4292), (-226, 275, 173)]
[(-13972, 7520, -4256), (-14, 47, 64)]
[(-13972, 7520, -4256), (-14, 47, 64)]
[(-13972, 7520, -4256), (-14, 47, 64)]
[(-13972, 7520, -4256), (-14, 47, 64)]
[(-13972, 7520, -4256), (-14, 47, 64)]
[(-13972, 7520, -4256), (-14, 47, 64)]
[(-13958, 7525, -4275), (258, -142, 83)]
[(-13958, 7525, -4275), (258, -142, 83)]
[(-13958, 7525, -4275), (258, -142, 83)]
[(-13958, 7525, -4275), (258, -142, 83)]
[(-13958, 7525, -4275), (258, -142, 83)]
[(-13958, 7525, -4275), (258, -142, 83)]
[(-13958, 7525, -4275), (258, -142, 83)]
[(-13964, 7505, -4238), (259, -143, 132)]
[(-13964, 7505, -4238), (259, -143, 132)]
[(-13964, 7505, -4238), (259, -143, 132)]
[(-13964, 7505, -4238), (259, -143, 132)]
[(-13964, 7505, -4238), (259, -143, 132)]
[(-13968, 7494, -4228), (282, -19, 163)]
[(-13968, 7494, -4228), (282, -19, 163)]
[(-13968, 7494, -4228), (282, -19, 163)]
[(-13968, 7494, -4228), (282, -19, 163)]
[(-13968, 7494, -4228), (282, -19, 163)]
[(-13968, 7494, -4228), (282, -19, 163)]
[(-13952, 7488, -4231), (235, 102, 126)]
[(-13952, 7488, -4231), (235, 102, 126)]
[(-13952, 7488, -4231), (235, 102, 126)]
[(-13952, 7488, -4231), (235, 102, 126)]
[(-13952, 7488, -4231), (235, 102, 126)]
[(-13952, 7488, -4231), (235, 102, 126)]
[(-13928, 7493, -4230), (203, 147, 86)]
[(-13928, 7493, -4230), (203, 147, 86)]
[(-13928, 7493, -4230), (203, 147, 86)]
[(-13928, 7493, -4230), (203, 147, 86)]
[(-13928, 7493, -4230), (203, 147, 86)]
[(-13917, 7504, -4253), (126, 115, 79)]
[(-13917, 7504, -4253), (126, 115, 79)]
[(-13917, 7504, -4253), (126, 115, 79)]
[(-13917, 7504, -4253), (126, 115, 79)]
[(-13917, 7504, -4253), (126, 115, 79)]
[(-13917, 7504, -4253), (126, 115, 79)]
[(-13910, 7514, -4232), (16, 127, 85)]
[(-13910, 7514, -4232), (16, 127, 85)]
[(-13910, 7514, -4232), (16, 127, 85)]
[(-13910, 7514, -4232), (16, 127, 85)]
[(-13910, 7514, -4232), (16, 127, 85)]
[(-13910, 7514, -4232), (16, 127, 85)]
[(-13910, 7514, -4232), (16, 127, 85)]
