[(-13883, 7508, -4240), (-69, 258, -2)]
[(-13899, 7489, -4244), (-58, 253, -11)]
[(-13899, 7489, -4244), (-58, 253, -11)]
[(-13899, 7489, -4244), (-58, 253, -11)]
[(-13899, 7489, -4244), (-58, 253, -11)]
[(-13899, 7489, -4244), (-58, 253, -11)]
[(-13899, 7489, -4244), (-58, 253, -11)]
[(-13911, 7472, -4258), (-88, 272, -15)]
[(-13911, 7472, -4258), (-88, 272, -15)]
[(-13911, 7472, -4258), (-88, 272, -15)]
[(-13911, 7472, -4258), (-88, 272, -15)]
[(-13911, 7472, -4258), (-88, 272, -15)]
[(-13901, 7447, -4226), (-107, 304, -6)]
[(-13901, 7447, -4226), (-107, 304, -6)]
[(-13901, 7447, -4226), (-107, 304, -6)]
[(-13901, 7447, -4226), (-107, 304, -6)]
[(-13901, 7447, -4226), (-107, 304, -6)]
[(-13901, 7447, -4226), (-107, 304, -6)]
[(-13901, 7447, -4226), (-107, 304, -6)]
[(-13897, 7448, -4239), (-89, 283, 7)]
[(-13897, 7448, -4239), (-89, 283, 7)]
[(-13897, 7448, -4239), (-89, 283, 7)]
[(-13897, 7448, -4239), (-89, 283, 7)]
[(-13897, 7448, -4239), (-89, 283, 7)]
[(-13897, 7448, -4239), (-89, 283, 7)]
[(-13906, 7429, -4227), (-148, 273, 1)]
[(-13906, 7429, -4227), (-148, 273, 1)]
[(-13906, 7429, -4227), (-148, 273, 1)]
[(-13906, 7429, -4227), (-148, 273, 1)]
[(-13906, 7429, -4227), (-148, 273, 1)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13893, 7436, -4196), (-254, 361, -104)]
[(-13840, 7437, -4230), (-95, 502, -136)]
[(-13840, 7437, -4230), (-95, 502, -136)]
[(-13840, 7437, -4230), (-95, 502, -136)]
[(-13840, 7437, -4230), (-95, 502, -136)]
[(-13840, 7437, -4230), (-95, 502, -136)]
[(-14051, 7527, -4062), (242, 293, 39)]
[(-14051, 7527, -4062), (242, 293, 39)]
[(-14051, 7527, -4062), (242, 293, 39)]
[(-14051, 7527, -4062), (242, 293, 39)]
[(-14051, 7527, -4062), (242, 293, 39)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13988, 7522, -4154), (164, 334, 139)]
[(-13955, 7476, -4224), (70, 402, 83)]
[(-13955, 7476, -4224), (70, 402, 83)]
[(-13955, 7476, -4224), (70, 402, 83)]
[(-13955, 7476, -4224), (70, 402, 83)]
[(-13955, 7476, -4224), (70, 402, 83)]
[(-13930, 7474, -4260), (149, 103, 13)]
[(-13930, 7474, -4260), (149, 103, 13)]
[(-13930, 7474, -4260), (149, 103, 13)]
[(-13930, 7474, -4260), (149, 103, 13)]
[(-13930, 7474, -4260), (149, 103, 13)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13952, 7464, -4208), (131, -43, 4)]
[(-13944, 7486, -4180), (130, 35, 49)]
[(-13944, 7486, -4180), (130, 35, 49)]
[(-13944, 7486, -4180), (130, 35, 49)]
[(-13944, 7486, -4180), (130, 35, 49)]
[(-13944, 7486, -4180), (130, 35, 49)]
[(-13904, 7480, -4201), (89, 148, 68)]
[(-13904, 7480, -4201), (89, 148, 68)]
[(-13904, 7480, -4201), (89, 148, 68)]
[(-13904, 7480, -4201), (89, 148, 68)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13903, 7492, -4223), (33, 240, 57)]
[(-13896, 7510, -4224), (-11, 260, 24)]
[(-13896, 7510, -4224), (-11, 260, 24)]
[(-13896, 7510, -4224), (-11, 260, 24)]
[(-13896, 7510, -4224), (-11, 260, 24)]
[(-13874, 7482, -4222), (-26, 234, 0)]
[(-13874, 7482, -4222), (-26, 234, 0)]
[(-13874, 7482, -4222), (-26, 234, 0)]
[(-13874, 7482, -4222), (-26, 234, 0)]
[(-13874, 7482, -4222), (-26, 234, 0)]
[(-13888, 7475, -4236), (-17, 219, 48)]
[(-13888, 7475, -4236), (-17, 219, 48)]
[(-13888, 7475, -4236), (-17, 219, 48)]
[(-13888, 7475, -4236), (-17, 219, 48)]
