[(-13952, 7454, -3844), (-111, 258, -1)]
[(-13967, 7463, -3867), (-91, 273, -14)]
[(-13967, 7463, -3867), (-91, 273, -14)]
[(-13967, 7463, -3867), (-91, 273, -14)]
[(-13967, 7463, -3867), (-91, 273, -14)]
[(-13967, 7463, -3867), (-91, 273, -14)]
[(-13967, 7463, -3867), (-91, 273, -14)]
[(-13987, 7444, -3851), (-114, 310, -19)]
[(-13987, 7444, -3851), (-114, 310, -19)]
[(-13987, 7444, -3851), (-114, 310, -19)]
[(-13987, 7444, -3851), (-114, 310, -19)]
[(-13987, 7444, -3851), (-114, 310, -19)]
[(-13968, 7448, -3868), (-99, 257, -25)]
[(-13968, 7448, -3868), (-99, 257, -25)]
[(-13968, 7448, -3868), (-99, 257, -25)]
[(-13968, 7448, -3868), (-99, 257, -25)]
[(-13968, 7448, -3868), (-99, 257, -25)]
[(-13968, 7448, -3868), (-99, 257, -25)]
[(-13968, 7448, -3868), (-99, 257, -25)]
[(-13975, 7449, -3838), (-101, 249, -12)]
[(-13975, 7449, -3838), (-101, 249, -12)]
[(-13975, 7449, -3838), (-101, 249, -12)]
[(-13975, 7449, -3838), (-101, 249, -12)]
[(-13975, 7449, -3838), (-101, 249, -12)]
[(-13975, 7449, -3838), (-101, 249, -12)]
[(-13964, 7412, -3858), (-102, 296, 6)]
[(-13964, 7412, -3858), (-102, 296, 6)]
[(-13964, 7412, -3858), (-102, 296, 6)]
[(-13964, 7412, -3858), (-102, 296, 6)]
[(-13964, 7412, -3858), (-102, 296, 6)]
[(-13931, 7439, -3924), (-108, 526, -25)]
[(-13931, 7439, -3924), (-108, 526, -25)]
[(-13931, 7439, -3924), (-108, 526, -25)]
[(-13931, 7439, -3924), (-108, 526, -25)]
[(-13931, 7439, -3924), (-108, 526, -25)]
[(-13931, 7439, -3924), (-108, 526, -25)]
[(-13929, 7484, -3942), (-232, 540, -69)]
[(-13929, 7484, -3942), (-232, 540, -69)]
[(-13929, 7484, -3942), (-232, 540, -69)]
[(-13929, 7484, -3942), (-232, 540, -69)]
[(-13929, 7484, -3942), (-232, 540, -69)]
[(-13929, 7484, -3942), (-232, 540, -69)]
[(-13929, 7484, -3942), (-232, 540, -69)]
[(-13978, 7437, -3861), (-289, 572, -64)]
[(-13978, 7437, -3861), (-289, 572, -64)]
[(-13978, 7437, -3861), (-289, 572, -64)]
[(-13978, 7437, -3861), (-289, 572, -64)]
[(-13978, 7437, -3861), (-289, 572, -64)]
[(-13991, 7443, -3846), (-352, 713, -29)]
[(-13991, 7443, -3846), (-352, 713, -29)]
[(-13991, 7443, -3846), (-352, 713, -29)]
[(-13991, 7443, -3846), (-352, 713, -29)]
[(-13991, 7443, -3846), (-352, 713, -29)]
[(-13991, 7443, -3846), (-352, 713, -29)]
[(-13942, 7470, -3922), (-58, 981, 8)]
[(-13942, 7470, -3922), (-58, 981, 8)]
[(-13942, 7470, -3922), (-58, 981, 8)]
[(-13942, 7470, -3922), (-58, 981, 8)]
[(-13942, 7470, -3922), (-58, 981, 8)]
[(-13942, 7470, -3922), (-58, 981, 8)]
[(-13942, 7470, -3922), (-58, 981, 8)]
[(-13924, 7289, -4090), (-187, 790, -58)]
[(-13924, 7289, -4090), (-187, 790, -58)]
[(-13924, 7289, -4090), (-187, 790, -58)]
[(-13924, 7289, -4090), (-187, 790, -58)]
[(-13924, 7289, -4090), (-187, 790, -58)]
[(-13913, 7336, -4188), (-249, 637, -67)]
[(-13913, 7336, -4188), (-249, 637, -67)]
[(-13913, 7336, -4188), (-249, 637, -67)]
[(-13913, 7336, -4188), (-249, 637, -67)]
