[(-4180, 14963, -6640), (-67, 139, 13)]
[(-4035, 15007, -6565), (-65, 125, 16)]
[(-4035, 15007, -6565), (-65, 125, 16)]
[(-4035, 15007, -6565), (-65, 125, 16)]
[(-4035, 15007, -6565), (-65, 125, 16)]
[(-4035, 15007, -6565), (-65, 125, 16)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3980, 15061, -6492), (-65, 118, 8)]
[(-3904, 15100, -6460), (-56, 103, 12)]
[(-3904, 15100, -6460), (-56, 103, 12)]
[(-3904, 15100, -6460), (-56, 103, 12)]
[(-3904, 15100, -6460), (-56, 103, 12)]
[(-3904, 15100, -6460), (-56, 103, 12)]
[(-3839, 15147, -6443), (-80, 97, -4)]
[(-3839, 15147, -6443), (-80, 97, -4)]
[(-3839, 15147, -6443), (-80, 97, -4)]
[(-3839, 15147, -6443), (-80, 97, -4)]
[(-3839, 15147, -6443), (-80, 97, -4)]
[(-3839, 15147, -6443), (-80, 97, -4)]
[(-3814, 15139, -6327), (-89, 43, -19)]
[(-3814, 15139, -6327), (-89, 43, -19)]
[(-3814, 15139, -6327), (-89, 43, -19)]
[(-3814, 15139, -6327), (-89, 43, -19)]
[(-3814, 15139, -6327), (-89, 43, -19)]
[(-3841, 15215, -6232), (-62, 52, -14)]
[(-3841, 15215, -6232), (-62, 52, -14)]
[(-3841, 15215, -6232), (-62, 52, -14)]
[(-3841, 15215, -6232), (-62, 52, -14)]
[(-3841, 15215, -6232), (-62, 52, -14)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3811, 15281, -6215), (-15, 94, -22)]
[(-3742, 15268, -6255), (-17, 98, -30)]
[(-3742, 15268, -6255), (-17, 98, -30)]
[(-3742, 15268, -6255), (-17, 98, -30)]
[(-3742, 15268, -6255), (-17, 98, -30)]
[(-3742, 15268, -6255), (-17, 98, -30)]
[(-3744, 15275, -6236), (-32, 112, -34)]
[(-3744, 15275, -6236), (-32, 112, -34)]
[(-3744, 15275, -6236), (-32, 112, -34)]
[(-3744, 15275, -6236), (-32, 112, -34)]
[(-3744, 15275, -6236), (-32, 112, -34)]
[(-3744, 15275, -6236), (-32, 112, -34)]
[(-3786, 15276, -6199), (-132, 101, -65)]
[(-3786, 15276, -6199), (-132, 101, -65)]
[(-3786, 15276, -6199), (-132, 101, -65)]
[(-3786, 15276, -6199), (-132, 101, -65)]
[(-3786, 15276, -6199), (-132, 101, -65)]
[(-3786, 15276, -6199), (-132, 101, -65)]
[(-3786, 15276, -6199), (-132, 101, -65)]
[(-3983, 15286, -5829), (-109, 145, -141)]
[(-3983, 15286, -5829), (-109, 145, -141)]
[(-3983, 15286, -5829), (-109, 145, -141)]
[(-3983, 15286, -5829), (-109, 145, -141)]
[(-3983, 15286, -5829), (-109, 145, -141)]
[(-4274, 15264, -5699), (22, -98, -167)]
[(-4274, 15264, -5699), (22, -98, -167)]
[(-4274, 15264, -5699), (22, -98, -167)]
[(-4274, 15264, -5699), (22, -98, -167)]
[(-4274, 15264, -5699), (22, -98, -167)]
[(-4274, 15264, -5699), (22, -98, -167)]
[(-4570, 15261, -5988), (234, -964, -45)]
[(-4570, 15261, -5988), (234, -964, -45)]
[(-4570, 15261, -5988), (234, -964, -45)]
[(-4570, 15261, -5988), (234, -964, -45)]
[(-4570, 15261, -5988), (234, -964, -45)]
[(-4570, 15261, -5988), (234, -964, -45)]
[(-4570, 15261, -5988), (234, -964, -45)]
[(-4993, 15229, -5593), (163, -844, -17)]
[(-4993, 15229, -5593), (163, -844, -17)]
[(-4993, 15229, -5593), (163, -844, -17)]
[(-4993, 15229, -5593), (163, -844, -17)]
[(-4993, 15229, -5593), (163, -844, -17)]
[(-5004, 15106, -5516), (128, -630, -4)]
[(-5004, 15106, -5516), (128, -630, -4)]
[(-5004, 15106, -5516), (128, -630, -4)]
[(-5004, 15106, -5516), (128, -630, -4)]
[(-5004, 15106, -5516), (128, -630, -4)]
[(-5004, 15106, -5516), (128, -630, -4)]
[(-5120, 15060, -5500), (122, -392, -49)]
[(-5120, 15060, -5500), (122, -392, -49)]
[(-5120, 15060, -5500), (122, -392, -49)]
[(-5120, 15060, -5500), (122, -392, -49)]
[(-5120, 15060, -5500), (122, -392, -49)]
[(-5120, 15060, -5500), (122, -392, -49)]
[(-5120, 15060, -5500), (122, -392, -49)]
[(-5041, 15018, -5722), (115, -244, -76)]
[(-5041, 15018, -5722), (115, -244, -76)]
[(-5041, 15018, -5722), (115, -244, -76)]
[(-5041, 15018, -5722), (115, -244, -76)]
[(-5041, 15018, -5722), (115, -244, -76)]
[(-5062, 14844, -5912), (72, -230, -74)]
[(-5062, 14844, -5912), (72, -230, -74)]
[(-5062, 14844, -5912), (72, -230, -74)]
[(-5062, 14844, -5912), (72, -230, -74)]
[(-5062, 14844, -5912), (72, -230, -74)]
[(-5062, 14844, -5912), (72, -230, -74)]
