[(-4540, 14976, -6181), (10, -7, -96)]
[(-4452, 15024, -6192), (6, -6, -99)]
[(-4452, 15024, -6192), (6, -6, -99)]
[(-4452, 15024, -6192), (6, -6, -99)]
[(-4452, 15024, -6192), (6, -6, -99)]
[(-4452, 15024, -6192), (6, -6, -99)]
[(-4373, 15052, -6175), (3, -4, -100)]
[(-4373, 15052, -6175), (3, -4, -100)]
[(-4373, 15052, -6175), (3, -4, -100)]
[(-4373, 15052, -6175), (3, -4, -100)]
[(-4373, 15052, -6175), (3, -4, -100)]
[(-4373, 15052, -6175), (3, -4, -100)]
[(-4373, 15052, -6175), (3, -4, -100)]
[(-4334, 15073, -6157), (1, -2, -102)]
[(-4334, 15073, -6157), (1, -2, -102)]
[(-4334, 15073, -6157), (1, -2, -102)]
[(-4334, 15073, -6157), (1, -2, -102)]
[(-4334, 15073, -6157), (1, -2, -102)]
[(-4334, 15073, -6157), (1, -2, -102)]
[(-4280, 15079, -6212), (0, 0, -103)]
[(-4280, 15079, -6212), (0, 0, -103)]
[(-4280, 15079, -6212), (0, 0, -103)]
[(-4280, 15079, -6212), (0, 0, -103)]
[(-4280, 15079, -6212), (0, 0, -103)]
[(-4280, 15079, -6212), (0, 0, -103)]
[(-4280, 15079, -6212), (0, 0, -103)]
[(-4286, 15048, -6247), (0, 0, -103)]
[(-4286, 15048, -6247), (0, 0, -103)]
[(-4286, 15048, -6247), (0, 0, -103)]
[(-4286, 15048, -6247), (0, 0, -103)]
[(-4286, 15048, -6247), (0, 0, -103)]
[(-4286, 15048, -6247), (0, 0, -103)]
[(-4266, 15052, -6289), (-1, 0, -103)]
[(-4266, 15052, -6289), (-1, 0, -103)]
[(-4266, 15052, -6289), (-1, 0, -103)]
[(-4266, 15052, -6289), (-1, 0, -103)]
[(-4266, 15052, -6289), (-1, 0, -103)]
[(-4266, 15052, -6289), (-1, 0, -103)]
[(-4266, 15052, -6289), (-1, 0, -103)]
[(-4223, 14988, -6366), (-2, 0, -104)]
[(-4223, 14988, -6366), (-2, 0, -104)]
[(-4223, 14988, -6366), (-2, 0, -104)]
[(-4223, 14988, -6366), (-2, 0, -104)]
[(-4195, 15001, -6419), (-2, 0, -104)]
[(-4195, 15001, -6419), (-2, 0, -104)]
[(-4195, 15001, -6419), (-2, 0, -104)]
[(-4195, 15001, -6419), (-2, 0, -104)]
[(-4195, 15001, -6419), (-2, 0, -104)]
[(-4195, 15001, -6419), (-2, 0, -104)]
[(-4195, 15001, -6419), (-2, 0, -104)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4208, 15005, -6442), (-2, 0, -105)]
[(-4202, 14982, -6464), (-2, 1, -105)]
[(-4202, 14982, -6464), (-2, 1, -105)]
[(-4174, 15013, -6451), (-2, 1, -105)]
[(-4174, 15013, -6451), (-2, 1, -105)]
[(-4174, 15013, -6451), (-2, 1, -105)]
[(-4174, 15013, -6451), (-2, 1, -105)]
[(-4174, 15013, -6451), (-2, 1, -105)]
[(-4174, 15013, -6451), (-2, 1, -105)]
[(-4174, 15013, -6451), (-2, 1, -105)]
[(-4264, 15047, -6358), (-2, 2, -105)]
[(-4264, 15047, -6358), (-2, 2, -105)]
[(-4264, 15047, -6358), (-2, 2, -105)]
[(-4264, 15047, -6358), (-2, 2, -105)]
[(-4264, 15047, -6358), (-2, 2, -105)]
[(-4243, 15046, -6260), (-2, 2, -105)]
[(-4243, 15046, -6260), (-2, 2, -105)]
[(-4243, 15046, -6260), (-2, 2, -105)]
[(-4243, 15046, -6260), (-2, 2, -105)]
[(-4243, 15046, -6260), (-2, 2, -105)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4261, 15048, -6203), (-2, 2, -106)]
[(-4280, 15044, -6186), (-2, 2, -107)]
[(-4280, 15044, -6186), (-2, 2, -107)]
[(-4280, 15044, -6186), (-2, 2, -107)]
[(-4280, 15044, -6186), (-2, 2, -107)]
[(-4280, 15044, -6186), (-2, 2, -107)]
[(-4273, 15065, -6148), (-2, 1, -107)]
[(-4273, 15065, -6148), (-2, 1, -107)]
[(-4273, 15065, -6148), (-2, 1, -107)]
[(-4273, 15065, -6148), (-2, 1, -107)]
[(-4273, 15065, -6148), (-2, 1, -107)]
[(-4289, 15056, -6132), (-2, 1, -107)]
[(-4289, 15056, -6132), (-2, 1, -107)]
[(-4289, 15056, -6132), (-2, 1, -107)]
[(-4289, 15056, -6132), (-2, 1, -107)]
[(-4289, 15056, -6132), (-2, 1, -107)]
[(-4289, 15056, -6132), (-2, 1, -107)]
[(-4289, 15056, -6132), (-2, 1, -107)]
[(-4298, 15049, -6065), (-2, 1, -107)]
[(-4298, 15049, -6065), (-2, 1, -107)]
[(-4298, 15049, -6065), (-2, 1, -107)]
[(-4298, 15049, -6065), (-2, 1, -107)]
[(-4298, 15049, -6065), (-2, 1, -107)]
[(-4298, 15049, -6065), (-2, 1, -107)]
[(-4308, 15066, -6014), (-3, 2, -107)]
[(-4308, 15066, -6014), (-3, 2, -107)]
[(-4308, 15066, -6014), (-3, 2, -107)]
[(-4308, 15066, -6014), (-3, 2, -107)]
[(-4308, 15066, -6014), (-3, 2, -107)]
[(-4339, 15082, -5939), (-3, 3, -107)]
[(-4339, 15082, -5939), (-3, 3, -107)]
[(-4339, 15082, -5939), (-3, 3, -107)]
[(-4339, 15082, -5939), (-3, 3, -107)]
[(-4339, 15082, -5939), (-3, 3, -107)]
[(-4339, 15082, -5939), (-3, 3, -107)]
[(-4339, 15082, -5939), (-3, 3, -107)]
[(-4353, 15076, -5913), (-4, 3, -108)]
[(-4353, 15076, -5913), (-4, 3, -108)]
[(-4353, 15076, -5913), (-4, 3, -108)]
[(-4353, 15076, -5913), (-4, 3, -108)]
[(-4353, 15076, -5913), (-4, 3, -108)]
