[(-13927, 5602, -6743), (-47, 340, 10)]
[(-13948, 5615, -6760), (-70, 342, 30)]
[(-13948, 5615, -6760), (-70, 342, 30)]
[(-13958, 5626, -6768), (-88, 341, 28)]
[(-13958, 5626, -6768), (-88, 341, 28)]
[(-13958, 5626, -6768), (-88, 341, 28)]
[(-13958, 5626, -6768), (-88, 341, 28)]
[(-13958, 5626, -6768), (-88, 341, 28)]
[(-13958, 5626, -6768), (-88, 341, 28)]
[(-13948, 5642, -6764), (-52, 355, 5)]
[(-13948, 5642, -6764), (-52, 355, 5)]
[(-13948, 5642, -6764), (-52, 355, 5)]
[(-13948, 5642, -6764), (-52, 355, 5)]
[(-13948, 5642, -6764), (-52, 355, 5)]
[(-13948, 5642, -6764), (-52, 355, 5)]
[(-13948, 5642, -6764), (-52, 355, 5)]
[(-13956, 5634, -6783), (-56, 348, 7)]
[(-13956, 5634, -6783), (-56, 348, 7)]
[(-13956, 5634, -6783), (-56, 348, 7)]
[(-13956, 5634, -6783), (-56, 348, 7)]
[(-13956, 5634, -6783), (-56, 348, 7)]
[(-13949, 5650, -6764), (-272, 192, 16)]
[(-13949, 5650, -6764), (-272, 192, 16)]
[(-13949, 5650, -6764), (-272, 192, 16)]
[(-13949, 5650, -6764), (-272, 192, 16)]
[(-13949, 5650, -6764), (-272, 192, 16)]
[(-13949, 5650, -6764), (-272, 192, 16)]
[(-13949, 5650, -6764), (-272, 192, 16)]
[(-13963, 5646, -6733), (-291, 210, -13)]
[(-13963, 5646, -6733), (-291, 210, -13)]
[(-13963, 5646, -6733), (-291, 210, -13)]
[(-13963, 5646, -6733), (-291, 210, -13)]
[(-13963, 5646, -6733), (-291, 210, -13)]
[(-13963, 5646, -6733), (-291, 210, -13)]
[(-14010, 5639, -6700), (-60, 367, 9)]
[(-14010, 5639, -6700), (-60, 367, 9)]
[(-14010, 5639, -6700), (-60, 367, 9)]
[(-14010, 5639, -6700), (-60, 367, 9)]
[(-14010, 5639, -6700), (-60, 367, 9)]
[(-14076, 5495, -6684), (-57, 344, 159)]
[(-14076, 5495, -6684), (-57, 344, 159)]
[(-14076, 5495, -6684), (-57, 344, 159)]
[(-14076, 5495, -6684), (-57, 344, 159)]
[(-14076, 5495, -6684), (-57, 344, 159)]
[(-14076, 5495, -6684), (-57, 344, 159)]
[(-14042, 5554, -6710), (-105, 365, 100)]
[(-14042, 5554, -6710), (-105, 365, 100)]
[(-14042, 5554, -6710), (-105, 365, 100)]
[(-14042, 5554, -6710), (-105, 365, 100)]
[(-14042, 5554, -6710), (-105, 365, 100)]
[(-14017, 5582, -6746), (-124, 351, 84)]
[(-14017, 5582, -6746), (-124, 351, 84)]
[(-14017, 5582, -6746), (-124, 351, 84)]
[(-14017, 5582, -6746), (-124, 351, 84)]
