[(-13804, 5984, -6500), (12, 416, 46)]
[(-13790, 6015, -6521), (-30, 379, 36)]
[(-13790, 6015, -6521), (-30, 379, 36)]
[(-13790, 6015, -6521), (-30, 379, 36)]
[(-13790, 6015, -6521), (-30, 379, 36)]
[(-13816, 5987, -6504), (-61, 323, -39)]
[(-13816, 5987, -6504), (-61, 323, -39)]
[(-13816, 5987, -6504), (-61, 323, -39)]
[(-13816, 5987, -6504), (-61, 323, -39)]
[(-13816, 5987, -6504), (-61, 323, -39)]
[(-13816, 5987, -6504), (-61, 323, -39)]
[(-13850, 5948, -6528), (-90, 331, -32)]
[(-13850, 5948, -6528), (-90, 331, -32)]
[(-13850, 5948, -6528), (-90, 331, -32)]
[(-13850, 5948, -6528), (-90, 331, -32)]
[(-13850, 5948, -6528), (-90, 331, -32)]
[(-13848, 5947, -6494), (-271, 279, 4)]
[(-13848, 5947, -6494), (-271, 279, 4)]
[(-13848, 5947, -6494), (-271, 279, 4)]
[(-13848, 5947, -6494), (-271, 279, 4)]
[(-13848, 5947, -6494), (-271, 279, 4)]
[(-13848, 5947, -6494), (-271, 279, 4)]
[(-13848, 5947, -6494), (-271, 279, 4)]
[(-13860, 5952, -6494), (-403, 248, 75)]
[(-13860, 5952, -6494), (-403, 248, 75)]
[(-13860, 5952, -6494), (-403, 248, 75)]
[(-13860, 5952, -6494), (-403, 248, 75)]
[(-13860, 5952, -6494), (-403, 248, 75)]
[(-13860, 5952, -6494), (-403, 248, 75)]
[(-13848, 6023, -6520), (-459, 238, 81)]
[(-13848, 6023, -6520), (-459, 238, 81)]
[(-13848, 6023, -6520), (-459, 238, 81)]
[(-13848, 6023, -6520), (-459, 238, 81)]
[(-13848, 6023, -6520), (-459, 238, 81)]
[(-13865, 6040, -6456), (-398, 232, 63)]
[(-13865, 6040, -6456), (-398, 232, 63)]
[(-13865, 6040, -6456), (-398, 232, 63)]
[(-13865, 6040, -6456), (-398, 232, 63)]
[(-13865, 6040, -6456), (-398, 232, 63)]
[(-13865, 6040, -6456), (-398, 232, 63)]
[(-13865, 6040, -6456), (-398, 232, 63)]
[(-13623, 6268, -6293), (120, 186, -89)]
[(-13623, 6268, -6293), (120, 186, -89)]
[(-13623, 6268, -6293), (120, 186, -89)]
[(-13623, 6268, -6293), (120, 186, -89)]
[(-13623, 6268, -6293), (120, 186, -89)]
[(-13623, 6268, -6293), (120, 186, -89)]
[(-13650, 6226, -6317), (96, 147, -107)]
[(-13650, 6226, -6317), (96, 147, -107)]
[(-13650, 6226, -6317), (96, 147, -107)]
[(-13650, 6226, -6317), (96, 147, -107)]
[(-13650, 6226, -6317), (96, 147, -107)]
[(-13721, 6160, -6359), (65, 167, -108)]
[(-13721, 6160, -6359), (65, 167, -108)]
[(-13721, 6160, -6359), (65, 167, -108)]
[(-13721, 6160, -6359), (65, 167, -108)]
[(-13721, 6160, -6359), (65, 167, -108)]
[(-13721, 6160, -6359), (65, 167, -108)]
[(-13721, 6160, -6359), (65, 167, -108)]
[(-13743, 6116, -6356), (15, 200, -99)]
[(-13743, 6116, -6356), (15, 200, -99)]
[(-13743, 6116, -6356), (15, 200, -99)]
[(-13743, 6116, -6356), (15, 200, -99)]
[(-13743, 6116, -6356), (15, 200, -99)]
[(-13743, 6116, -6356), (15, 200, -99)]
[(-13750, 6096, -6376), (-26, 264, -59)]
[(-13750, 6096, -6376), (-26, 264, -59)]
[(-13750, 6096, -6376), (-26, 264, -59)]
[(-13750, 6096, -6376), (-26, 264, -59)]
[(-13750, 6096, -6376), (-26, 264, -59)]
[(-13745, 6076, -6401), (-58, 251, -40)]
[(-13745, 6076, -6401), (-58, 251, -40)]
[(-13745, 6076, -6401), (-58, 251, -40)]
[(-13745, 6076, -6401), (-58, 251, -40)]
[(-13745, 6076, -6401), (-58, 251, -40)]
[(-13745, 6076, -6401), (-58, 251, -40)]
[(-13745, 6076, -6401), (-58, 251, -40)]
[(-13750, 6037, -6414), (-66, 249, -18)]
[(-13750, 6037, -6414), (-66, 249, -18)]
[(-13750, 6037, -6414), (-66, 249, -18)]
[(-13750, 6037, -6414), (-66, 249, -18)]
[(-13750, 6037, -6414), (-66, 249, -18)]
[(-13750, 6037, -6414), (-66, 249, -18)]
[(-13758, 6031, -6424), (-90, 222, 32)]
[(-13758, 6031, -6424), (-90, 222, 32)]
[(-13758, 6031, -6424), (-90, 222, 32)]
[(-13758, 6031, -6424), (-90, 222, 32)]
[(-13758, 6031, -6424), (-90, 222, 32)]
[(-13738, 6053, -6401), (-120, 229, 21)]
[(-13738, 6053, -6401), (-120, 229, 21)]
[(-13738, 6053, -6401), (-120, 229, 21)]
[(-13738, 6053, -6401), (-120, 229, 21)]
[(-13738, 6053, -6401), (-120, 229, 21)]
[(-13738, 6053, -6401), (-120, 229, 21)]
[(-13738, 6053, -6401), (-120, 229, 21)]
[(-13777, 6065, -6379), (-133, 220, 30)]
[(-13777, 6065, -6379), (-133, 220, 30)]
[(-13777, 6065, -6379), (-133, 220, 30)]
[(-13777, 6065, -6379), (-133, 220, 30)]
[(-13777, 6065, -6379), (-133, 220, 30)]
[(-13777, 6065, -6379), (-133, 220, 30)]
[(-13792, 6047, -6390), (-149, 255, 42)]
[(-13792, 6047, -6390), (-149, 255, 42)]
[(-13792, 6047, -6390), (-149, 255, 42)]
