[(-9726, 12460, -4959), (-10, 58, 47)]
[(-9651, 12520, -5024), (-6, 52, 39)]
[(-9651, 12520, -5024), (-6, 52, 39)]
[(-9651, 12520, -5024), (-6, 52, 39)]
[(-9651, 12520, -5024), (-6, 52, 39)]
[(-9592, 12609, -5091), (-20, 57, 25)]
[(-9592, 12609, -5091), (-20, 57, 25)]
[(-9592, 12609, -5091), (-20, 57, 25)]
[(-9592, 12609, -5091), (-20, 57, 25)]
[(-9542, 12688, -5148), (-18, 67, 24)]
[(-9542, 12688, -5148), (-18, 67, 24)]
[(-9542, 12688, -5148), (-18, 67, 24)]
[(-9542, 12688, -5148), (-18, 67, 24)]
[(-9542, 12688, -5148), (-18, 67, 24)]
[(-9542, 12688, -5148), (-18, 67, 24)]
[(-9542, 12688, -5148), (-18, 67, 24)]
[(-9485, 12713, -5152), (-20, 58, 22)]
[(-9485, 12713, -5152), (-20, 58, 22)]
[(-9485, 12713, -5152), (-20, 58, 22)]
[(-9485, 12713, -5152), (-20, 58, 22)]
[(-9485, 12713, -5152), (-20, 58, 22)]
[(-9485, 12713, -5152), (-20, 58, 22)]
[(-9470, 12728, -5142), (-24, 51, 11)]
[(-9470, 12728, -5142), (-24, 51, 11)]
[(-9470, 12728, -5142), (-24, 51, 11)]
[(-9470, 12728, -5142), (-24, 51, 11)]
[(-9470, 12728, -5142), (-24, 51, 11)]
[(-9444, 12734, -5152), (-30, 48, 3)]
[(-9444, 12734, -5152), (-30, 48, 3)]
[(-9444, 12734, -5152), (-30, 48, 3)]
[(-9444, 12734, -5152), (-30, 48, 3)]
[(-9444, 12734, -5152), (-30, 48, 3)]
[(-9444, 12734, -5152), (-30, 48, 3)]
[(-9444, 12734, -5152), (-30, 48, 3)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9424, 12737, -5068), (-67, 2, -4)]
[(-9485, 12705, -4931), (-76, -24, 0)]
