[(-14384, 4620, -6501), (-226, 580, 332)]
[(-14352, 4665, -6527), (-316, 498, 333)]
[(-14352, 4665, -6527), (-316, 498, 333)]
[(-14352, 4665, -6527), (-316, 498, 333)]
[(-14352, 4665, -6527), (-316, 498, 333)]
[(-14352, 4665, -6527), (-316, 498, 333)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14336, 4718, -6532), (-280, 483, 336)]
[(-14301, 4783, -6545), (-272, 512, 244)]
[(-14301, 4783, -6545), (-272, 512, 244)]
[(-14280, 4870, -6568), (-416, 391, 168)]
[(-14280, 4870, -6568), (-416, 391, 168)]
[(-14280, 4870, -6568), (-416, 391, 168)]
[(-14280, 4870, -6568), (-416, 391, 168)]
[(-14280, 4870, -6568), (-416, 391, 168)]
[(-14280, 4870, -6568), (-416, 391, 168)]
[(-14280, 4870, -6568), (-416, 391, 168)]
[(-14232, 4999, -6538), (-409, 390, 202)]
[(-14232, 4999, -6538), (-409, 390, 202)]
[(-14232, 4999, -6538), (-409, 390, 202)]
[(-14232, 4999, -6538), (-409, 390, 202)]
[(-14232, 4999, -6538), (-409, 390, 202)]
[(-14235, 5040, -6490), (-241, 326, 151)]
[(-14235, 5040, -6490), (-241, 326, 151)]
[(-14235, 5040, -6490), (-241, 326, 151)]
[(-14235, 5040, -6490), (-241, 326, 151)]
[(-14235, 5040, -6490), (-241, 326, 151)]
[(-14235, 5040, -6490), (-241, 326, 151)]
[(-14275, 5084, -6407), (344, 223, 293)]
[(-14275, 5084, -6407), (344, 223, 293)]
[(-14275, 5084, -6407), (344, 223, 293)]
[(-14275, 5084, -6407), (344, 223, 293)]
[(-14275, 5084, -6407), (344, 223, 293)]
[(-14275, 5084, -6407), (344, 223, 293)]
[(-14275, 5084, -6407), (344, 223, 293)]
[(-14243, 5159, -6401), (685, 232, 472)]
[(-14243, 5159, -6401), (685, 232, 472)]
[(-14243, 5159, -6401), (685, 232, 472)]
[(-14243, 5159, -6401), (685, 232, 472)]
[(-14243, 5159, -6401), (685, 232, 472)]
[(-14215, 5267, -6395), (503, 166, 438)]
[(-14215, 5267, -6395), (503, 166, 438)]
[(-14215, 5267, -6395), (503, 166, 438)]
[(-14215, 5267, -6395), (503, 166, 438)]
[(-14215, 5267, -6395), (503, 166, 438)]
[(-14215, 5267, -6395), (503, 166, 438)]
[(-14216, 5282, -6457), (274, 205, 288)]
[(-14216, 5282, -6457), (274, 205, 288)]
[(-14216, 5282, -6457), (274, 205, 288)]
[(-14216, 5282, -6457), (274, 205, 288)]
[(-14216, 5282, -6457), (274, 205, 288)]
[(-14216, 5282, -6457), (274, 205, 288)]
[(-14216, 5282, -6457), (274, 205, 288)]
[(-14160, 5361, -6433), (-121, 178, 161)]
[(-14160, 5361, -6433), (-121, 178, 161)]
[(-14160, 5361, -6433), (-121, 178, 161)]
[(-14160, 5361, -6433), (-121, 178, 161)]
[(-14160, 5361, -6433), (-121, 178, 161)]
[(-14180, 5328, -6393), (-448, 274, 51)]
[(-14180, 5328, -6393), (-448, 274, 51)]
[(-14180, 5328, -6393), (-448, 274, 51)]
[(-14180, 5328, -6393), (-448, 274, 51)]
[(-14180, 5328, -6393), (-448, 274, 51)]
[(-14180, 5328, -6393), (-448, 274, 51)]
[(-14188, 5338, -6357), (-281, 362, -2)]
[(-14188, 5338, -6357), (-281, 362, -2)]
[(-14188, 5338, -6357), (-281, 362, -2)]
[(-14188, 5338, -6357), (-281, 362, -2)]
[(-14188, 5338, -6357), (-281, 362, -2)]
[(-14188, 5338, -6357), (-281, 362, -2)]
[(-14188, 5338, -6357), (-281, 362, -2)]
[(-14173, 5304, -6392), (-97, 347, 5)]
[(-14173, 5304, -6392), (-97, 347, 5)]
[(-14173, 5304, -6392), (-97, 347, 5)]
[(-14173, 5304, -6392), (-97, 347, 5)]
[(-14173, 5304, -6392), (-97, 347, 5)]
[(-14173, 5304, -6392), (-97, 347, 5)]
[(-14173, 5304, -6392), (-97, 347, 5)]
[(-14173, 5353, -6388), (-102, 354, -13)]
[(-14173, 5353, -6388), (-102, 354, -13)]
[(-14173, 5353, -6388), (-102, 354, -13)]
[(-14173, 5353, -6388), (-102, 354, -13)]
[(-14182, 5333, -6396), (-147, 303, -8)]
[(-14182, 5333, -6396), (-147, 303, -8)]
[(-14182, 5333, -6396), (-147, 303, -8)]
[(-14182, 5333, -6396), (-147, 303, -8)]
[(-14182, 5333, -6396), (-147, 303, -8)]
[(-14182, 5333, -6396), (-147, 303, -8)]
[(-14194, 5287, -6404), (-142, 322, 30)]
[(-14194, 5287, -6404), (-142, 322, 30)]
[(-14194, 5287, -6404), (-142, 322, 30)]
[(-14194, 5287, -6404), (-142, 322, 30)]
[(-14194, 5287, -6404), (-142, 322, 30)]
[(-14174, 5272, -6428), (-106, 347, 37)]
[(-14174, 5272, -6428), (-106, 347, 37)]
[(-14174, 5272, -6428), (-106, 347, 37)]
[(-14174, 5272, -6428), (-106, 347, 37)]
[(-14174, 5272, -6428), (-106, 347, 37)]
[(-14174, 5272, -6428), (-106, 347, 37)]
[(-14169, 5304, -6422), (-96, 385, -34)]
[(-14169, 5304, -6422), (-96, 385, -34)]
[(-14169, 5304, -6422), (-96, 385, -34)]
[(-14169, 5304, -6422), (-96, 385, -34)]
[(-14169, 5304, -6422), (-96, 385, -34)]
[(-14169, 5304, -6422), (-96, 385, -34)]
[(-14169, 5304, -6422), (-96, 385, -34)]
[(-14104, 5308, -6490), (-43, 351, -198)]
[(-14104, 5308, -6490), (-43, 351, -198)]
[(-14104, 5308, -6490), (-43, 351, -198)]
