[(-14042, 7222, -3840), (-122, 263, 6)]
[(-14079, 7247, -3823), (-99, 193, 4)]
[(-14079, 7247, -3823), (-99, 193, 4)]
[(-14079, 7247, -3823), (-99, 193, 4)]
[(-14079, 7247, -3823), (-99, 193, 4)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14100, 7247, -3812), (-304, 272, 27)]
[(-14073, 7278, -3805), (-279, 309, 54)]
[(-14073, 7278, -3805), (-279, 309, 54)]
[(-14073, 7278, -3805), (-279, 309, 54)]
[(-14073, 7278, -3805), (-279, 309, 54)]
[(-14073, 7278, -3805), (-279, 309, 54)]
[(-14044, 7300, -3824), (-282, 360, 65)]
[(-14044, 7300, -3824), (-282, 360, 65)]
[(-14044, 7300, -3824), (-282, 360, 65)]
[(-14044, 7300, -3824), (-282, 360, 65)]
[(-14044, 7300, -3824), (-282, 360, 65)]
[(-14044, 7300, -3824), (-282, 360, 65)]
[(-14000, 7337, -3868), (-235, 303, 35)]
[(-14000, 7337, -3868), (-235, 303, 35)]
[(-14000, 7337, -3868), (-235, 303, 35)]
[(-14000, 7337, -3868), (-235, 303, 35)]
[(-14000, 7337, -3868), (-235, 303, 35)]
[(-14000, 7337, -3868), (-235, 303, 35)]
[(-14000, 7337, -3868), (-235, 303, 35)]
[(-13982, 7336, -3878), (-162, 211, -9)]
[(-13982, 7336, -3878), (-162, 211, -9)]
[(-13982, 7336, -3878), (-162, 211, -9)]
[(-13982, 7336, -3878), (-162, 211, -9)]
[(-13982, 7336, -3878), (-162, 211, -9)]
[(-13996, 7319, -3880), (-124, 180, -15)]
[(-13996, 7319, -3880), (-124, 180, -15)]
[(-13996, 7319, -3880), (-124, 180, -15)]
[(-13996, 7319, -3880), (-124, 180, -15)]
[(-13996, 7319, -3880), (-124, 180, -15)]
