[(-14098, 7001, -4128), (-32, 232, 39)]
[(-14096, 7023, -4148), (-42, 210, 24)]
[(-14096, 7023, -4148), (-42, 210, 24)]
[(-14096, 7023, -4148), (-42, 210, 24)]
[(-14096, 7023, -4148), (-42, 210, 24)]
[(-14096, 7023, -4148), (-42, 210, 24)]
[(-14104, 7007, -4136), (-90, 103, 27)]
[(-14104, 7007, -4136), (-90, 103, 27)]
[(-14104, 7007, -4136), (-90, 103, 27)]
[(-14104, 7007, -4136), (-90, 103, 27)]
[(-14104, 7007, -4136), (-90, 103, 27)]
[(-14104, 7007, -4136), (-90, 103, 27)]
[(-14089, 7000, -4109), (-84, -4, 55)]
[(-14089, 7000, -4109), (-84, -4, 55)]
[(-14089, 7000, -4109), (-84, -4, 55)]
[(-14089, 7000, -4109), (-84, -4, 55)]
[(-14089, 7000, -4109), (-84, -4, 55)]
[(-14089, 7000, -4109), (-84, -4, 55)]
[(-14089, 7000, -4109), (-84, -4, 55)]
[(-14073, 7023, -4105), (-93, 49, 8)]
[(-14073, 7023, -4105), (-93, 49, 8)]
[(-14073, 7023, -4105), (-93, 49, 8)]
[(-14073, 7023, -4105), (-93, 49, 8)]
[(-14073, 7023, -4105), (-93, 49, 8)]
[(-14091, 7026, -4088), (-94, 163, -34)]
[(-14091, 7026, -4088), (-94, 163, -34)]
[(-14091, 7026, -4088), (-94, 163, -34)]
[(-14091, 7026, -4088), (-94, 163, -34)]
[(-14091, 7026, -4088), (-94, 163, -34)]
[(-14091, 7026, -4088), (-94, 163, -34)]
[(-14094, 7034, -4095), (-114, 225, -21)]
[(-14094, 7034, -4095), (-114, 225, -21)]
[(-14094, 7034, -4095), (-114, 225, -21)]
[(-14094, 7034, -4095), (-114, 225, -21)]
[(-14094, 7034, -4095), (-114, 225, -21)]
[(-14094, 7034, -4095), (-114, 225, -21)]
[(-14094, 7034, -4095), (-114, 225, -21)]
[(-14096, 7025, -4129), (-157, 195, 11)]
[(-14096, 7025, -4129), (-157, 195, 11)]
[(-14096, 7025, -4129), (-157, 195, 11)]
[(-14096, 7025, -4129), (-157, 195, 11)]
[(-14096, 7025, -4129), (-157, 195, 11)]
[(-14088, 7028, -4140), (-128, 125, 4)]
[(-14088, 7028, -4140), (-128, 125, 4)]
[(-14088, 7028, -4140), (-128, 125, 4)]
[(-14088, 7028, -4140), (-128, 125, 4)]
[(-14088, 7028, -4140), (-128, 125, 4)]
[(-14088, 7028, -4140), (-128, 125, 4)]
[(-14088, 7052, -4116), (-117, 135, -39)]
[(-14088, 7052, -4116), (-117, 135, -39)]
[(-14088, 7052, -4116), (-117, 135, -39)]
[(-14088, 7052, -4116), (-117, 135, -39)]
[(-14088, 7052, -4116), (-117, 135, -39)]
[(-14088, 7052, -4116), (-117, 135, -39)]
[(-14088, 7052, -4116), (-117, 135, -39)]
[(-14106, 7061, -4090), (-125, 166, -6)]
