[(-15640, 2499, -3091), (-149, 165, 22)]
[(-15667, 2509, -3084), (-124, 166, 48)]
[(-15667, 2509, -3084), (-124, 166, 48)]
[(-15684, 2515, -3092), (-128, 210, 45)]
[(-15684, 2515, -3092), (-128, 210, 45)]
[(-15684, 2515, -3092), (-128, 210, 45)]
[(-15684, 2515, -3092), (-128, 210, 45)]
[(-15684, 2515, -3092), (-128, 210, 45)]
[(-15684, 2515, -3092), (-128, 210, 45)]
[(-15684, 2515, -3092), (-128, 210, 45)]
[(-15664, 2522, -3091), (-132, 261, 27)]
[(-15664, 2522, -3091), (-132, 261, 27)]
[(-15664, 2522, -3091), (-132, 261, 27)]
[(-15664, 2522, -3091), (-132, 261, 27)]
[(-15664, 2522, -3091), (-132, 261, 27)]
[(-15676, 2546, -3080), (-157, 259, 3)]
[(-15676, 2546, -3080), (-157, 259, 3)]
[(-15676, 2546, -3080), (-157, 259, 3)]
[(-15676, 2546, -3080), (-157, 259, 3)]
[(-15676, 2546, -3080), (-157, 259, 3)]
[(-15676, 2546, -3080), (-157, 259, 3)]
[(-15689, 2524, -3088), (-161, 238, 24)]
[(-15689, 2524, -3088), (-161, 238, 24)]
[(-15689, 2524, -3088), (-161, 238, 24)]
[(-15689, 2524, -3088), (-161, 238, 24)]
[(-15689, 2524, -3088), (-161, 238, 24)]
[(-15689, 2524, -3088), (-161, 238, 24)]
[(-15689, 2524, -3088), (-161, 238, 24)]
[(-15684, 2557, -3034), (-158, 163, 42)]
[(-15684, 2557, -3034), (-158, 163, 42)]
[(-15684, 2557, -3034), (-158, 163, 42)]
[(-15684, 2557, -3034), (-158, 163, 42)]
[(-15684, 2557, -3034), (-158, 163, 42)]
[(-15699, 2565, -3028), (-133, 135, 41)]
[(-15699, 2565, -3028), (-133, 135, 41)]
[(-15699, 2565, -3028), (-133, 135, 41)]
[(-15699, 2565, -3028), (-133, 135, 41)]
[(-15699, 2565, -3028), (-133, 135, 41)]
[(-15699, 2565, -3028), (-133, 135, 41)]
[(-15683, 2560, -2978), (-137, 168, 37)]
[(-15683, 2560, -2978), (-137, 168, 37)]
[(-15683, 2560, -2978), (-137, 168, 37)]
[(-15683, 2560, -2978), (-137, 168, 37)]
[(-15683, 2560, -2978), (-137, 168, 37)]
[(-15683, 2560, -2978), (-137, 168, 37)]
[(-15683, 2560, -2978), (-137, 168, 37)]
