[(-15618, 2643, -3173), (36, 175, 15)]
[(-15616, 2605, -3174), (33, 248, -69)]
[(-15616, 2605, -3174), (33, 248, -69)]
[(-15616, 2605, -3174), (33, 248, -69)]
[(-15616, 2605, -3174), (33, 248, -69)]
[(-15629, 2592, -3235), (94, 223, -55)]
[(-15629, 2592, -3235), (94, 223, -55)]
[(-15629, 2592, -3235), (94, 223, -55)]
[(-15629, 2592, -3235), (94, 223, -55)]
[(-15629, 2592, -3235), (94, 223, -55)]
[(-15629, 2592, -3235), (94, 223, -55)]
[(-15631, 2572, -3254), (-29, 154, -15)]
[(-15631, 2572, -3254), (-29, 154, -15)]
[(-15631, 2572, -3254), (-29, 154, -15)]
[(-15631, 2572, -3254), (-29, 154, -15)]
[(-15631, 2572, -3254), (-29, 154, -15)]
[(-15632, 2645, -3236), (-95, 100, 20)]
[(-15632, 2645, -3236), (-95, 100, 20)]
[(-15632, 2645, -3236), (-95, 100, 20)]
[(-15632, 2645, -3236), (-95, 100, 20)]
[(-15632, 2645, -3236), (-95, 100, 20)]
[(-15632, 2645, -3236), (-95, 100, 20)]
[(-15632, 2645, -3236), (-95, 100, 20)]
[(-15641, 2648, -3187), (-98, 110, -30)]
[(-15641, 2648, -3187), (-98, 110, -30)]
[(-15641, 2648, -3187), (-98, 110, -30)]
[(-15641, 2648, -3187), (-98, 110, -30)]
[(-15641, 2648, -3187), (-98, 110, -30)]
[(-15641, 2648, -3187), (-98, 110, -30)]
[(-15649, 2645, -3162), (-81, 216, -62)]
[(-15649, 2645, -3162), (-81, 216, -62)]
[(-15649, 2645, -3162), (-81, 216, -62)]
[(-15649, 2645, -3162), (-81, 216, -62)]
[(-15649, 2645, -3162), (-81, 216, -62)]
[(-15632, 2644, -3186), (-100, 276, -29)]
[(-15632, 2644, -3186), (-100, 276, -29)]
[(-15632, 2644, -3186), (-100, 276, -29)]
[(-15632, 2644, -3186), (-100, 276, -29)]
[(-15632, 2644, -3186), (-100, 276, -29)]
[(-15632, 2644, -3186), (-100, 276, -29)]
[(-15632, 2644, -3186), (-100, 276, -29)]
[(-15639, 2631, -3207), (-148, 243, 4)]
[(-15639, 2631, -3207), (-148, 243, 4)]
[(-15639, 2631, -3207), (-148, 243, 4)]
[(-15639, 2631, -3207), (-148, 243, 4)]
[(-15639, 2631, -3207), (-148, 243, 4)]
[(-15639, 2631, -3207), (-148, 243, 4)]
[(-15632, 2596, -3227), (-91, 112, 49)]
[(-15632, 2596, -3227), (-91, 112, 49)]
[(-15632, 2596, -3227), (-91, 112, 49)]
[(-15632, 2596, -3227), (-91, 112, 49)]
[(-15632, 2596, -3227), (-91, 112, 49)]
[(-15633, 2599, -3209), (-64, 93, 24)]
[(-15633, 2599, -3209), (-64, 93, 24)]
[(-15633, 2599, -3209), (-64, 93, 24)]
[(-15633, 2599, -3209), (-64, 93, 24)]
[(-15633, 2599, -3209), (-64, 93, 24)]
[(-15633, 2599, -3209), (-64, 93, 24)]
[(-15633, 2599, -3209), (-64, 93, 24)]
[(-15652, 2623, -3160), (-93, 166, -25)]
[(-15652, 2623, -3160), (-93, 166, -25)]
[(-15652, 2623, -3160), (-93, 166, -25)]
[(-15652, 2623, -3160), (-93, 166, -25)]
[(-15652, 2623, -3160), (-93, 166, -25)]
