[(-15668, 2500, -3242), (-72, 188, -17)]
[(-15669, 2490, -3225), (-79, 186, 0)]
[(-15669, 2490, -3225), (-79, 186, 0)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15664, 2505, -3224), (-117, 187, 49)]
[(-15654, 2496, -3264), (-155, 217, 72)]
[(-15654, 2496, -3264), (-155, 217, 72)]
[(-15654, 2496, -3264), (-155, 217, 72)]
[(-15654, 2496, -3264), (-155, 217, 72)]
[(-15654, 2496, -3264), (-155, 217, 72)]
[(-15623, 2509, -3245), (-209, 227, 46)]
[(-15623, 2509, -3245), (-209, 227, 46)]
[(-15623, 2509, -3245), (-209, 227, 46)]
[(-15623, 2509, -3245), (-209, 227, 46)]
[(-15623, 2509, -3245), (-209, 227, 46)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15624, 2515, -3249), (-202, 232, 25)]
[(-15630, 2514, -3233), (-211, 231, 18)]
[(-15630, 2514, -3233), (-211, 231, 18)]
[(-15630, 2514, -3233), (-211, 231, 18)]
[(-15630, 2514, -3233), (-211, 231, 18)]
[(-15630, 2514, -3233), (-211, 231, 18)]
[(-15640, 2526, -3254), (-180, 215, 21)]
[(-15640, 2526, -3254), (-180, 215, 21)]
[(-15640, 2526, -3254), (-180, 215, 21)]
[(-15640, 2526, -3254), (-180, 215, 21)]
[(-15640, 2526, -3254), (-180, 215, 21)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15656, 2525, -3259), (-175, 220, 49)]
[(-15646, 2540, -3252), (-136, 216, 62)]
[(-15646, 2540, -3252), (-136, 216, 62)]
[(-15646, 2540, -3252), (-136, 216, 62)]
[(-15646, 2540, -3252), (-136, 216, 62)]
[(-15646, 2540, -3252), (-136, 216, 62)]
[(-15648, 2547, -3239), (-123, 237, 51)]
[(-15648, 2547, -3239), (-123, 237, 51)]
