[(-15530, 2609, -2850), (-213, 146, 36)]
[(-15565, 2617, -2856), (-90, 158, -46)]
[(-15565, 2617, -2856), (-90, 158, -46)]
[(-15565, 2617, -2856), (-90, 158, -46)]
[(-15582, 2633, -2888), (-46, 137, -49)]
[(-15582, 2633, -2888), (-46, 137, -49)]
[(-15582, 2633, -2888), (-46, 137, -49)]
[(-15582, 2633, -2888), (-46, 137, -49)]
[(-15582, 2633, -2888), (-46, 137, -49)]
[(-15591, 2668, -2908), (-80, 123, -1)]
[(-15591, 2668, -2908), (-80, 123, -1)]
[(-15591, 2668, -2908), (-80, 123, -1)]
[(-15591, 2668, -2908), (-80, 123, -1)]
[(-15591, 2668, -2908), (-80, 123, -1)]
[(-15591, 2668, -2908), (-80, 123, -1)]
[(-15616, 2660, -2882), (-131, 135, 3)]
[(-15616, 2660, -2882), (-131, 135, 3)]
[(-15616, 2660, -2882), (-131, 135, 3)]
[(-15616, 2660, -2882), (-131, 135, 3)]
[(-15616, 2660, -2882), (-131, 135, 3)]
[(-15616, 2660, -2882), (-131, 135, 3)]
[(-15616, 2660, -2882), (-131, 135, 3)]
[(-15617, 2666, -2861), (-96, 153, -23)]
[(-15617, 2666, -2861), (-96, 153, -23)]
[(-15617, 2666, -2861), (-96, 153, -23)]
[(-15617, 2666, -2861), (-96, 153, -23)]
[(-15617, 2666, -2861), (-96, 153, -23)]
[(-15617, 2666, -2861), (-96, 153, -23)]
[(-15628, 2624, -2857), (-90, 163, -8)]
[(-15628, 2624, -2857), (-90, 163, -8)]
[(-15628, 2624, -2857), (-90, 163, -8)]
[(-15628, 2624, -2857), (-90, 163, -8)]
[(-15628, 2624, -2857), (-90, 163, -8)]
[(-15657, 2636, -2857), (-100, 131, 42)]
[(-15657, 2636, -2857), (-100, 131, 42)]
[(-15657, 2636, -2857), (-100, 131, 42)]
[(-15657, 2636, -2857), (-100, 131, 42)]
[(-15657, 2636, -2857), (-100, 131, 42)]
[(-15657, 2636, -2857), (-100, 131, 42)]
[(-15657, 2636, -2857), (-100, 131, 42)]
[(-15644, 2636, -2813), (-158, 134, 74)]
[(-15644, 2636, -2813), (-158, 134, 74)]
[(-15644, 2636, -2813), (-158, 134, 74)]
[(-15644, 2636, -2813), (-158, 134, 74)]
[(-15644, 2636, -2813), (-158, 134, 74)]
[(-15644, 2636, -2813), (-158, 134, 74)]
[(-15647, 2621, -2826), (-186, 159, 100)]
[(-15647, 2621, -2826), (-186, 159, 100)]
[(-15647, 2621, -2826), (-186, 159, 100)]
[(-15647, 2621, -2826), (-186, 159, 100)]
[(-15647, 2621, -2826), (-186, 159, 100)]
[(-15638, 2623, -2802), (-202, 189, 86)]
[(-15638, 2623, -2802), (-202, 189, 86)]
[(-15638, 2623, -2802), (-202, 189, 86)]
[(-15638, 2623, -2802), (-202, 189, 86)]
[(-15638, 2623, -2802), (-202, 189, 86)]
[(-15638, 2623, -2802), (-202, 189, 86)]
[(-15638, 2623, -2802), (-202, 189, 86)]
[(-15635, 2653, -2758), (-203, 130, 71)]
[(-15635, 2653, -2758), (-203, 130, 71)]
[(-15635, 2653, -2758), (-203, 130, 71)]
[(-15635, 2653, -2758), (-203, 130, 71)]
[(-15635, 2653, -2758), (-203, 130, 71)]
[(-15635, 2653, -2758), (-203, 130, 71)]
[(-15680, 2664, -2741), (-164, 99, 77)]
[(-15680, 2664, -2741), (-164, 99, 77)]
[(-15680, 2664, -2741), (-164, 99, 77)]
[(-15680, 2664, -2741), (-164, 99, 77)]
[(-15680, 2664, -2741), (-164, 99, 77)]
[(-15699, 2646, -2759), (-191, 93, 107)]
[(-15699, 2646, -2759), (-191, 93, 107)]
[(-15699, 2646, -2759), (-191, 93, 107)]
[(-15699, 2646, -2759), (-191, 93, 107)]
[(-15699, 2646, -2759), (-191, 93, 107)]
[(-15699, 2646, -2759), (-191, 93, 107)]
[(-15699, 2646, -2759), (-191, 93, 107)]
[(-15692, 2644, -2752), (-182, 112, 108)]
[(-15692, 2644, -2752), (-182, 112, 108)]
[(-15692, 2644, -2752), (-182, 112, 108)]
[(-15692, 2644, -2752), (-182, 112, 108)]
[(-15692, 2644, -2752), (-182, 112, 108)]
[(-15692, 2644, -2752), (-182, 112, 108)]
[(-15668, 2671, -2751), (-243, 150, 73)]
[(-15668, 2671, -2751), (-243, 150, 73)]
[(-15668, 2671, -2751), (-243, 150, 73)]
[(-15668, 2671, -2751), (-243, 150, 73)]
[(-15668, 2671, -2751), (-243, 150, 73)]
[(-15689, 2683, -2762), (-229, 163, 46)]
[(-15689, 2683, -2762), (-229, 163, 46)]
[(-15689, 2683, -2762), (-229, 163, 46)]
[(-15689, 2683, -2762), (-229, 163, 46)]
[(-15689, 2683, -2762), (-229, 163, 46)]
[(-15689, 2683, -2762), (-229, 163, 46)]
[(-15689, 2683, -2762), (-229, 163, 46)]
[(-15684, 2708, -2772), (-227, 140, 32)]
[(-15684, 2708, -2772), (-227, 140, 32)]
[(-15684, 2708, -2772), (-227, 140, 32)]
[(-15684, 2708, -2772), (-227, 140, 32)]
[(-15684, 2708, -2772), (-227, 140, 32)]
[(-15677, 2716, -2728), (-281, 120, 16)]
[(-15677, 2716, -2728), (-281, 120, 16)]
[(-15677, 2716, -2728), (-281, 120, 16)]
[(-15677, 2716, -2728), (-281, 120, 16)]
[(-15677, 2716, -2728), (-281, 120, 16)]
[(-15677, 2716, -2728), (-281, 120, 16)]
[(-15709, 2717, -2739), (-202, 99, 21)]
[(-15709, 2717, -2739), (-202, 99, 21)]
[(-15709, 2717, -2739), (-202, 99, 21)]
[(-15709, 2717, -2739), (-202, 99, 21)]
[(-15709, 2717, -2739), (-202, 99, 21)]
[(-15709, 2717, -2739), (-202, 99, 21)]
[(-15709, 2717, -2739), (-202, 99, 21)]
[(-15695, 2704, -2704), (-162, 129, 26)]
[(-15695, 2704, -2704), (-162, 129, 26)]
[(-15695, 2704, -2704), (-162, 129, 26)]
[(-15695, 2704, -2704), (-162, 129, 26)]
[(-15695, 2704, -2704), (-162, 129, 26)]
[(-15695, 2704, -2704), (-162, 129, 26)]
[(-15708, 2652, -2670), (-161, 193, 57)]
[(-15708, 2652, -2670), (-161, 193, 57)]
[(-15708, 2652, -2670), (-161, 193, 57)]
[(-15708, 2652, -2670), (-161, 193, 57)]
[(-15708, 2652, -2670), (-161, 193, 57)]
[(-15696, 2648, -2658), (-180, 206, 55)]
[(-15696, 2648, -2658), (-180, 206, 55)]
[(-15696, 2648, -2658), (-180, 206, 55)]
[(-15696, 2648, -2658), (-180, 206, 55)]
[(-15696, 2648, -2658), (-180, 206, 55)]
[(-15696, 2648, -2658), (-180, 206, 55)]
[(-15696, 2648, -2658), (-180, 206, 55)]
[(-15706, 2659, -2652), (-165, 211, 70)]
[(-15706, 2659, -2652), (-165, 211, 70)]
[(-15706, 2659, -2652), (-165, 211, 70)]
[(-15706, 2659, -2652), (-165, 211, 70)]
[(-15706, 2659, -2652), (-165, 211, 70)]
[(-15727, 2662, -2654), (-152, 196, 74)]
[(-15727, 2662, -2654), (-152, 196, 74)]
[(-15727, 2662, -2654), (-152, 196, 74)]
[(-15727, 2662, -2654), (-152, 196, 74)]
[(-15727, 2662, -2654), (-152, 196, 74)]
[(-15727, 2662, -2654), (-152, 196, 74)]
[(-15731, 2660, -2640), (-108, 207, 77)]
[(-15731, 2660, -2640), (-108, 207, 77)]
[(-15731, 2660, -2640), (-108, 207, 77)]
[(-15731, 2660, -2640), (-108, 207, 77)]
[(-15731, 2660, -2640), (-108, 207, 77)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15736, 2667, -2660), (-98, 137, 107)]
[(-15703, 2634, -2672), (-130, 149, 96)]
[(-15703, 2634, -2672), (-130, 149, 96)]
[(-15703, 2634, -2672), (-130, 149, 96)]
[(-15703, 2634, -2672), (-130, 149, 96)]
[(-15703, 2634, -2672), (-130, 149, 96)]
[(-15682, 2633, -2697), (-121, 220, 66)]
[(-15682, 2633, -2697), (-121, 220, 66)]
[(-15682, 2633, -2697), (-121, 220, 66)]
