[(-15148, 1904, -5719), (-116, 87, 160)]
[(-15178, 1932, -5679), (-139, 82, 180)]
[(-15178, 1932, -5679), (-139, 82, 180)]
[(-15178, 1932, -5679), (-139, 82, 180)]
[(-15287, 1990, -5689), (-19, -157, 347)]
[(-15287, 1990, -5689), (-19, -157, 347)]
[(-15287, 1990, -5689), (-19, -157, 347)]
[(-15287, 1990, -5689), (-19, -157, 347)]
[(-15287, 1990, -5689), (-19, -157, 347)]
[(-15287, 1990, -5689), (-19, -157, 347)]
[(-15314, 1966, -5630), (95, -9, 228)]
[(-15314, 1966, -5630), (95, -9, 228)]
[(-15314, 1966, -5630), (95, -9, 228)]
[(-15314, 1966, -5630), (95, -9, 228)]
[(-15314, 1966, -5630), (95, -9, 228)]
[(-15306, 1975, -5639), (26, 41, 131)]
[(-15306, 1975, -5639), (26, 41, 131)]
[(-15306, 1975, -5639), (26, 41, 131)]
[(-15306, 1975, -5639), (26, 41, 131)]
[(-15306, 1975, -5639), (26, 41, 131)]
[(-15306, 1975, -5639), (26, 41, 131)]
[(-15306, 1975, -5639), (26, 41, 131)]
[(-15272, 1988, -5573), (-22, 76, 116)]
[(-15272, 1988, -5573), (-22, 76, 116)]
[(-15272, 1988, -5573), (-22, 76, 116)]
[(-15272, 1988, -5573), (-22, 76, 116)]
[(-15272, 1988, -5573), (-22, 76, 116)]
[(-15272, 1988, -5573), (-22, 76, 116)]
[(-15258, 2004, -5524), (98, 9, -1)]
[(-15258, 2004, -5524), (98, 9, -1)]
[(-15258, 2004, -5524), (98, 9, -1)]
[(-15258, 2004, -5524), (98, 9, -1)]
[(-15258, 2004, -5524), (98, 9, -1)]
[(-15279, 1988, -5501), (57, 116, -25)]
[(-15279, 1988, -5501), (57, 116, -25)]
[(-15279, 1988, -5501), (57, 116, -25)]
[(-15279, 1988, -5501), (57, 116, -25)]
[(-15279, 1988, -5501), (57, 116, -25)]
[(-15279, 1988, -5501), (57, 116, -25)]
[(-15279, 1988, -5501), (57, 116, -25)]
[(-15275, 1962, -5504), (15, 149, -116)]
[(-15275, 1962, -5504), (15, 149, -116)]
[(-15275, 1962, -5504), (15, 149, -116)]
[(-15275, 1962, -5504), (15, 149, -116)]
[(-15275, 1962, -5504), (15, 149, -116)]
[(-15275, 1962, -5504), (15, 149, -116)]
[(-15251, 1920, -5505), (-33, 159, -150)]
[(-15251, 1920, -5505), (-33, 159, -150)]
[(-15251, 1920, -5505), (-33, 159, -150)]
[(-15251, 1920, -5505), (-33, 159, -150)]
[(-15251, 1920, -5505), (-33, 159, -150)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15248, 1870, -5528), (-72, 156, -115)]
[(-15234, 1824, -5514), (-38, 107, -141)]
[(-15234, 1824, -5514), (-38, 107, -141)]
[(-15234, 1824, -5514), (-38, 107, -141)]
[(-15234, 1824, -5514), (-38, 107, -141)]
[(-15234, 1824, -5514), (-38, 107, -141)]
[(-15265, 1769, -5536), (-116, 154, -173)]
[(-15265, 1769, -5536), (-116, 154, -173)]
[(-15265, 1769, -5536), (-116, 154, -173)]
[(-15265, 1769, -5536), (-116, 154, -173)]
[(-15265, 1769, -5536), (-116, 154, -173)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15289, 1716, -5516), (-115, 135, -188)]
[(-15248, 1681, -5506), (-120, 146, -144)]
[(-15248, 1681, -5506), (-120, 146, -144)]
[(-15248, 1681, -5506), (-120, 146, -144)]
[(-15248, 1681, -5506), (-120, 146, -144)]
[(-15251, 1668, -5495), (-77, 219, -38)]
[(-15251, 1668, -5495), (-77, 219, -38)]
[(-15251, 1668, -5495), (-77, 219, -38)]
[(-15251, 1668, -5495), (-77, 219, -38)]
[(-15251, 1668, -5495), (-77, 219, -38)]
[(-15251, 1668, -5495), (-77, 219, -38)]
[(-15296, 1657, -5475), (-9, 266, -21)]
[(-15296, 1657, -5475), (-9, 266, -21)]
[(-15296, 1657, -5475), (-9, 266, -21)]
[(-15296, 1657, -5475), (-9, 266, -21)]
[(-15296, 1657, -5475), (-9, 266, -21)]
[(-15288, 1640, -5489), (17, 334, 67)]
[(-15288, 1640, -5489), (17, 334, 67)]
[(-15288, 1640, -5489), (17, 334, 67)]
[(-15288, 1640, -5489), (17, 334, 67)]
[(-15288, 1640, -5489), (17, 334, 67)]
[(-15288, 1640, -5489), (17, 334, 67)]
[(-15283, 1636, -5488), (-12, 339, 147)]
[(-15283, 1636, -5488), (-12, 339, 147)]
[(-15283, 1636, -5488), (-12, 339, 147)]
[(-15283, 1636, -5488), (-12, 339, 147)]
[(-15283, 1636, -5488), (-12, 339, 147)]
[(-15280, 1669, -5492), (-152, 368, 166)]
[(-15280, 1669, -5492), (-152, 368, 166)]
[(-15280, 1669, -5492), (-152, 368, 166)]
[(-15280, 1669, -5492), (-152, 368, 166)]
[(-15280, 1669, -5492), (-152, 368, 166)]
[(-15280, 1669, -5492), (-152, 368, 166)]
[(-15229, 1711, -5539), (-782, 534, 247)]
[(-15229, 1711, -5539), (-782, 534, 247)]
[(-15229, 1711, -5539), (-782, 534, 247)]
[(-15229, 1711, -5539), (-782, 534, 247)]
[(-15229, 1711, -5539), (-782, 534, 247)]
[(-15229, 1711, -5539), (-782, 534, 247)]
[(-15229, 1711, -5539), (-782, 534, 247)]
[(-15196, 1833, -5594), (-723, 511, 184)]
[(-15196, 1833, -5594), (-723, 511, 184)]
