[(-13144, -1888, -10396), (-75, 424, 2)]
[(-13136, -1877, -10397), (-77, 418, -4)]
[(-13136, -1877, -10397), (-77, 418, -4)]
[(-13136, -1877, -10397), (-77, 418, -4)]
[(-13136, -1877, -10397), (-77, 418, -4)]
[(-13136, -1877, -10397), (-77, 418, -4)]
[(-13136, -1877, -10397), (-77, 418, -4)]
[(-13128, -1858, -10417), (-94, 400, -8)]
[(-13128, -1858, -10417), (-94, 400, -8)]
[(-13128, -1858, -10417), (-94, 400, -8)]
[(-13128, -1858, -10417), (-94, 400, -8)]
[(-13128, -1858, -10417), (-94, 400, -8)]
[(-13113, -1840, -10410), (-117, 361, 9)]
[(-13113, -1840, -10410), (-117, 361, 9)]
[(-13113, -1840, -10410), (-117, 361, 9)]
[(-13113, -1840, -10410), (-117, 361, 9)]
[(-13113, -1840, -10410), (-117, 361, 9)]
[(-13113, -1840, -10410), (-117, 361, 9)]
[(-13099, -1839, -10404), (-73, 382, 17)]
[(-13099, -1839, -10404), (-73, 382, 17)]
[(-13099, -1839, -10404), (-73, 382, 17)]
[(-13099, -1839, -10404), (-73, 382, 17)]
[(-13099, -1839, -10404), (-73, 382, 17)]
[(-13099, -1839, -10404), (-73, 382, 17)]
[(-13099, -1839, -10404), (-73, 382, 17)]
[(-13114, -1860, -10421), (93, 329, 15)]
[(-13114, -1860, -10421), (93, 329, 15)]
[(-13114, -1860, -10421), (93, 329, 15)]
[(-13114, -1860, -10421), (93, 329, 15)]
[(-13114, -1860, -10421), (93, 329, 15)]
[(-13132, -1868, -10424), (31, 326, 34)]
[(-13132, -1868, -10424), (31, 326, 34)]
[(-13132, -1868, -10424), (31, 326, 34)]
[(-13132, -1868, -10424), (31, 326, 34)]
[(-13132, -1868, -10424), (31, 326, 34)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13130, -1899, -10423), (84, 369, 85)]
[(-13171, -1980, -10425), (14, 417, 42)]
[(-13171, -1980, -10425), (14, 417, 42)]
[(-13171, -1980, -10425), (14, 417, 42)]
[(-13171, -1980, -10425), (14, 417, 42)]
[(-13171, -1980, -10425), (14, 417, 42)]
[(-13141, -1938, -10429), (-123, 388, 52)]
[(-13141, -1938, -10429), (-123, 388, 52)]
[(-13141, -1938, -10429), (-123, 388, 52)]
[(-13141, -1938, -10429), (-123, 388, 52)]
[(-13141, -1938, -10429), (-123, 388, 52)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13175, -1909, -10406), (-263, 452, 178)]
[(-13185, -1817, -10421), (265, 587, 390)]
[(-13185, -1817, -10421), (265, 587, 390)]
[(-13185, -1817, -10421), (265, 587, 390)]
[(-13185, -1817, -10421), (265, 587, 390)]
[(-13185, -1817, -10421), (265, 587, 390)]
[(-13165, -1693, -10476), (-18, 376, 253)]
[(-13165, -1693, -10476), (-18, 376, 253)]
[(-13165, -1693, -10476), (-18, 376, 253)]
[(-13165, -1693, -10476), (-18, 376, 253)]
