[(-13379, -1675, -10187), (-25, 379, -36)]
[(-13367, -1662, -10121), (-38, 357, -17)]
[(-13367, -1662, -10121), (-38, 357, -17)]
[(-13367, -1662, -10121), (-38, 357, -17)]
[(-13367, -1662, -10121), (-38, 357, -17)]
[(-13367, -1662, -10121), (-38, 357, -17)]
[(-13367, -1662, -10121), (-38, 357, -17)]
[(-13320, -1686, -10152), (-66, 359, -20)]
[(-13320, -1686, -10152), (-66, 359, -20)]
[(-13320, -1686, -10152), (-66, 359, -20)]
[(-13320, -1686, -10152), (-66, 359, -20)]
[(-13320, -1686, -10152), (-66, 359, -20)]
[(-13309, -1680, -10142), (-71, 372, -5)]
[(-13309, -1680, -10142), (-71, 372, -5)]
[(-13309, -1680, -10142), (-71, 372, -5)]
[(-13309, -1680, -10142), (-71, 372, -5)]
[(-13309, -1680, -10142), (-71, 372, -5)]
[(-13309, -1680, -10142), (-71, 372, -5)]
[(-13309, -1680, -10142), (-71, 372, -5)]
[(-13331, -1700, -10123), (-52, 385, -8)]
[(-13331, -1700, -10123), (-52, 385, -8)]
[(-13331, -1700, -10123), (-52, 385, -8)]
[(-13331, -1700, -10123), (-52, 385, -8)]
[(-13331, -1700, -10123), (-52, 385, -8)]
[(-13331, -1700, -10123), (-52, 385, -8)]
[(-13340, -1716, -10152), (-143, 440, 11)]
[(-13340, -1716, -10152), (-143, 440, 11)]
[(-13340, -1716, -10152), (-143, 440, 11)]
[(-13340, -1716, -10152), (-143, 440, 11)]
[(-13340, -1716, -10152), (-143, 440, 11)]
[(-13331, -1677, -10154), (-119, 375, 20)]
[(-13331, -1677, -10154), (-119, 375, 20)]
[(-13331, -1677, -10154), (-119, 375, 20)]
[(-13331, -1677, -10154), (-119, 375, 20)]
[(-13331, -1677, -10154), (-119, 375, 20)]
[(-13339, -1657, -10160), (-147, 371, 12)]
[(-13339, -1657, -10160), (-147, 371, 12)]
[(-13339, -1657, -10160), (-147, 371, 12)]
[(-13339, -1657, -10160), (-147, 371, 12)]
