[(-12996, -1750, -10825), (-116, 422, 0)]
[(-12995, -1736, -10828), (-123, 399, 2)]
[(-12995, -1736, -10828), (-123, 399, 2)]
[(-12995, -1736, -10828), (-123, 399, 2)]
[(-12995, -1736, -10828), (-123, 399, 2)]
[(-12995, -1736, -10828), (-123, 399, 2)]
[(-12995, -1736, -10828), (-123, 399, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-12986, -1731, -10828), (-91, 370, 2)]
[(-13004, -1720, -10831), (-91, 360, -6)]
[(-13004, -1720, -10831), (-91, 360, -6)]
[(-13004, -1720, -10831), (-91, 360, -6)]
[(-12984, -1735, -10788), (-75, 376, -8)]
[(-12984, -1735, -10788), (-75, 376, -8)]
[(-12984, -1735, -10788), (-75, 376, -8)]
[(-12984, -1735, -10788), (-75, 376, -8)]
[(-12984, -1735, -10788), (-75, 376, -8)]
[(-12984, -1735, -10788), (-75, 376, -8)]
[(-13019, -1733, -10784), (-68, 380, 5)]
[(-13019, -1733, -10784), (-68, 380, 5)]
[(-13019, -1733, -10784), (-68, 380, 5)]
[(-13019, -1733, -10784), (-68, 380, 5)]
[(-13019, -1733, -10784), (-68, 380, 5)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12992, -1737, -10779), (-81, 407, 7)]
[(-12988, -1719, -10810), (-13, 490, 22)]
[(-12988, -1719, -10810), (-13, 490, 22)]
[(-12988, -1719, -10810), (-13, 490, 22)]
[(-12988, -1719, -10810), (-13, 490, 22)]
[(-12977, -1719, -10864), (-75, 551, 19)]
[(-12977, -1719, -10864), (-75, 551, 19)]
[(-12977, -1719, -10864), (-75, 551, 19)]
[(-12977, -1719, -10864), (-75, 551, 19)]
[(-12977, -1719, -10864), (-75, 551, 19)]
[(-12988, -1577, -10633), (-116, 433, -30)]
[(-12988, -1577, -10633), (-116, 433, -30)]
[(-12988, -1577, -10633), (-116, 433, -30)]
[(-12988, -1577, -10633), (-116, 433, -30)]
[(-12988, -1577, -10633), (-116, 433, -30)]
[(-12988, -1577, -10633), (-116, 433, -30)]
[(-12988, -1577, -10633), (-116, 433, -30)]
[(-12976, -1568, -10696), (-108, 461, -16)]
[(-12976, -1568, -10696), (-108, 461, -16)]
[(-12976, -1568, -10696), (-108, 461, -16)]
[(-12976, -1568, -10696), (-108, 461, -16)]
[(-12976, -1568, -10696), (-108, 461, -16)]
[(-12976, -1568, -10696), (-108, 461, -16)]
[(-12953, -1596, -10787), (-70, 460, -4)]
[(-12953, -1596, -10787), (-70, 460, -4)]
[(-12953, -1596, -10787), (-70, 460, -4)]
[(-12953, -1596, -10787), (-70, 460, -4)]
[(-12953, -1596, -10787), (-70, 460, -4)]
