[(-12931, -1773, -10929), (-10, 402, -6)]
[(-12939, -1769, -10923), (-8, 398, 0)]
[(-12939, -1769, -10923), (-8, 398, 0)]
[(-12956, -1782, -10926), (-7, 383, -10)]
[(-12956, -1782, -10926), (-7, 383, -10)]
[(-12956, -1782, -10926), (-7, 383, -10)]
[(-12956, -1782, -10926), (-7, 383, -10)]
[(-12956, -1782, -10926), (-7, 383, -10)]
[(-12934, -1790, -10919), (-23, 381, 16)]
[(-12934, -1790, -10919), (-23, 381, 16)]
[(-12934, -1790, -10919), (-23, 381, 16)]
[(-12934, -1790, -10919), (-23, 381, 16)]
[(-12934, -1790, -10919), (-23, 381, 16)]
[(-12934, -1790, -10919), (-23, 381, 16)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12933, -1796, -10939), (-29, 384, 14)]
[(-12959, -1812, -10939), (-40, 405, 5)]
[(-12959, -1812, -10939), (-40, 405, 5)]
[(-12959, -1812, -10939), (-40, 405, 5)]
[(-12944, -1792, -10940), (-209, 508, 7)]
[(-12944, -1792, -10940), (-209, 508, 7)]
[(-12944, -1792, -10940), (-209, 508, 7)]
[(-12944, -1792, -10940), (-209, 508, 7)]
[(-12944, -1792, -10940), (-209, 508, 7)]
[(-12944, -1792, -10940), (-209, 508, 7)]
[(-12918, -1793, -10980), (-296, 543, -7)]
[(-12918, -1793, -10980), (-296, 543, -7)]
[(-12918, -1793, -10980), (-296, 543, -7)]
[(-12918, -1793, -10980), (-296, 543, -7)]
[(-12918, -1793, -10980), (-296, 543, -7)]
[(-12912, -1740, -11140), (-9, 357, -5)]
[(-12912, -1740, -11140), (-9, 357, -5)]
[(-12912, -1740, -11140), (-9, 357, -5)]
[(-12912, -1740, -11140), (-9, 357, -5)]
[(-12912, -1740, -11140), (-9, 357, -5)]
[(-12912, -1740, -11140), (-9, 357, -5)]
[(-12912, -1740, -11140), (-9, 357, -5)]
[(-12922, -1712, -11099), (-27, 378, -13)]
[(-12922, -1712, -11099), (-27, 378, -13)]
[(-12922, -1712, -11099), (-27, 378, -13)]
[(-12922, -1712, -11099), (-27, 378, -13)]
[(-12922, -1712, -11099), (-27, 378, -13)]
[(-12922, -1712, -11099), (-27, 378, -13)]
[(-12934, -1685, -11129), (167, 471, 33)]
[(-12934, -1685, -11129), (167, 471, 33)]
[(-12934, -1685, -11129), (167, 471, 33)]
[(-12934, -1685, -11129), (167, 471, 33)]
[(-12934, -1685, -11129), (167, 471, 33)]
[(-12915, -1677, -11108), (108, 401, 3)]
[(-12915, -1677, -11108), (108, 401, 3)]
[(-12915, -1677, -11108), (108, 401, 3)]
[(-12915, -1677, -11108), (108, 401, 3)]
[(-12915, -1677, -11108), (108, 401, 3)]
[(-12915, -1677, -11108), (108, 401, 3)]
[(-12915, -1677, -11108), (108, 401, 3)]
[(-12937, -1694, -11072), (-48, 351, -45)]
[(-12937, -1694, -11072), (-48, 351, -45)]
[(-12937, -1694, -11072), (-48, 351, -45)]
[(-12937, -1694, -11072), (-48, 351, -45)]
[(-12937, -1694, -11072), (-48, 351, -45)]
[(-12937, -1694, -11072), (-48, 351, -45)]
[(-12937, -1694, -11072), (-48, 351, -45)]
[(-12961, -1704, -11027), (-50, 320, -17)]
[(-12961, -1704, -11027), (-50, 320, -17)]
[(-12961, -1704, -11027), (-50, 320, -17)]
[(-12961, -1704, -11027), (-50, 320, -17)]
[(-12961, -1704, -11027), (-50, 320, -17)]
[(-12961, -1704, -11027), (-50, 320, -17)]
[(-12929, -1731, -10976), (-9, 334, -33)]
[(-12929, -1731, -10976), (-9, 334, -33)]
[(-12929, -1731, -10976), (-9, 334, -33)]
[(-12929, -1731, -10976), (-9, 334, -33)]
[(-12929, -1731, -10976), (-9, 334, -33)]
[(-12924, -1729, -10963), (-52, 357, -15)]
[(-12924, -1729, -10963), (-52, 357, -15)]
[(-12924, -1729, -10963), (-52, 357, -15)]
[(-12924, -1729, -10963), (-52, 357, -15)]
[(-12924, -1729, -10963), (-52, 357, -15)]
[(-12924, -1729, -10963), (-52, 357, -15)]
[(-12956, -1709, -10928), (-58, 351, 0)]
[(-12956, -1709, -10928), (-58, 351, 0)]
[(-12956, -1709, -10928), (-58, 351, 0)]
[(-12956, -1709, -10928), (-58, 351, 0)]
[(-12956, -1709, -10928), (-58, 351, 0)]
[(-12991, -1712, -10892), (-93, 327, -23)]
[(-12991, -1712, -10892), (-93, 327, -23)]
[(-12991, -1712, -10892), (-93, 327, -23)]
[(-12991, -1712, -10892), (-93, 327, -23)]
[(-12991, -1712, -10892), (-93, 327, -23)]
[(-12991, -1712, -10892), (-93, 327, -23)]
[(-12991, -1712, -10892), (-93, 327, -23)]
[(-12998, -1728, -10876), (-113, 352, -29)]
[(-12998, -1728, -10876), (-113, 352, -29)]
[(-12998, -1728, -10876), (-113, 352, -29)]
[(-12998, -1728, -10876), (-113, 352, -29)]
[(-12998, -1728, -10876), (-113, 352, -29)]
[(-12998, -1728, -10876), (-113, 352, -29)]
[(-12998, -1728, -10876), (-113, 352, -29)]
[(-12998, -1715, -10827), (-66, 428, -33)]
[(-12998, -1715, -10827), (-66, 428, -33)]
[(-12998, -1715, -10827), (-66, 428, -33)]
[(-12998, -1715, -10827), (-66, 428, -33)]
[(-12998, -1715, -10827), (-66, 428, -33)]
[(-12998, -1715, -10827), (-66, 428, -33)]
[(-12984, -1724, -10826), (-21, 438, -57)]
[(-12984, -1724, -10826), (-21, 438, -57)]
[(-12984, -1724, -10826), (-21, 438, -57)]
[(-12984, -1724, -10826), (-21, 438, -57)]
[(-12984, -1724, -10826), (-21, 438, -57)]
[(-12973, -1737, -10843), (31, 493, -34)]
[(-12973, -1737, -10843), (31, 493, -34)]
[(-12973, -1737, -10843), (31, 493, -34)]
[(-12973, -1737, -10843), (31, 493, -34)]
[(-12973, -1737, -10843), (31, 493, -34)]
[(-12973, -1737, -10843), (31, 493, -34)]
[(-12973, -1737, -10843), (31, 493, -34)]
[(-12990, -1757, -10836), (-17, 383, -79)]
[(-12990, -1757, -10836), (-17, 383, -79)]
