[(-13289, -1669, -10270), (196, 416, 28)]
[(-13297, -1695, -10218), (147, 412, 27)]
[(-13297, -1695, -10218), (147, 412, 27)]
[(-13297, -1695, -10218), (147, 412, 27)]
[(-13297, -1695, -10218), (147, 412, 27)]
[(-13297, -1695, -10218), (147, 412, 27)]
[(-13297, -1695, -10218), (147, 412, 27)]
[(-13291, -1712, -10226), (-73, 430, -12)]
[(-13291, -1712, -10226), (-73, 430, -12)]
[(-13291, -1712, -10226), (-73, 430, -12)]
[(-13291, -1712, -10226), (-73, 430, -12)]
[(-13291, -1712, -10226), (-73, 430, -12)]
[(-13291, -1712, -10226), (-73, 430, -12)]
[(-13291, -1712, -10226), (-73, 430, -12)]
[(-13337, -1788, -10286), (-129, 235, 0)]
[(-13337, -1788, -10286), (-129, 235, 0)]
[(-13337, -1788, -10286), (-129, 235, 0)]
[(-13337, -1788, -10286), (-129, 235, 0)]
[(-13337, -1788, -10286), (-129, 235, 0)]
[(-13320, -1758, -10308), (-111, 206, 3)]
[(-13320, -1758, -10308), (-111, 206, 3)]
[(-13320, -1758, -10308), (-111, 206, 3)]
[(-13320, -1758, -10308), (-111, 206, 3)]
[(-13320, -1758, -10308), (-111, 206, 3)]
[(-13320, -1758, -10308), (-111, 206, 3)]
[(-13293, -1721, -10328), (-50, 240, -3)]
[(-13293, -1721, -10328), (-50, 240, -3)]
[(-13293, -1721, -10328), (-50, 240, -3)]
[(-13293, -1721, -10328), (-50, 240, -3)]
[(-13293, -1721, -10328), (-50, 240, -3)]
[(-13281, -1704, -10310), (317, 290, 49)]
[(-13281, -1704, -10310), (317, 290, 49)]
[(-13281, -1704, -10310), (317, 290, 49)]
[(-13281, -1704, -10310), (317, 290, 49)]
[(-13281, -1704, -10310), (317, 290, 49)]
[(-13281, -1704, -10310), (317, 290, 49)]
[(-13281, -1704, -10310), (317, 290, 49)]
[(-13258, -1726, -10332), (149, 285, 53)]
[(-13258, -1726, -10332), (149, 285, 53)]
[(-13258, -1726, -10332), (149, 285, 53)]
[(-13258, -1726, -10332), (149, 285, 53)]
[(-13258, -1726, -10332), (149, 285, 53)]
[(-13258, -1726, -10332), (149, 285, 53)]
[(-13285, -1765, -10345), (73, 315, 49)]
[(-13285, -1765, -10345), (73, 315, 49)]
[(-13285, -1765, -10345), (73, 315, 49)]
