[(-13184, -1563, -10522), (-688, 515, -63)]
[(-13205, -1556, -10526), (-634, 466, -71)]
[(-13205, -1556, -10526), (-634, 466, -71)]
[(-13205, -1556, -10526), (-634, 466, -71)]
[(-13205, -1556, -10526), (-634, 466, -71)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13208, -1539, -10501), (-535, 466, -43)]
[(-13216, -1522, -10536), (-104, 452, 23)]
[(-13216, -1522, -10536), (-104, 452, 23)]
[(-13216, -1522, -10536), (-104, 452, 23)]
[(-13216, -1522, -10536), (-104, 452, 23)]
[(-13216, -1522, -10536), (-104, 452, 23)]
[(-13217, -1514, -10535), (42, 371, -5)]
[(-13217, -1514, -10535), (42, 371, -5)]
[(-13217, -1514, -10535), (42, 371, -5)]
[(-13217, -1514, -10535), (42, 371, -5)]
[(-13217, -1514, -10535), (42, 371, -5)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13250, -1532, -10500), (114, 329, -6)]
[(-13240, -1585, -10450), (94, 381, -2)]
[(-13240, -1585, -10450), (94, 381, -2)]
[(-13240, -1585, -10450), (94, 381, -2)]
[(-13240, -1585, -10450), (94, 381, -2)]
[(-13240, -1585, -10450), (94, 381, -2)]
[(-13265, -1632, -10425), (180, 368, 24)]
[(-13265, -1632, -10425), (180, 368, 24)]
[(-13265, -1632, -10425), (180, 368, 24)]
[(-13265, -1632, -10425), (180, 368, 24)]
[(-13265, -1632, -10425), (180, 368, 24)]
[(-13253, -1612, -10423), (46, 352, -15)]
[(-13253, -1612, -10423), (46, 352, -15)]
[(-13253, -1612, -10423), (46, 352, -15)]
[(-13253, -1612, -10423), (46, 352, -15)]
[(-13253, -1612, -10423), (46, 352, -15)]
[(-13253, -1612, -10423), (46, 352, -15)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13259, -1637, -10356), (6, 308, 20)]
[(-13271, -1645, -10343), (16, 375, -12)]
[(-13271, -1645, -10343), (16, 375, -12)]
[(-13271, -1645, -10343), (16, 375, -12)]
[(-13271, -1645, -10343), (16, 375, -12)]
[(-13271, -1645, -10343), (16, 375, -12)]
[(-13287, -1654, -10327), (-28, 352, -16)]
[(-13287, -1654, -10327), (-28, 352, -16)]
[(-13287, -1654, -10327), (-28, 352, -16)]
[(-13287, -1654, -10327), (-28, 352, -16)]
[(-13304, -1662, -10287), (-103, 371, -13)]
[(-13304, -1662, -10287), (-103, 371, -13)]
[(-13304, -1662, -10287), (-103, 371, -13)]
[(-13304, -1662, -10287), (-103, 371, -13)]
[(-13304, -1662, -10287), (-103, 371, -13)]
[(-13304, -1662, -10287), (-103, 371, -13)]
[(-13304, -1662, -10287), (-103, 371, -13)]
[(-13320, -1658, -10271), (-3, 457, 18)]
[(-13320, -1658, -10271), (-3, 457, 18)]
[(-13320, -1658, -10271), (-3, 457, 18)]
[(-13320, -1658, -10271), (-3, 457, 18)]
[(-13320, -1658, -10271), (-3, 457, 18)]
[(-13321, -1613, -10327), (-51, 481, 26)]
[(-13321, -1613, -10327), (-51, 481, 26)]
[(-13321, -1613, -10327), (-51, 481, 26)]
[(-13321, -1613, -10327), (-51, 481, 26)]
[(-13321, -1613, -10327), (-51, 481, 26)]
[(-13321, -1613, -10327), (-51, 481, 26)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13295, -1622, -10360), (3, 443, 70)]
[(-13264, -1624, -10380), (-2, 376, 13)]
[(-13264, -1624, -10380), (-2, 376, 13)]
