[(-13246, -1796, -10343), (-168, 434, 11)]
[(-13260, -1796, -10329), (126, 408, 17)]
[(-13260, -1796, -10329), (126, 408, 17)]
[(-13234, -1780, -10362), (-7, 395, -27)]
[(-13234, -1780, -10362), (-7, 395, -27)]
[(-13234, -1780, -10362), (-7, 395, -27)]
[(-13234, -1780, -10362), (-7, 395, -27)]
[(-13234, -1780, -10362), (-7, 395, -27)]
[(-13234, -1780, -10362), (-7, 395, -27)]
[(-13234, -1780, -10362), (-7, 395, -27)]
[(-13244, -1756, -10394), (-797, 677, -63)]
[(-13244, -1756, -10394), (-797, 677, -63)]
[(-13244, -1756, -10394), (-797, 677, -63)]
[(-13244, -1756, -10394), (-797, 677, -63)]
[(-13244, -1756, -10394), (-797, 677, -63)]
[(-13244, -1756, -10394), (-797, 677, -63)]
[(-13211, -1720, -10418), (-715, 590, -50)]
[(-13211, -1720, -10418), (-715, 590, -50)]
[(-13211, -1720, -10418), (-715, 590, -50)]
[(-13211, -1720, -10418), (-715, 590, -50)]
[(-13211, -1720, -10418), (-715, 590, -50)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13192, -1688, -10416), (-595, 561, -44)]
[(-13196, -1660, -10431), (-388, 554, -18)]
[(-13196, -1660, -10431), (-388, 554, -18)]
[(-13196, -1660, -10431), (-388, 554, -18)]
[(-13196, -1660, -10431), (-388, 554, -18)]
[(-13196, -1642, -10390), (86, 459, 30)]
[(-13196, -1642, -10390), (86, 459, 30)]
[(-13196, -1642, -10390), (86, 459, 30)]
[(-13196, -1642, -10390), (86, 459, 30)]
[(-13196, -1642, -10390), (86, 459, 30)]
[(-13194, -1681, -10350), (15, 423, 23)]
[(-13194, -1681, -10350), (15, 423, 23)]
[(-13194, -1681, -10350), (15, 423, 23)]
[(-13194, -1681, -10350), (15, 423, 23)]
[(-13194, -1681, -10350), (15, 423, 23)]
[(-13194, -1681, -10350), (15, 423, 23)]
[(-13194, -1681, -10350), (15, 423, 23)]
[(-13228, -1703, -10323), (-39, 395, 53)]
[(-13228, -1703, -10323), (-39, 395, 53)]
[(-13228, -1703, -10323), (-39, 395, 53)]
[(-13228, -1703, -10323), (-39, 395, 53)]
[(-13228, -1703, -10323), (-39, 395, 53)]
[(-13228, -1703, -10323), (-39, 395, 53)]
[(-13233, -1703, -10323), (-7, 347, 76)]
[(-13233, -1703, -10323), (-7, 347, 76)]
[(-13233, -1703, -10323), (-7, 347, 76)]
[(-13233, -1703, -10323), (-7, 347, 76)]
[(-13233, -1703, -10323), (-7, 347, 76)]
[(-13258, -1764, -10316), (95, 318, 52)]
[(-13258, -1764, -10316), (95, 318, 52)]
[(-13258, -1764, -10316), (95, 318, 52)]
[(-13258, -1764, -10316), (95, 318, 52)]
[(-13258, -1764, -10316), (95, 318, 52)]
[(-13258, -1764, -10316), (95, 318, 52)]
[(-13258, -1764, -10316), (95, 318, 52)]
[(-13256, -1757, -10307), (-10, 336, 52)]
[(-13256, -1757, -10307), (-10, 336, 52)]
[(-13256, -1757, -10307), (-10, 336, 52)]
[(-13256, -1757, -10307), (-10, 336, 52)]
[(-13256, -1757, -10307), (-10, 336, 52)]
[(-13256, -1757, -10307), (-10, 336, 52)]
[(-13269, -1776, -10265), (15, 353, 43)]
[(-13269, -1776, -10265), (15, 353, 43)]
[(-13269, -1776, -10265), (15, 353, 43)]
[(-13269, -1776, -10265), (15, 353, 43)]
[(-13269, -1776, -10265), (15, 353, 43)]
[(-13308, -1777, -10263), (-20, 348, 0)]
[(-13308, -1777, -10263), (-20, 348, 0)]
[(-13308, -1777, -10263), (-20, 348, 0)]
[(-13308, -1777, -10263), (-20, 348, 0)]
[(-13308, -1777, -10263), (-20, 348, 0)]
[(-13308, -1777, -10263), (-20, 348, 0)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13296, -1787, -10252), (-85, 337, -18)]
[(-13311, -1820, -10259), (-77, 375, -11)]
[(-13311, -1820, -10259), (-77, 375, -11)]
[(-13311, -1820, -10259), (-77, 375, -11)]
[(-13311, -1820, -10259), (-77, 375, -11)]
[(-13311, -1820, -10259), (-77, 375, -11)]
[(-13308, -1808, -10260), (-71, 403, 0)]
[(-13308, -1808, -10260), (-71, 403, 0)]
[(-13308, -1808, -10260), (-71, 403, 0)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
[(-13323, -1785, -10265), (-123, 406, 7)]
