[(-13109, -2313, -10455), (-55, 388, -34)]
[(-13086, -2327, -10484), (13, 439, -25)]
[(-13086, -2327, -10484), (13, 439, -25)]
[(-13083, -2342, -10473), (177, 515, -23)]
[(-13083, -2342, -10473), (177, 515, -23)]
[(-13083, -2342, -10473), (177, 515, -23)]
[(-13083, -2342, -10473), (177, 515, -23)]
[(-13083, -2342, -10473), (177, 515, -23)]
[(-13104, -2406, -10463), (374, 421, -3)]
[(-13104, -2406, -10463), (374, 421, -3)]
[(-13104, -2406, -10463), (374, 421, -3)]
[(-13104, -2406, -10463), (374, 421, -3)]
[(-13104, -2406, -10463), (374, 421, -3)]
[(-13104, -2406, -10463), (374, 421, -3)]
[(-13104, -2406, -10463), (374, 421, -3)]
[(-13176, -2479, -10409), (806, 258, 92)]
[(-13176, -2479, -10409), (806, 258, 92)]
[(-13176, -2479, -10409), (806, 258, 92)]
[(-13176, -2479, -10409), (806, 258, 92)]
[(-13176, -2479, -10409), (806, 258, 92)]
[(-13176, -2479, -10409), (806, 258, 92)]
[(-13125, -2512, -10422), (406, 239, -49)]
[(-13125, -2512, -10422), (406, 239, -49)]
[(-13125, -2512, -10422), (406, 239, -49)]
[(-13125, -2512, -10422), (406, 239, -49)]
[(-13125, -2512, -10422), (406, 239, -49)]
[(-13107, -2494, -10399), (291, 260, -41)]
[(-13107, -2494, -10399), (291, 260, -41)]
[(-13107, -2494, -10399), (291, 260, -41)]
[(-13107, -2494, -10399), (291, 260, -41)]
[(-13107, -2494, -10399), (291, 260, -41)]
[(-13107, -2494, -10399), (291, 260, -41)]
[(-13099, -2497, -10412), (244, 331, -40)]
[(-13099, -2497, -10412), (244, 331, -40)]
[(-13099, -2497, -10412), (244, 331, -40)]
[(-13099, -2497, -10412), (244, 331, -40)]
[(-13099, -2497, -10412), (244, 331, -40)]
[(-13099, -2497, -10412), (244, 331, -40)]
[(-13099, -2497, -10412), (244, 331, -40)]
[(-13090, -2500, -10414), (289, 253, -33)]
[(-13090, -2500, -10414), (289, 253, -33)]
[(-13090, -2500, -10414), (289, 253, -33)]
[(-13090, -2500, -10414), (289, 253, -33)]
[(-13090, -2500, -10414), (289, 253, -33)]
[(-13110, -2508, -10474), (60, 257, -64)]
[(-13110, -2508, -10474), (60, 257, -64)]
[(-13110, -2508, -10474), (60, 257, -64)]
[(-13110, -2508, -10474), (60, 257, -64)]
[(-13110, -2508, -10474), (60, 257, -64)]
[(-13110, -2508, -10474), (60, 257, -64)]
[(-13116, -2506, -10434), (-56, 264, -93)]
[(-13116, -2506, -10434), (-56, 264, -93)]
[(-13116, -2506, -10434), (-56, 264, -93)]
[(-13116, -2506, -10434), (-56, 264, -93)]
[(-13116, -2506, -10434), (-56, 264, -93)]
[(-13116, -2506, -10434), (-56, 264, -93)]
[(-13116, -2506, -10434), (-56, 264, -93)]
[(-13122, -2471, -10454), (-80, 298, -73)]
[(-13122, -2471, -10454), (-80, 298, -73)]
[(-13122, -2471, -10454), (-80, 298, -73)]
[(-13122, -2471, -10454), (-80, 298, -73)]
[(-13122, -2471, -10454), (-80, 298, -73)]
[(-13132, -2472, -10448), (-60, 290, -56)]
[(-13132, -2472, -10448), (-60, 290, -56)]
[(-13132, -2472, -10448), (-60, 290, -56)]
[(-13132, -2472, -10448), (-60, 290, -56)]
[(-13132, -2472, -10448), (-60, 290, -56)]
[(-13132, -2472, -10448), (-60, 290, -56)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13125, -2479, -10443), (-153, 297, -87)]
[(-13136, -2454, -10421), (-154, 269, -43)]
[(-13136, -2454, -10421), (-154, 269, -43)]
[(-13136, -2454, -10421), (-154, 269, -43)]
[(-13137, -2437, -10426), (-174, 228, -47)]
[(-13137, -2437, -10426), (-174, 228, -47)]
[(-13137, -2437, -10426), (-174, 228, -47)]
[(-13137, -2437, -10426), (-174, 228, -47)]
[(-13137, -2437, -10426), (-174, 228, -47)]
[(-13137, -2437, -10426), (-174, 228, -47)]
[(-13134, -2448, -10408), (-205, 204, -66)]
[(-13134, -2448, -10408), (-205, 204, -66)]
[(-13134, -2448, -10408), (-205, 204, -66)]
[(-13134, -2448, -10408), (-205, 204, -66)]
[(-13134, -2448, -10408), (-205, 204, -66)]
[(-13134, -2448, -10408), (-205, 204, -66)]
[(-13134, -2448, -10408), (-205, 204, -66)]
[(-13164, -2442, -10407), (-208, 233, -70)]
[(-13164, -2442, -10407), (-208, 233, -70)]
[(-13164, -2442, -10407), (-208, 233, -70)]
[(-13164, -2442, -10407), (-208, 233, -70)]
[(-13164, -2442, -10407), (-208, 233, -70)]
[(-13187, -2469, -10456), (-171, 287, -57)]
[(-13187, -2469, -10456), (-171, 287, -57)]
[(-13187, -2469, -10456), (-171, 287, -57)]
[(-13187, -2469, -10456), (-171, 287, -57)]
[(-13187, -2469, -10456), (-171, 287, -57)]
[(-13187, -2469, -10456), (-171, 287, -57)]
