[(-13095, -2477, -10511), (-90, 429, 7)]
[(-13104, -2480, -10502), (-95, 428, 9)]
[(-13104, -2480, -10502), (-95, 428, 9)]
[(-13104, -2480, -10502), (-95, 428, 9)]
[(-13104, -2480, -10502), (-95, 428, 9)]
[(-13104, -2480, -10502), (-95, 428, 9)]
[(-13104, -2480, -10502), (-95, 428, 9)]
[(-13104, -2484, -10488), (-68, 412, -4)]
[(-13104, -2484, -10488), (-68, 412, -4)]
[(-13104, -2484, -10488), (-68, 412, -4)]
[(-13104, -2484, -10488), (-68, 412, -4)]
[(-13104, -2484, -10488), (-68, 412, -4)]
[(-13104, -2484, -10488), (-68, 412, -4)]
[(-13104, -2484, -10488), (-68, 412, -4)]
[(-13112, -2501, -10444), (108, 413, 41)]
[(-13112, -2501, -10444), (108, 413, 41)]
[(-13112, -2501, -10444), (108, 413, 41)]
[(-13112, -2501, -10444), (108, 413, 41)]
[(-13112, -2501, -10444), (108, 413, 41)]
[(-13029, -2556, -10529), (73, 378, 37)]
[(-13029, -2556, -10529), (73, 378, 37)]
[(-13029, -2556, -10529), (73, 378, 37)]
[(-13029, -2556, -10529), (73, 378, 37)]
[(-13029, -2556, -10529), (73, 378, 37)]
[(-13029, -2556, -10529), (73, 378, 37)]
[(-13004, -2544, -10504), (34, 381, 15)]
[(-13004, -2544, -10504), (34, 381, 15)]
[(-13004, -2544, -10504), (34, 381, 15)]
[(-13004, -2544, -10504), (34, 381, 15)]
[(-13004, -2544, -10504), (34, 381, 15)]
[(-13004, -2544, -10504), (34, 381, 15)]
[(-13004, -2544, -10504), (34, 381, 15)]
[(-12996, -2535, -10552), (22, 415, -2)]
[(-12996, -2535, -10552), (22, 415, -2)]
[(-12996, -2535, -10552), (22, 415, -2)]
[(-12996, -2535, -10552), (22, 415, -2)]
[(-12996, -2535, -10552), (22, 415, -2)]
[(-13026, -2534, -10540), (291, 444, 22)]
[(-13026, -2534, -10540), (291, 444, 22)]
[(-13026, -2534, -10540), (291, 444, 22)]
[(-13026, -2534, -10540), (291, 444, 22)]
[(-13026, -2534, -10540), (291, 444, 22)]
[(-13026, -2534, -10540), (291, 444, 22)]
[(-13012, -2548, -10566), (93, 435, -5)]
[(-13012, -2548, -10566), (93, 435, -5)]
[(-13012, -2548, -10566), (93, 435, -5)]
[(-13012, -2548, -10566), (93, 435, -5)]
[(-13012, -2548, -10566), (93, 435, -5)]
[(-13012, -2548, -10566), (93, 435, -5)]
[(-13012, -2548, -10566), (93, 435, -5)]
[(-13020, -2544, -10525), (-53, 400, -21)]
[(-13020, -2544, -10525), (-53, 400, -21)]
[(-13020, -2544, -10525), (-53, 400, -21)]
[(-13020, -2544, -10525), (-53, 400, -21)]
[(-13020, -2544, -10525), (-53, 400, -21)]
[(-13024, -2565, -10516), (-24, 438, 12)]
[(-13024, -2565, -10516), (-24, 438, 12)]
[(-13024, -2565, -10516), (-24, 438, 12)]
[(-13024, -2565, -10516), (-24, 438, 12)]
[(-13024, -2565, -10516), (-24, 438, 12)]
[(-13024, -2565, -10516), (-24, 438, 12)]
[(-13050, -2539, -10544), (-22, 408, 16)]
[(-13050, -2539, -10544), (-22, 408, 16)]
[(-13050, -2539, -10544), (-22, 408, 16)]
[(-13050, -2539, -10544), (-22, 408, 16)]
[(-13050, -2539, -10544), (-22, 408, 16)]
[(-13050, -2539, -10544), (-22, 408, 16)]
[(-13050, -2539, -10544), (-22, 408, 16)]
[(-13047, -2582, -10550), (-96, 366, -21)]
[(-13047, -2582, -10550), (-96, 366, -21)]
[(-13047, -2582, -10550), (-96, 366, -21)]
[(-13047, -2582, -10550), (-96, 366, -21)]
[(-13047, -2582, -10550), (-96, 366, -21)]
[(-13035, -2566, -10526), (-44, 390, 3)]
[(-13035, -2566, -10526), (-44, 390, 3)]
[(-13035, -2566, -10526), (-44, 390, 3)]
[(-13035, -2566, -10526), (-44, 390, 3)]
[(-13035, -2566, -10526), (-44, 390, 3)]
[(-13035, -2566, -10526), (-44, 390, 3)]
[(-13084, -2540, -10517), (-90, 337, -20)]
[(-13084, -2540, -10517), (-90, 337, -20)]
[(-13084, -2540, -10517), (-90, 337, -20)]
[(-13084, -2540, -10517), (-90, 337, -20)]
[(-13084, -2540, -10517), (-90, 337, -20)]
[(-13084, -2540, -10517), (-90, 337, -20)]
[(-13084, -2540, -10517), (-90, 337, -20)]
[(-13042, -2558, -10501), (-131, 309, -25)]
[(-13042, -2558, -10501), (-131, 309, -25)]
[(-13042, -2558, -10501), (-131, 309, -25)]
[(-13042, -2558, -10501), (-131, 309, -25)]
[(-13042, -2558, -10501), (-131, 309, -25)]
[(-13042, -2558, -10501), (-131, 309, -25)]
[(-13051, -2557, -10504), (-126, 336, -2)]
[(-13051, -2557, -10504), (-126, 336, -2)]
[(-13051, -2557, -10504), (-126, 336, -2)]
[(-13051, -2557, -10504), (-126, 336, -2)]
[(-13061, -2560, -10512), (-146, 361, -7)]
[(-13061, -2560, -10512), (-146, 361, -7)]
[(-13061, -2560, -10512), (-146, 361, -7)]
[(-13061, -2560, -10512), (-146, 361, -7)]
[(-13061, -2560, -10512), (-146, 361, -7)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13052, -2528, -10515), (-144, 375, 10)]
[(-13032, -2511, -10532), (-121, 438, 3)]
[(-13032, -2511, -10532), (-121, 438, 3)]
[(-13032, -2511, -10532), (-121, 438, 3)]
[(-13032, -2511, -10532), (-121, 438, 3)]
[(-13032, -2511, -10532), (-121, 438, 3)]
[(-13044, -2508, -10532), (-151, 375, 4)]
[(-13044, -2508, -10532), (-151, 375, 4)]
[(-13044, -2508, -10532), (-151, 375, 4)]
[(-13044, -2508, -10532), (-151, 375, 4)]
[(-13044, -2508, -10532), (-151, 375, 4)]
