[(-13084, -2119, -10565), (5, 380, -30)]
[(-13093, -2111, -10556), (-47, 434, -61)]
[(-13093, -2111, -10556), (-47, 434, -61)]
[(-13093, -2111, -10556), (-47, 434, -61)]
[(-13093, -2111, -10556), (-47, 434, -61)]
[(-13092, -2188, -10508), (292, 434, 6)]
[(-13092, -2188, -10508), (292, 434, 6)]
[(-13092, -2188, -10508), (292, 434, 6)]
[(-13092, -2188, -10508), (292, 434, 6)]
[(-13092, -2188, -10508), (292, 434, 6)]
[(-13083, -2193, -10489), (454, 383, 40)]
[(-13083, -2193, -10489), (454, 383, 40)]
[(-13083, -2193, -10489), (454, 383, 40)]
[(-13083, -2193, -10489), (454, 383, 40)]
[(-13083, -2193, -10489), (454, 383, 40)]
[(-13083, -2193, -10489), (454, 383, 40)]
[(-13094, -2258, -10477), (476, 383, 63)]
[(-13094, -2258, -10477), (476, 383, 63)]
[(-13094, -2258, -10477), (476, 383, 63)]
[(-13094, -2258, -10477), (476, 383, 63)]
[(-13094, -2258, -10477), (476, 383, 63)]
[(-13094, -2258, -10477), (476, 383, 63)]
[(-13094, -2258, -10477), (476, 383, 63)]
[(-13092, -2291, -10528), (319, 509, 113)]
[(-13092, -2291, -10528), (319, 509, 113)]
[(-13092, -2291, -10528), (319, 509, 113)]
[(-13092, -2291, -10528), (319, 509, 113)]
[(-13092, -2291, -10528), (319, 509, 113)]
[(-13103, -2296, -10540), (122, 462, -10)]
[(-13103, -2296, -10540), (122, 462, -10)]
[(-13103, -2296, -10540), (122, 462, -10)]
[(-13103, -2296, -10540), (122, 462, -10)]
[(-13103, -2296, -10540), (122, 462, -10)]
[(-13103, -2296, -10540), (122, 462, -10)]
[(-13072, -2278, -10528), (9, 385, -16)]
[(-13072, -2278, -10528), (9, 385, -16)]
[(-13072, -2278, -10528), (9, 385, -16)]
[(-13072, -2278, -10528), (9, 385, -16)]
[(-13072, -2278, -10528), (9, 385, -16)]
[(-13072, -2278, -10528), (9, 385, -16)]
[(-13072, -2278, -10528), (9, 385, -16)]
[(-13065, -2280, -10521), (24, 371, 0)]
[(-13065, -2280, -10521), (24, 371, 0)]
[(-13065, -2280, -10521), (24, 371, 0)]
[(-13065, -2280, -10521), (24, 371, 0)]
[(-13065, -2280, -10521), (24, 371, 0)]
[(-13107, -2308, -10468), (226, 194, 13)]
[(-13107, -2308, -10468), (226, 194, 13)]
[(-13107, -2308, -10468), (226, 194, 13)]
[(-13107, -2308, -10468), (226, 194, 13)]
[(-13107, -2308, -10468), (226, 194, 13)]
[(-13107, -2308, -10468), (226, 194, 13)]
[(-13113, -2297, -10453), (-66, 227, -22)]
[(-13113, -2297, -10453), (-66, 227, -22)]
[(-13113, -2297, -10453), (-66, 227, -22)]
[(-13113, -2297, -10453), (-66, 227, -22)]
[(-13113, -2297, -10453), (-66, 227, -22)]
[(-13113, -2297, -10453), (-66, 227, -22)]
[(-13113, -2297, -10453), (-66, 227, -22)]
[(-13136, -2347, -10432), (-113, 285, -37)]
[(-13136, -2347, -10432), (-113, 285, -37)]
[(-13136, -2347, -10432), (-113, 285, -37)]
[(-13136, -2347, -10432), (-113, 285, -37)]
[(-13136, -2347, -10432), (-113, 285, -37)]
[(-13153, -2371, -10412), (-78, 331, -3)]
[(-13153, -2371, -10412), (-78, 331, -3)]
[(-13153, -2371, -10412), (-78, 331, -3)]
[(-13153, -2371, -10412), (-78, 331, -3)]
[(-13153, -2371, -10412), (-78, 331, -3)]
[(-13153, -2371, -10412), (-78, 331, -3)]
[(-13168, -2312, -10413), (-187, 273, -13)]
[(-13168, -2312, -10413), (-187, 273, -13)]
[(-13168, -2312, -10413), (-187, 273, -13)]
[(-13168, -2312, -10413), (-187, 273, -13)]
[(-13168, -2312, -10413), (-187, 273, -13)]
[(-13168, -2312, -10413), (-187, 273, -13)]
[(-13168, -2312, -10413), (-187, 273, -13)]
[(-13172, -2341, -10419), (-202, 266, -10)]
[(-13172, -2341, -10419), (-202, 266, -10)]
[(-13172, -2341, -10419), (-202, 266, -10)]
[(-13172, -2341, -10419), (-202, 266, -10)]
[(-13172, -2341, -10419), (-202, 266, -10)]
[(-13172, -2341, -10419), (-202, 266, -10)]
[(-13172, -2341, -10419), (-202, 266, -10)]
[(-13192, -2316, -10423), (-184, 315, -19)]
[(-13192, -2316, -10423), (-184, 315, -19)]
[(-13192, -2316, -10423), (-184, 315, -19)]
[(-13192, -2316, -10423), (-184, 315, -19)]
[(-13193, -2318, -10417), (-199, 289, -21)]
[(-13193, -2318, -10417), (-199, 289, -21)]
[(-13193, -2318, -10417), (-199, 289, -21)]
[(-13193, -2318, -10417), (-199, 289, -21)]
[(-13193, -2318, -10417), (-199, 289, -21)]
[(-13193, -2318, -10417), (-199, 289, -21)]
[(-13193, -2318, -10417), (-199, 289, -21)]
[(-13216, -2305, -10364), (-247, 306, -45)]
[(-13216, -2305, -10364), (-247, 306, -45)]
[(-13216, -2305, -10364), (-247, 306, -45)]
[(-13216, -2305, -10364), (-247, 306, -45)]
[(-13216, -2305, -10364), (-247, 306, -45)]
[(-13185, -2302, -10349), (-205, 391, -37)]
[(-13185, -2302, -10349), (-205, 391, -37)]
[(-13185, -2302, -10349), (-205, 391, -37)]
[(-13185, -2302, -10349), (-205, 391, -37)]
