[(-14689, 1164, -7860), (-93, 355, 18)]
[(-14697, 1158, -7856), (-100, 350, 4)]
[(-14697, 1158, -7856), (-100, 350, 4)]
[(-14674, 1167, -7869), (-91, 355, 2)]
[(-14674, 1167, -7869), (-91, 355, 2)]
[(-14674, 1167, -7869), (-91, 355, 2)]
[(-14674, 1167, -7869), (-91, 355, 2)]
[(-14674, 1167, -7869), (-91, 355, 2)]
[(-14674, 1167, -7869), (-91, 355, 2)]
[(-14674, 1167, -7869), (-91, 355, 2)]
[(-14676, 1157, -7880), (-89, 359, 3)]
[(-14676, 1157, -7880), (-89, 359, 3)]
[(-14676, 1157, -7880), (-89, 359, 3)]
[(-14676, 1157, -7880), (-89, 359, 3)]
[(-14676, 1157, -7880), (-89, 359, 3)]
[(-14676, 1157, -7880), (-89, 359, 3)]
[(-14660, 1159, -7896), (-82, 363, -7)]
[(-14660, 1159, -7896), (-82, 363, -7)]
[(-14660, 1159, -7896), (-82, 363, -7)]
[(-14660, 1159, -7896), (-82, 363, -7)]
[(-14660, 1159, -7896), (-82, 363, -7)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14656, 1150, -7874), (-83, 362, -19)]
[(-14659, 1131, -7840), (17, 292, 3)]
[(-14659, 1131, -7840), (17, 292, 3)]
[(-14659, 1131, -7840), (17, 292, 3)]
[(-14659, 1131, -7840), (17, 292, 3)]
[(-14694, 1129, -7862), (110, 246, 14)]
[(-14694, 1129, -7862), (110, 246, 14)]
[(-14694, 1129, -7862), (110, 246, 14)]
[(-14694, 1129, -7862), (110, 246, 14)]
[(-14694, 1129, -7862), (110, 246, 14)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14900, 1006, -7862), (272, 323, 708)]
[(-14844, 1167, -7923), (-92, 797, 1156)]
[(-14844, 1167, -7923), (-92, 797, 1156)]
[(-14844, 1167, -7923), (-92, 797, 1156)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14703, 1456, -7960), (-444, 749, 1091)]
[(-14615, 1735, -8000), (-393, 674, 811)]
[(-14615, 1735, -8000), (-393, 674, 811)]
[(-14615, 1735, -8000), (-393, 674, 811)]
[(-14615, 1735, -8000), (-393, 674, 811)]
[(-14615, 1735, -8000), (-393, 674, 811)]
[(-14565, 1972, -8054), (-246, 612, 625)]
[(-14565, 1972, -8054), (-246, 612, 625)]
[(-14565, 1972, -8054), (-246, 612, 625)]
[(-14565, 1972, -8054), (-246, 612, 625)]
[(-14565, 1972, -8054), (-246, 612, 625)]
[(-14565, 1972, -8054), (-246, 612, 625)]
[(-14453, 2108, -8132), (-67, 606, 447)]
[(-14453, 2108, -8132), (-67, 606, 447)]
[(-14453, 2108, -8132), (-67, 606, 447)]
[(-14453, 2108, -8132), (-67, 606, 447)]
[(-14453, 2108, -8132), (-67, 606, 447)]
[(-14420, 2170, -8132), (4, 511, 139)]
[(-14420, 2170, -8132), (4, 511, 139)]
