[(-14659, 1251, -7980), (-118, 347, -32)]
[(-14639, 1264, -7961), (-122, 335, -45)]
[(-14639, 1264, -7961), (-122, 335, -45)]
[(-14639, 1264, -7961), (-122, 335, -45)]
[(-14639, 1264, -7961), (-122, 335, -45)]
[(-14662, 1256, -7932), (-96, 347, -43)]
[(-14662, 1256, -7932), (-96, 347, -43)]
[(-14662, 1256, -7932), (-96, 347, -43)]
[(-14662, 1256, -7932), (-96, 347, -43)]
[(-14662, 1256, -7932), (-96, 347, -43)]
[(-14656, 1269, -7905), (-92, 354, -55)]
[(-14656, 1269, -7905), (-92, 354, -55)]
[(-14656, 1269, -7905), (-92, 354, -55)]
[(-14656, 1269, -7905), (-92, 354, -55)]
[(-14656, 1269, -7905), (-92, 354, -55)]
[(-14656, 1269, -7905), (-92, 354, -55)]
[(-14650, 1244, -7917), (-72, 333, -48)]
[(-14650, 1244, -7917), (-72, 333, -48)]
[(-14650, 1244, -7917), (-72, 333, -48)]
[(-14650, 1244, -7917), (-72, 333, -48)]
[(-14650, 1244, -7917), (-72, 333, -48)]
[(-14650, 1244, -7917), (-72, 333, -48)]
[(-14650, 1244, -7917), (-72, 333, -48)]
[(-14628, 1245, -7898), (-16, 297, -36)]
[(-14628, 1245, -7898), (-16, 297, -36)]
[(-14628, 1245, -7898), (-16, 297, -36)]
[(-14628, 1245, -7898), (-16, 297, -36)]
[(-14628, 1245, -7898), (-16, 297, -36)]
[(-14628, 1245, -7898), (-16, 297, -36)]
[(-14648, 1233, -7879), (115, 192, -63)]
[(-14648, 1233, -7879), (115, 192, -63)]
[(-14648, 1233, -7879), (115, 192, -63)]
[(-14648, 1233, -7879), (115, 192, -63)]
[(-14648, 1233, -7879), (115, 192, -63)]
[(-14672, 1226, -7820), (243, 361, 202)]
[(-14672, 1226, -7820), (243, 361, 202)]
[(-14672, 1226, -7820), (243, 361, 202)]
[(-14672, 1226, -7820), (243, 361, 202)]
[(-14672, 1226, -7820), (243, 361, 202)]
[(-14672, 1226, -7820), (243, 361, 202)]
[(-14672, 1226, -7820), (243, 361, 202)]
[(-14612, 1340, -7818), (315, 394, 79)]
[(-14612, 1340, -7818), (315, 394, 79)]
[(-14612, 1340, -7818), (315, 394, 79)]
[(-14612, 1340, -7818), (315, 394, 79)]
[(-14612, 1340, -7818), (315, 394, 79)]
[(-14612, 1340, -7818), (315, 394, 79)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14644, 1224, -7876), (77, 458, -180)]
[(-14639, 1164, -7861), (88, 398, -213)]
[(-14639, 1164, -7861), (88, 398, -213)]
[(-14639, 1164, -7861), (88, 398, -213)]
[(-14656, 1096, -7876), (6, 443, -255)]
[(-14656, 1096, -7876), (6, 443, -255)]
[(-14656, 1096, -7876), (6, 443, -255)]
[(-14656, 1096, -7876), (6, 443, -255)]
[(-14656, 1096, -7876), (6, 443, -255)]
[(-14656, 1096, -7876), (6, 443, -255)]
[(-14678, 1049, -7869), (-9, 432, -209)]
[(-14678, 1049, -7869), (-9, 432, -209)]
[(-14678, 1049, -7869), (-9, 432, -209)]
[(-14678, 1049, -7869), (-9, 432, -209)]
[(-14678, 1049, -7869), (-9, 432, -209)]
[(-14646, 1068, -7877), (-33, 353, -149)]
[(-14646, 1068, -7877), (-33, 353, -149)]
[(-14646, 1068, -7877), (-33, 353, -149)]
[(-14646, 1068, -7877), (-33, 353, -149)]
[(-14646, 1068, -7877), (-33, 353, -149)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14663, 1035, -7900), (-91, 346, -88)]
[(-14647, 1044, -7940), (-87, 403, 84)]
[(-14647, 1044, -7940), (-87, 403, 84)]
[(-14647, 1044, -7940), (-87, 403, 84)]
[(-14647, 1044, -7940), (-87, 403, 84)]
[(-14647, 1044, -7940), (-87, 403, 84)]
[(-14690, 1067, -7980), (45, -15, 90)]
[(-14690, 1067, -7980), (45, -15, 90)]
[(-14690, 1067, -7980), (45, -15, 90)]
[(-14690, 1067, -7980), (45, -15, 90)]
