[(-14687, 1309, -7797), (-40, 368, -6)]
[(-14685, 1288, -7811), (-40, 365, -16)]
[(-14685, 1288, -7811), (-40, 365, -16)]
[(-14650, 1312, -7821), (-77, 379, -21)]
[(-14650, 1312, -7821), (-77, 379, -21)]
[(-14650, 1312, -7821), (-77, 379, -21)]
[(-14650, 1312, -7821), (-77, 379, -21)]
[(-14650, 1312, -7821), (-77, 379, -21)]
[(-14652, 1308, -7827), (-75, 378, -16)]
[(-14652, 1308, -7827), (-75, 378, -16)]
[(-14652, 1308, -7827), (-75, 378, -16)]
[(-14652, 1308, -7827), (-75, 378, -16)]
[(-14652, 1308, -7827), (-75, 378, -16)]
[(-14652, 1308, -7827), (-75, 378, -16)]
[(-14652, 1308, -7827), (-75, 378, -16)]
[(-14663, 1300, -7820), (-65, 376, -33)]
[(-14663, 1300, -7820), (-65, 376, -33)]
[(-14663, 1300, -7820), (-65, 376, -33)]
[(-14663, 1300, -7820), (-65, 376, -33)]
[(-14663, 1300, -7820), (-65, 376, -33)]
[(-14663, 1300, -7820), (-65, 376, -33)]
[(-14672, 1290, -7848), (-89, 369, -49)]
[(-14672, 1290, -7848), (-89, 369, -49)]
[(-14672, 1290, -7848), (-89, 369, -49)]
[(-14672, 1290, -7848), (-89, 369, -49)]
[(-14672, 1290, -7848), (-89, 369, -49)]
[(-14689, 1260, -7820), (-68, 338, -39)]
[(-14689, 1260, -7820), (-68, 338, -39)]
[(-14689, 1260, -7820), (-68, 338, -39)]
[(-14689, 1260, -7820), (-68, 338, -39)]
[(-14689, 1260, -7820), (-68, 338, -39)]
[(-14689, 1260, -7820), (-68, 338, -39)]
[(-14689, 1260, -7820), (-68, 338, -39)]
[(-14669, 1271, -7808), (66, 274, -41)]
[(-14669, 1271, -7808), (66, 274, -41)]
[(-14669, 1271, -7808), (66, 274, -41)]
[(-14669, 1271, -7808), (66, 274, -41)]
[(-14669, 1271, -7808), (66, 274, -41)]
[(-14669, 1271, -7808), (66, 274, -41)]
[(-14715, 1234, -7756), (351, 97, -77)]
[(-14715, 1234, -7756), (351, 97, -77)]
[(-14715, 1234, -7756), (351, 97, -77)]
[(-14715, 1234, -7756), (351, 97, -77)]
[(-14715, 1234, -7756), (351, 97, -77)]
[(-14715, 1234, -7756), (351, 97, -77)]
[(-14715, 1234, -7756), (351, 97, -77)]
[(-14743, 1289, -7699), (210, 142, 88)]
[(-14743, 1289, -7699), (210, 142, 88)]
[(-14743, 1289, -7699), (210, 142, 88)]
[(-14743, 1289, -7699), (210, 142, 88)]
[(-14743, 1289, -7699), (210, 142, 88)]
[(-14716, 1253, -7646), (225, 378, 283)]
[(-14716, 1253, -7646), (225, 378, 283)]
[(-14716, 1253, -7646), (225, 378, 283)]
[(-14716, 1253, -7646), (225, 378, 283)]
[(-14716, 1253, -7646), (225, 378, 283)]
[(-14716, 1253, -7646), (225, 378, 283)]
[(-14671, 1335, -7722), (146, 483, 357)]
[(-14671, 1335, -7722), (146, 483, 357)]
[(-14671, 1335, -7722), (146, 483, 357)]
[(-14671, 1335, -7722), (146, 483, 357)]
[(-14671, 1335, -7722), (146, 483, 357)]
[(-14636, 1396, -7786), (151, 401, 297)]
[(-14636, 1396, -7786), (151, 401, 297)]
[(-14636, 1396, -7786), (151, 401, 297)]
[(-14636, 1396, -7786), (151, 401, 297)]
[(-14636, 1396, -7786), (151, 401, 297)]
[(-14636, 1396, -7786), (151, 401, 297)]
[(-14636, 1396, -7786), (151, 401, 297)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14592, 1514, -7812), (53, 325, 251)]
[(-14560, 1612, -7837), (-1, 320, 147)]
[(-14560, 1612, -7837), (-1, 320, 147)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14579, 1606, -7841), (15, 293, 32)]
[(-14599, 1514, -7924), (-4, 32, -233)]
[(-14599, 1514, -7924), (-4, 32, -233)]
[(-14599, 1514, -7924), (-4, 32, -233)]
[(-14599, 1514, -7924), (-4, 32, -233)]
[(-14639, 1461, -7873), (-45, 97, -277)]
[(-14639, 1461, -7873), (-45, 97, -277)]
[(-14639, 1461, -7873), (-45, 97, -277)]
[(-14639, 1461, -7873), (-45, 97, -277)]
[(-14639, 1461, -7873), (-45, 97, -277)]
[(-14662, 1374, -7857), (20, 227, -241)]
[(-14662, 1374, -7857), (20, 227, -241)]
[(-14662, 1374, -7857), (20, 227, -241)]
[(-14662, 1374, -7857), (20, 227, -241)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
[(-14694, 1340, -7833), (-46, 294, -210)]
