[(-6480, 14250, -4944), (20, 30, 17)]
[(-6428, 14298, -4977), (8, 28, 26)]
[(-6428, 14298, -4977), (8, 28, 26)]
[(-6428, 14298, -4977), (8, 28, 26)]
[(-6399, 14385, -4963), (7, 26, 26)]
[(-6399, 14385, -4963), (7, 26, 26)]
[(-6399, 14385, -4963), (7, 26, 26)]
[(-6399, 14385, -4963), (7, 26, 26)]
[(-6399, 14385, -4963), (7, 26, 26)]
[(-6399, 14385, -4963), (7, 26, 26)]
[(-6369, 14448, -4962), (10, 33, 30)]
[(-6369, 14448, -4962), (10, 33, 30)]
[(-6369, 14448, -4962), (10, 33, 30)]
[(-6369, 14448, -4962), (10, 33, 30)]
[(-6369, 14448, -4962), (10, 33, 30)]
[(-6369, 14448, -4962), (10, 33, 30)]
[(-6369, 14448, -4962), (10, 33, 30)]
[(-6317, 14480, -5035), (18, 34, 26)]
[(-6317, 14480, -5035), (18, 34, 26)]
[(-6317, 14480, -5035), (18, 34, 26)]
[(-6317, 14480, -5035), (18, 34, 26)]
[(-6317, 14480, -5035), (18, 34, 26)]
[(-6265, 14489, -5079), (19, 32, 15)]
[(-6265, 14489, -5079), (19, 32, 15)]
[(-6265, 14489, -5079), (19, 32, 15)]
[(-6265, 14489, -5079), (19, 32, 15)]
[(-6265, 14489, -5079), (19, 32, 15)]
[(-6265, 14489, -5079), (19, 32, 15)]
[(-6226, 14502, -5140), (20, 37, 5)]
[(-6226, 14502, -5140), (20, 37, 5)]
[(-6226, 14502, -5140), (20, 37, 5)]
[(-6226, 14502, -5140), (20, 37, 5)]
[(-6226, 14502, -5140), (20, 37, 5)]
[(-6226, 14502, -5140), (20, 37, 5)]
[(-6226, 14502, -5140), (20, 37, 5)]
[(-6216, 14528, -5183), (24, 65, -12)]
[(-6216, 14528, -5183), (24, 65, -12)]
[(-6216, 14528, -5183), (24, 65, -12)]
[(-6216, 14528, -5183), (24, 65, -12)]
[(-6216, 14528, -5183), (24, 65, -12)]
[(-6289, 14516, -5457), (77, 53, 2)]
[(-6289, 14516, -5457), (77, 53, 2)]
[(-6289, 14516, -5457), (77, 53, 2)]
[(-6289, 14516, -5457), (77, 53, 2)]
[(-6289, 14516, -5457), (77, 53, 2)]
[(-6289, 14516, -5457), (77, 53, 2)]
[(-6224, 14499, -5528), (68, 83, 4)]
[(-6224, 14499, -5528), (68, 83, 4)]
[(-6224, 14499, -5528), (68, 83, 4)]
[(-6224, 14499, -5528), (68, 83, 4)]
[(-6224, 14499, -5528), (68, 83, 4)]
[(-6224, 14499, -5528), (68, 83, 4)]
[(-6224, 14499, -5528), (68, 83, 4)]
[(-6235, 14488, -5593), (55, 60, 11)]
[(-6235, 14488, -5593), (55, 60, 11)]
[(-6235, 14488, -5593), (55, 60, 11)]
[(-6235, 14488, -5593), (55, 60, 11)]
[(-6235, 14488, -5593), (55, 60, 11)]
[(-6210, 14480, -5610), (-18, 16, 6)]
