[(-14644, 818, -8037), (-33, 241, 29)]
[(-14662, 803, -8040), (-22, 219, 14)]
[(-14662, 803, -8040), (-22, 219, 14)]
[(-14662, 803, -8040), (-22, 219, 14)]
[(-14662, 803, -8040), (-22, 219, 14)]
[(-14662, 803, -8040), (-22, 219, 14)]
[(-14662, 803, -8040), (-22, 219, 14)]
[(-14658, 816, -8016), (-88, 358, 1)]
[(-14658, 816, -8016), (-88, 358, 1)]
[(-14658, 816, -8016), (-88, 358, 1)]
[(-14658, 816, -8016), (-88, 358, 1)]
[(-14658, 816, -8016), (-88, 358, 1)]
[(-14664, 802, -7986), (-82, 359, -11)]
[(-14664, 802, -7986), (-82, 359, -11)]
[(-14664, 802, -7986), (-82, 359, -11)]
[(-14664, 802, -7986), (-82, 359, -11)]
[(-14664, 802, -7986), (-82, 359, -11)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14640, 803, -7975), (-21, 179, -67)]
[(-14664, 796, -7961), (17, 366, -34)]
[(-14664, 796, -7961), (17, 366, -34)]
[(-14664, 796, -7961), (17, 366, -34)]
[(-14664, 796, -7961), (17, 366, -34)]
[(-14609, 704, -7929), (-4, 520, -138)]
[(-14609, 704, -7929), (-4, 520, -138)]
[(-14609, 704, -7929), (-4, 520, -138)]
[(-14609, 704, -7929), (-4, 520, -138)]
[(-14609, 704, -7929), (-4, 520, -138)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14584, 768, -7992), (92, 557, -108)]
[(-14577, 774, -8067), (159, 526, -105)]
[(-14577, 774, -8067), (159, 526, -105)]
[(-14577, 774, -8067), (159, 526, -105)]
[(-14577, 774, -8067), (159, 526, -105)]
[(-14577, 774, -8067), (159, 526, -105)]
[(-14568, 782, -8122), (136, 507, -136)]
