[(-14758, 972, -7744), (-87, 370, -24)]
[(-14760, 972, -7756), (-91, 372, -21)]
[(-14760, 972, -7756), (-91, 372, -21)]
[(-14760, 972, -7756), (-91, 372, -21)]
[(-14760, 972, -7756), (-91, 372, -21)]
[(-14762, 978, -7708), (-113, 372, -36)]
[(-14762, 978, -7708), (-113, 372, -36)]
[(-14762, 978, -7708), (-113, 372, -36)]
[(-14762, 978, -7708), (-113, 372, -36)]
[(-14762, 978, -7708), (-113, 372, -36)]
[(-14762, 978, -7708), (-113, 372, -36)]
[(-14772, 973, -7698), (-87, 343, -38)]
[(-14772, 973, -7698), (-87, 343, -38)]
[(-14772, 973, -7698), (-87, 343, -38)]
[(-14772, 973, -7698), (-87, 343, -38)]
[(-14772, 973, -7698), (-87, 343, -38)]
[(-14767, 968, -7723), (-114, 342, -33)]
[(-14767, 968, -7723), (-114, 342, -33)]
[(-14767, 968, -7723), (-114, 342, -33)]
[(-14767, 968, -7723), (-114, 342, -33)]
[(-14767, 968, -7723), (-114, 342, -33)]
[(-14767, 968, -7723), (-114, 342, -33)]
[(-14767, 968, -7723), (-114, 342, -33)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14762, 980, -7696), (-92, 327, -20)]
[(-14772, 979, -7676), (-21, 294, -22)]
[(-14772, 979, -7676), (-21, 294, -22)]
[(-14772, 979, -7676), (-21, 294, -22)]
[(-14744, 980, -7677), (28, 352, -59)]
[(-14744, 980, -7677), (28, 352, -59)]
[(-14744, 980, -7677), (28, 352, -59)]
[(-14744, 980, -7677), (28, 352, -59)]
[(-14744, 980, -7677), (28, 352, -59)]
[(-14744, 980, -7677), (28, 352, -59)]
[(-14703, 974, -7737), (-29, 366, -200)]
[(-14703, 974, -7737), (-29, 366, -200)]
[(-14703, 974, -7737), (-29, 366, -200)]
[(-14703, 974, -7737), (-29, 366, -200)]
[(-14703, 974, -7737), (-29, 366, -200)]
[(-14703, 974, -7737), (-29, 366, -200)]
[(-14703, 974, -7737), (-29, 366, -200)]
[(-14697, 946, -7722), (-12, 372, -177)]
