[(-15791, 2050, -3443), (-142, 307, -29)]
[(-15781, 2045, -3406), (-155, 283, -31)]
[(-15781, 2045, -3406), (-155, 283, -31)]
[(-15781, 2045, -3406), (-155, 283, -31)]
[(-15781, 2045, -3406), (-155, 283, -31)]
[(-15781, 2045, -3406), (-155, 283, -31)]
[(-15781, 2052, -3402), (-161, 299, -34)]
[(-15781, 2052, -3402), (-161, 299, -34)]
[(-15781, 2052, -3402), (-161, 299, -34)]
[(-15781, 2052, -3402), (-161, 299, -34)]
[(-15781, 2052, -3402), (-161, 299, -34)]
[(-15776, 2030, -3436), (-146, 304, -45)]
[(-15776, 2030, -3436), (-146, 304, -45)]
[(-15776, 2030, -3436), (-146, 304, -45)]
[(-15776, 2030, -3436), (-146, 304, -45)]
[(-15776, 2030, -3436), (-146, 304, -45)]
[(-15776, 2030, -3436), (-146, 304, -45)]
[(-15776, 2030, -3436), (-146, 304, -45)]
[(-15764, 1997, -3429), (-143, 313, -54)]
[(-15764, 1997, -3429), (-143, 313, -54)]
[(-15764, 1997, -3429), (-143, 313, -54)]
[(-15764, 1997, -3429), (-143, 313, -54)]
[(-15764, 1997, -3429), (-143, 313, -54)]
[(-15764, 1997, -3429), (-143, 313, -54)]
[(-15760, 1992, -3461), (-149, 313, -43)]
[(-15760, 1992, -3461), (-149, 313, -43)]
[(-15760, 1992, -3461), (-149, 313, -43)]
[(-15760, 1992, -3461), (-149, 313, -43)]
[(-15760, 1992, -3461), (-149, 313, -43)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15776, 1987, -3444), (-88, 326, -52)]
[(-15769, 1965, -3449), (-100, 327, -52)]
[(-15769, 1965, -3449), (-100, 327, -52)]
[(-15769, 1965, -3449), (-100, 327, -52)]
[(-15769, 1965, -3449), (-100, 327, -52)]
[(-15769, 1965, -3449), (-100, 327, -52)]
[(-15788, 1971, -3416), (-100, 298, -43)]
[(-15788, 1971, -3416), (-100, 298, -43)]
[(-15788, 1971, -3416), (-100, 298, -43)]
[(-15788, 1971, -3416), (-100, 298, -43)]
[(-15788, 1960, -3420), (-109, 288, -39)]
[(-15788, 1960, -3420), (-109, 288, -39)]
[(-15788, 1960, -3420), (-109, 288, -39)]
[(-15788, 1960, -3420), (-109, 288, -39)]
[(-15788, 1960, -3420), (-109, 288, -39)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15784, 1946, -3396), (-125, 295, -2)]
[(-15763, 1964, -3388), (-129, 303, -4)]
[(-15763, 1964, -3388), (-129, 303, -4)]
[(-15763, 1964, -3388), (-129, 303, -4)]
[(-15763, 1964, -3388), (-129, 303, -4)]
[(-15763, 1964, -3388), (-129, 303, -4)]
[(-15774, 1960, -3394), (-134, 308, -6)]
[(-15774, 1960, -3394), (-134, 308, -6)]
[(-15774, 1960, -3394), (-134, 308, -6)]
[(-15774, 1960, -3394), (-134, 308, -6)]
[(-15774, 1960, -3394), (-134, 308, -6)]
[(-15759, 1979, -3379), (-130, 310, 18)]
[(-15759, 1979, -3379), (-130, 310, 18)]
