[(-14726, 1170, -7658), (-72, 322, -9)]
[(-14744, 1168, -7647), (-99, 327, -15)]
[(-14744, 1168, -7647), (-99, 327, -15)]
[(-14744, 1168, -7647), (-99, 327, -15)]
[(-14744, 1168, -7647), (-99, 327, -15)]
[(-14744, 1168, -7647), (-99, 327, -15)]
[(-14741, 1160, -7674), (-131, 337, -3)]
[(-14741, 1160, -7674), (-131, 337, -3)]
[(-14741, 1160, -7674), (-131, 337, -3)]
[(-14741, 1160, -7674), (-131, 337, -3)]
[(-14741, 1160, -7674), (-131, 337, -3)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14744, 1173, -7650), (-109, 347, 10)]
[(-14711, 1192, -7748), (-257, 509, 1)]
[(-14711, 1192, -7748), (-257, 509, 1)]
[(-14711, 1192, -7748), (-257, 509, 1)]
[(-14711, 1192, -7748), (-257, 509, 1)]
[(-14711, 1192, -7748), (-257, 509, 1)]
[(-14684, 1212, -7742), (-300, 460, -9)]
[(-14684, 1212, -7742), (-300, 460, -9)]
[(-14684, 1212, -7742), (-300, 460, -9)]
[(-14684, 1212, -7742), (-300, 460, -9)]
[(-14684, 1212, -7742), (-300, 460, -9)]
[(-14687, 1208, -7763), (-241, 436, -4)]
[(-14687, 1208, -7763), (-241, 436, -4)]
[(-14687, 1208, -7763), (-241, 436, -4)]
[(-14687, 1208, -7763), (-241, 436, -4)]
[(-14687, 1208, -7763), (-241, 436, -4)]
[(-14687, 1208, -7763), (-241, 436, -4)]
[(-14704, 1210, -7760), (-85, 335, -16)]
[(-14704, 1210, -7760), (-85, 335, -16)]
[(-14704, 1210, -7760), (-85, 335, -16)]
[(-14704, 1210, -7760), (-85, 335, -16)]
[(-14704, 1210, -7760), (-85, 335, -16)]
[(-14706, 1201, -7754), (-90, 333, -4)]
[(-14706, 1201, -7754), (-90, 333, -4)]
[(-14706, 1201, -7754), (-90, 333, -4)]
[(-14706, 1201, -7754), (-90, 333, -4)]
[(-14706, 1201, -7754), (-90, 333, -4)]
[(-14706, 1201, -7754), (-90, 333, -4)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14704, 1208, -7762), (-131, 323, 12)]
[(-14708, 1220, -7761), (-144, 309, 27)]
[(-14708, 1220, -7761), (-144, 309, 27)]
[(-14708, 1220, -7761), (-144, 309, 27)]
[(-14688, 1221, -7752), (-132, 315, 13)]
[(-14688, 1221, -7752), (-132, 315, 13)]
[(-14688, 1221, -7752), (-132, 315, 13)]
[(-14688, 1221, -7752), (-132, 315, 13)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14684, 1227, -7737), (-134, 311, 16)]
[(-14723, 1228, -7725), (-84, 294, -5)]
[(-14723, 1228, -7725), (-84, 294, -5)]
[(-14723, 1228, -7725), (-84, 294, -5)]
[(-14718, 1221, -7708), (-60, 268, 25)]
[(-14718, 1221, -7708), (-60, 268, 25)]
[(-14718, 1221, -7708), (-60, 268, 25)]
[(-14718, 1221, -7708), (-60, 268, 25)]
[(-14718, 1221, -7708), (-60, 268, 25)]
[(-14718, 1221, -7708), (-60, 268, 25)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14756, 1250, -7746), (-73, 270, 52)]
[(-14765, 1250, -7729), (-81, 294, 22)]
[(-14774, 1229, -7745), (-141, 262, -65)]
[(-14774, 1229, -7745), (-141, 262, -65)]
[(-14792, 1204, -7731), (-110, 226, -14)]
[(-14792, 1204, -7731), (-110, 226, -14)]
[(-14792, 1204, -7731), (-110, 226, -14)]
[(-14792, 1204, -7731), (-110, 226, -14)]
[(-14792, 1204, -7731), (-110, 226, -14)]
[(-14818, 1248, -7702), (-147, 275, 10)]
[(-14818, 1248, -7702), (-147, 275, 10)]
[(-14818, 1248, -7702), (-147, 275, 10)]
[(-14818, 1248, -7702), (-147, 275, 10)]
[(-14818, 1248, -7702), (-147, 275, 10)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
[(-14809, 1219, -7725), (-106, 355, 11)]
